env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,0.0,40.0,0.0,,,,,,
10000,0.0,40.0,0.0,0.01,39.6825,0.0198,0.0013,0.0012,389.025
20000,0.0,40.0,0.0,0.0175,39.3701,0.0394,0.0004,0.0003,768.2549
30000,0.091,36.4,0.1,0.0291,39.0625,0.0547,0.0004,0.001,769.7198
40000,0.2965,28.6,0.4,0.0307,38.9105,0.0739,0.0005,0.0014,762.3947
50000,0.4122,23.9,0.5,0.0556,38.1679,0.1336,0.0009,0.0017,756.329
60000,0.3392,26.7,0.4,0.0646,37.7358,0.1547,0.0008,0.0021,750.498
70000,0.5875,17.0,0.7,0.0811,37.3134,0.194,0.0011,0.0023,741.6376
80000,0.738,11.2,0.9,0.1035,36.3636,0.2327,0.0013,0.0023,737.805
90000,0.2965,28.6,0.4,0.12,35.9712,0.277,0.0015,0.0024,732.3417
100000,0.665,14.0,0.8,0.1607,34.4828,0.3724,0.0015,0.0026,728.7837
110000,0.7425,11.0,0.9,0.1529,34.7222,0.3438,0.0016,0.0029,723.2022
120000,0.346,26.4,0.4,0.2051,33.0033,0.4719,0.0015,0.0031,717.9973
130000,0.6763,13.5,0.8,0.1979,33.2226,0.4551,0.0017,0.0031,715.5217
140000,0.6538,14.5,0.8,0.2263,32.2581,0.5323,0.0018,0.0032,710.5965
150000,0.8583,6.3,1.0,0.2745,30.3951,0.5866,0.0021,0.0035,708.1307
160000,0.8425,7.0,1.0,0.3084,29.2398,0.6637,0.0027,0.0036,706.393
170000,0.838,7.2,1.0,0.3322,28.4091,0.6932,0.0027,0.0039,700.8432
180000,0.847,6.8,1.0,0.3646,27.1003,0.7453,0.0028,0.0041,695.4186
190000,0.8313,7.5,1.0,0.4308,24.4499,0.824,0.0032,0.0045,695.7778
200000,0.8448,6.9,1.0,0.4438,24.0385,0.8413,0.0035,0.0049,691.9051
210000,0.838,7.2,1.0,0.4594,23.3645,0.8575,0.0038,0.0052,689.6442
220000,0.8245,7.8,1.0,0.5207,20.8768,0.8977,0.0043,0.0054,686.802
230000,0.829,7.6,1.0,0.5193,21.0084,0.9265,0.0047,0.0056,687.5769
240000,0.8515,6.6,1.0,0.5448,20.0401,0.9439,0.0051,0.0058,684.8775
250000,0.865,6.0,1.0,0.5595,19.2308,0.9327,0.0056,0.0058,682.0275
260000,0.8583,6.3,1.0,0.58,18.4843,0.9575,0.0062,0.0058,681.96
270000,0.8335,7.4,1.0,0.5901,18.0832,0.9656,0.0065,0.006,678.7541
280000,0.8313,7.5,1.0,0.5954,17.8571,0.9714,0.0069,0.006,676.9103
290000,0.829,7.6,1.0,0.6133,17.094,0.9863,0.0073,0.006,676.9026
300000,0.829,7.6,1.0,0.6235,16.7224,0.9866,0.0074,0.0061,676.337
310000,0.8267,7.7,1.0,0.6367,16.0772,0.9936,0.0079,0.0061,672.3747
320000,0.8088,8.5,1.0,0.6434,15.7978,0.9858,0.0084,0.0061,670.1815
330000,0.8493,6.7,1.0,0.6524,15.3846,0.9892,0.0086,0.0061,671.0743
340000,0.8313,7.5,1.0,0.6532,15.3846,0.9938,0.009,0.0063,667.7586
350000,0.8403,7.1,1.0,0.6821,14.1243,0.9972,0.0093,0.0063,664.526
360000,0.8515,6.6,1.0,0.6788,14.2653,0.9957,0.0095,0.0064,663.1284
370000,0.8357,7.3,1.0,0.6858,13.947,0.9972,0.0098,0.0063,662.5966
380000,0.8538,6.5,1.0,0.6929,13.6426,0.9986,0.0103,0.0063,662.5069
390000,0.8357,7.3,1.0,0.6983,13.4048,0.9987,0.0106,0.0063,662.6177
400000,0.838,7.2,1.0,0.7017,13.245,0.9987,0.0107,0.0063,657.8125
410000,0.8448,6.9,1.0,0.7054,13.089,1.0,0.0109,0.0063,656.0925
420000,0.8267,7.7,1.0,0.7112,12.837,0.9987,0.0113,0.0062,655.9939
430000,0.8538,6.5,1.0,0.717,12.5786,1.0,0.0113,0.0061,657.6348
440000,0.847,6.8,1.0,0.72,12.4378,0.9988,0.0116,0.0062,657.4007
