env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,40.0,0.0,,,,,,,
10000,0.0,40.0,0.0,0.0086,39.8406,0.0239,-1.8611,4.3025,0.0013,125.1034
20000,0.091,36.4,0.1,0.0188,39.3701,0.0394,-2.058,5.0656,0.0002,619.6797
30000,0.0,40.0,0.0,0.0256,39.0625,0.0469,-2.1,5.2181,0.0003,617.2338
40000,0.0685,37.4,0.1,0.0141,39.5257,0.0316,-2.1289,5.3089,0.0004,612.9058
50000,0.0,40.0,0.0,0.0248,39.0625,0.0586,-2.1453,5.3522,0.0004,611.8955
60000,0.0,40.0,0.0,0.0129,39.5257,0.0277,-2.1627,5.4101,0.0003,609.3831
70000,0.0,40.0,0.0,0.0284,39.0625,0.0664,-2.179,5.4599,0.0003,607.6099
80000,0.0,40.0,0.0,0.0235,39.2157,0.0667,-2.1946,5.5121,0.0003,605.7958
90000,0.0865,36.6,0.1,0.0407,38.61,0.0927,-2.2081,5.5539,0.0004,605.0411
100000,0.2325,31.0,0.3,0.0493,38.3142,0.1073,-2.2222,5.6062,0.0004,603.5597
110000,0.0887,36.5,0.1,0.0478,38.3142,0.1034,-2.2336,5.6445,0.0004,603.4692
120000,0.0843,36.7,0.1,0.0568,38.0228,0.1293,-2.2454,5.6836,0.0005,599.187
130000,0.3392,26.7,0.4,0.0913,36.9004,0.2066,-2.2539,5.7108,0.0006,596.8639
140000,0.091,36.4,0.1,0.07,37.594,0.1654,-2.2627,5.7381,0.0011,594.9015
150000,0.091,36.4,0.1,0.0689,37.7358,0.1585,-2.2709,5.766,0.0014,592.7461
160000,0.1663,33.5,0.2,0.0943,36.63,0.2015,-2.2768,5.7851,0.0015,592.6225
170000,0.2437,30.5,0.3,0.0977,36.63,0.2198,-2.2841,5.8078,0.0015,592.0159
180000,0.4898,20.9,0.6,0.125,35.7143,0.2821,-2.2907,5.8266,0.0017,590.0589
190000,0.465,22.0,0.6,0.1379,35.2113,0.2923,-2.2959,5.8457,0.0018,584.799
200000,0.456,22.4,0.6,0.1206,35.8423,0.2652,-2.3008,5.8597,0.0019,583.4969
210000,0.2505,30.2,0.3,0.1795,33.557,0.3591,-2.3063,5.8731,0.0022,582.3982
220000,0.1987,32.5,0.3,0.1709,34.0136,0.3503,-2.3097,5.8857,0.0021,579.9046
230000,0.2325,31.0,0.3,0.1707,33.7838,0.3277,-2.3149,5.8983,0.0025,577.2495
240000,0.3875,25.0,0.5,0.2078,32.5733,0.4007,-2.3195,5.9139,0.0027,575.9866
250000,0.4122,23.9,0.5,0.1835,33.4448,0.3679,-2.324,5.9287,0.0029,574.8972
260000,0.1663,33.5,0.2,0.2067,32.6797,0.4118,-2.3266,5.934,0.0031,573.6149
270000,0.3032,28.3,0.4,0.2133,32.3625,0.4078,-2.3306,5.9476,0.0033,574.2546
280000,0.401,24.4,0.5,0.2362,31.5457,0.4511,-2.3337,5.9556,0.0035,571.9059
290000,0.246,30.4,0.3,0.246,31.0559,0.4534,-2.3367,5.9661,0.0036,570.4455
300000,0.2482,30.3,0.3,0.1941,33.1126,0.3974,-2.3399,5.9758,0.0037,569.6927
310000,0.2595,29.8,0.3,0.2422,31.4465,0.4937,-2.3424,5.9811,0.0038,570.1715
320000,0.2257,31.3,0.3,0.2726,30.1205,0.5,-2.3452,5.9894,0.0038,568.4913
330000,0.255,30.0,0.3,0.2355,31.4465,0.4371,-2.3486,6.0008,0.0039,567.8372
340000,0.474,21.6,0.6,0.2531,30.7692,0.4492,-2.3509,6.0083,0.004,566.5642
350000,0.4122,23.9,0.5,0.2714,29.9401,0.4671,-2.3518,6.0091,0.0042,563.6427
360000,0.2437,30.5,0.3,0.272,30.1205,0.494,-2.3543,6.0162,0.0044,565.5772
370000,0.7043,12.7,0.9,0.2691,30.3951,0.5167,-2.3574,6.0256,0.0044,565.8999
380000,0.4325,23.0,0.5,0.2955,29.1545,0.5073,-2.3585,6.0262,0.0045,563.6784
390000,0.3942,24.7,0.5,0.2852,29.4985,0.5103,-2.3605,6.0328,0.0047,562.7922
400000,0.4033,24.3,0.5,0.3158,28.4091,0.5483,-2.3621,6.0378,0.0049,563.951
410000,0.3965,24.6,0.5,0.3225,28.169,0.5521,-2.3641,6.0433,0.0049,560.4395
420000,0.2505,30.2,0.3,0.3193,28.169,0.5408,-2.3662,6.0494,0.0049,560.4786
430000,0.5448,18.9,0.7,0.3465,27.1739,0.5761,-2.3667,6.0489,0.0051,561.8153
440000,0.5255,20.2,0.8,0.3526,26.8817,0.578,-2.3685,6.0547,0.0053,558.922
450000,0.5268,19.7,0.7,0.3526,27.1003,0.6043,-2.3705,6.0597,0.0053,561.0116
460000,0.5807,17.3,0.7,0.3278,27.8552,0.5682,-2.3717,6.0632,0.0054,559.398
470000,0.501,20.4,0.6,0.3543,26.9542,0.5984,-2.3735,6.0679,0.0056,558.8297
480000,0.5718,17.7,0.7,0.3762,25.974,0.6156,-2.3746,6.0727,0.0056,558.5864
490000,0.3122,27.9,0.4,0.3664,26.5252,0.626,-2.375,6.0704,0.0058,557.3065
500000,0.392,24.8,0.5,0.3566,26.8817,0.6129,-2.377,6.0773,0.0058,558.2158
