env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,,
10000,0.0,324.0,0.0,0.0378,322.5806,0.129,-0.0,0.0011,0.0016,153.4592
20000,0.0,324.0,0.0,0.0153,312.5,0.0312,-0.0,0.0001,0.0,729.8249
30000,0.0,324.0,0.0,0.0142,322.5806,0.0968,-0.0,0.0001,0.0,722.2111
40000,0.0,324.0,0.0,0.034,322.5806,0.1613,-0.0,0.0001,0.0,724.0732
50000,0.0,324.0,0.0,0.0096,322.5806,0.0323,-0.0,0.0001,0.0,724.7959
60000,0.0,324.0,0.0,0.06,303.0303,0.1515,-0.0,0.0001,0.0,716.3087
70000,0.0,324.0,0.0,0.0302,322.5806,0.0968,-0.0,0.0001,0.0001,716.9503
80000,0.0,324.0,0.0,0.0127,322.5806,0.0323,-0.0,0.0001,0.0001,716.6948
90000,0.0,324.0,0.0,0.0516,303.0303,0.1515,-0.0,0.0,0.0001,713.6331
100000,0.0,324.0,0.0,0.0203,322.5806,0.0645,-0.0,0.0,0.0001,713.7239
110000,0.0,324.0,0.0,0.0352,312.5,0.0625,-0.0,0.0,0.0001,711.1567
120000,0.0,324.0,0.0,0.0719,303.0303,0.1818,-0.0,0.0,0.0002,704.5451
130000,0.0,324.0,0.0,0.101,303.0303,0.2121,-0.0,0.0,0.0002,705.4102
140000,0.0,324.0,0.0,0.0447,312.5,0.125,-0.0,0.0,0.0002,707.5354
150000,0.0,324.0,0.0,0.1266,285.7143,0.2286,-0.0,0.0,0.0002,701.3381
160000,0.0,324.0,0.0,0.128,285.7143,0.2,-0.0,0.0,0.0003,702.2832
170000,0.0,324.0,0.0,0.1282,285.7143,0.3143,-0.0,0.0,0.0003,701.669
180000,0.0558,307.5,0.1,0.048,312.5,0.125,-0.0,0.0,0.0003,701.0598
190000,0.0,324.0,0.0,0.209,263.1579,0.3947,-0.0,0.0,0.0004,702.5032
