env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,
10000,0.0,324.0,0.0,0.0403,322.5806,0.0968,0.0005,0.0005,551.5491
20000,0.0,324.0,0.0,0.0,322.5806,0.0,0.0003,0.0001,762.0949
30000,0.0,324.0,0.0,0.0036,322.5806,0.0323,0.0003,0.0003,759.2687
40000,0.0,324.0,0.0,0.0139,322.5806,0.0323,0.0002,0.0004,751.1847
50000,0.0,324.0,0.0,0.0217,312.5,0.0625,0.0002,0.0004,748.3198
60000,0.0,324.0,0.0,0.0137,322.5806,0.0323,0.0003,0.0004,735.1318
70000,0.0,324.0,0.0,0.0377,312.5,0.125,0.0003,0.0004,740.0495
80000,0.0,324.0,0.0,0.0379,312.5,0.125,0.0003,0.0003,735.0556
90000,0.0,324.0,0.0,0.1056,303.0303,0.2727,0.0003,0.0002,728.804
100000,0.0828,297.8,0.1,0.0489,303.0303,0.0909,0.0003,0.0002,731.2469
110000,0.0814,298.3,0.1,0.1181,294.1176,0.2647,0.0003,0.0002,729.0954
120000,0.0,324.0,0.0,0.0409,312.5,0.0938,0.0003,0.0002,727.579
130000,0.0,324.0,0.0,0.1836,277.7778,0.4167,0.0003,0.0003,724.6924
140000,0.0,324.0,0.0,0.1288,277.7778,0.2222,0.0003,0.0003,720.5119
150000,0.0,324.0,0.0,0.1601,285.7143,0.3429,0.0004,0.0003,718.2259
160000,0.0842,297.3,0.1,0.0923,294.1176,0.2059,0.0004,0.0004,715.4488
170000,0.0925,294.3,0.1,0.1248,285.7143,0.2,0.0004,0.0004,718.248
180000,0.1306,284.2,0.2,0.1475,285.7143,0.3429,0.0004,0.0004,714.0262
190000,0.0,324.0,0.0,0.0748,303.0303,0.1515,0.0004,0.0005,711.379
200000,0.0,324.0,0.0,0.1511,277.7778,0.2778,0.0004,0.0005,714.414
210000,0.0933,294.0,0.1,0.0981,294.1176,0.2353,0.0004,0.0005,713.1763
220000,0.0439,311.8,0.1,0.2312,256.4103,0.4103,0.0004,0.0006,713.4518
230000,0.2442,246.9,0.3,0.119,294.1176,0.2353,0.0004,0.0006,707.9493
240000,0.0,324.0,0.0,0.1101,294.1176,0.2353,0.0004,0.0006,708.2667
250000,0.0,324.0,0.0,0.1847,263.1579,0.3158,0.0005,0.0006,708.2395
260000,0.0608,305.7,0.1,0.2663,250.0,0.5,0.0005,0.0006,705.7359
270000,0.0836,297.5,0.1,0.2964,232.5581,0.4884,0.0005,0.0006,702.0085
280000,0.0906,295.0,0.1,0.1447,285.7143,0.2571,0.0005,0.0007,703.9026
290000,0.12,288.0,0.2,0.2707,243.9024,0.4634,0.0005,0.0007,700.8064
300000,0.375,203.4,0.4,0.2478,243.9024,0.439,0.0005,0.0008,695.2249
310000,0.0939,293.8,0.1,0.2574,250.0,0.425,0.0005,0.0008,695.7665
320000,0.2675,238.5,0.3,0.3424,222.2222,0.5778,0.0006,0.0009,696.2821
