env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,
10000,0.0,324.0,0.0,0.0297,322.5806,0.0645,0.0015,0.0009,410.8849
20000,0.0,324.0,0.0,0.0134,322.5806,0.0645,0.0002,0.0,739.8075
30000,0.0,324.0,0.0,0.0276,312.5,0.0625,0.0002,0.0,736.8248
40000,0.0,324.0,0.0,0.0189,322.5806,0.0323,0.0002,0.0,740.4113
50000,0.0,324.0,0.0,0.0149,322.5806,0.0645,0.0002,0.0,732.0864
60000,0.0,324.0,0.0,0.034,312.5,0.0938,0.0002,0.0001,731.0066
70000,0.0,324.0,0.0,0.0846,294.1176,0.1471,0.0003,0.0001,725.7099
80000,0.0,324.0,0.0,0.0364,312.5,0.0938,0.0003,0.0002,725.347
90000,0.0,324.0,0.0,0.0605,312.5,0.1562,0.0003,0.0002,722.1272
100000,0.0,324.0,0.0,0.0556,312.5,0.0938,0.0003,0.0002,719.2262
110000,0.0,324.0,0.0,0.0345,312.5,0.0938,0.0003,0.0002,720.0948
120000,0.0,324.0,0.0,0.1079,294.1176,0.2647,0.0003,0.0002,717.6325
130000,0.0,324.0,0.0,0.1278,285.7143,0.2571,0.0004,0.0003,722.9554
140000,0.0,324.0,0.0,0.1463,285.7143,0.3429,0.0003,0.0003,715.3025
150000,0.2856,232.0,0.3,0.2774,238.0952,0.4524,0.0004,0.0004,711.1944
160000,0.0,324.0,0.0,0.0944,303.0303,0.2121,0.0004,0.0005,708.7421
170000,0.0914,294.7,0.1,0.3079,232.5581,0.5581,0.0004,0.0006,707.1396
180000,0.0,324.0,0.0,0.2713,243.9024,0.4878,0.0004,0.0007,704.8575
190000,0.09,295.2,0.1,0.1743,263.1579,0.2632,0.0004,0.0007,697.8851
200000,0.0917,294.6,0.1,0.2822,243.9024,0.5366,0.0004,0.0008,697.5661
210000,0.0956,293.2,0.1,0.39,208.3333,0.625,0.0004,0.0009,697.6311
220000,0.0,324.0,0.0,0.3678,217.3913,0.6739,0.0005,0.0009,701.4411
230000,0.4494,180.2,0.5,0.376,204.0816,0.5714,0.0005,0.001,692.2881
240000,0.1808,266.1,0.2,0.4148,200.0,0.64,0.0006,0.0011,690.5911
250000,0.1869,263.9,0.2,0.4602,181.8182,0.7091,0.0007,0.0012,689.991
260000,0.2797,234.1,0.3,0.4858,175.4386,0.7368,0.0006,0.0013,686.2259
270000,0.1839,265.0,0.2,0.5392,158.7302,0.746,0.0008,0.0013,685.3472
280000,0.3444,214.4,0.4,0.5212,166.6667,0.7667,0.0008,0.0014,679.1755
290000,0.2853,232.1,0.3,0.5188,161.2903,0.7419,0.001,0.0015,684.8984
