env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,,
10000,0.0,324.0,0.0,0.0297,322.5806,0.0645,-1.8567,4.3558,0.0012,123.041
20000,0.0,324.0,0.0,0.0175,322.5806,0.0968,-2.0361,5.0314,0.0001,595.5816
30000,0.0,324.0,0.0,0.0218,312.5,0.0625,-2.0809,5.1861,0.0,598.8797
40000,0.0,324.0,0.0,0.0113,322.5806,0.0645,-2.105,5.2592,0.0,598.0508
50000,0.0,324.0,0.0,0.0089,322.5806,0.0323,-2.1294,5.339,0.0,597.0842
60000,0.0,324.0,0.0,0.0,322.5806,0.0,-2.1454,5.3812,0.0,594.5141
70000,0.0,324.0,0.0,0.0329,322.5806,0.0645,-2.1611,5.4272,0.0,593.2717
80000,0.0,324.0,0.0,0.0673,303.0303,0.1515,-2.1777,5.4808,0.0,593.4214
90000,0.0,324.0,0.0,0.0278,312.5,0.0625,-2.1934,5.5363,0.0,590.3888
100000,0.0,324.0,0.0,0.0073,322.5806,0.0645,-2.2064,5.5789,0.0,589.8801
110000,0.0,324.0,0.0,0.0151,322.5806,0.0323,-2.2171,5.6187,0.0,587.0874
120000,0.0,324.0,0.0,0.0237,322.5806,0.0968,-2.2282,5.651,0.0,588.6353
130000,0.0,324.0,0.0,0.0174,312.5,0.0312,-2.2378,5.681,0.0,585.5756
140000,0.0,324.0,0.0,0.0297,322.5806,0.0968,-2.2464,5.7063,0.0,586.1782
150000,0.0872,296.2,0.1,0.0492,303.0303,0.1212,-2.2547,5.7334,0.0,584.6949
160000,0.0,324.0,0.0,0.0239,322.5806,0.0645,-2.2618,5.7534,0.0,584.2672
170000,0.0,324.0,0.0,0.0211,322.5806,0.0645,-2.2675,5.7699,0.0,582.0852
180000,0.0,324.0,0.0,0.0593,303.0303,0.1515,-2.2736,5.7915,0.0,581.0829
190000,0.0,324.0,0.0,0.0371,312.5,0.0938,-2.2783,5.8028,0.0,581.2312
200000,0.0,324.0,0.0,0.0,322.5806,0.0,-2.2829,5.8151,0.0,579.3472
210000,0.0,324.0,0.0,0.1113,294.1176,0.1765,-2.289,5.835,0.0,578.3887
220000,0.0,324.0,0.0,0.0424,312.5,0.125,-2.2921,5.8434,0.0,577.7961
230000,0.0,324.0,0.0,0.0348,312.5,0.0938,-2.2967,5.858,0.0,576.6891
240000,0.0,324.0,0.0,0.0054,322.5806,0.0323,-2.301,5.8683,0.0,572.5564
250000,0.0,324.0,0.0,0.0396,322.5806,0.0968,-2.3046,5.8785,0.0,575.4808
260000,0.0,324.0,0.0,0.0601,303.0303,0.1515,-2.3081,5.8891,0.0001,573.9954
270000,0.0,324.0,0.0,0.0337,312.5,0.0625,-2.3112,5.8977,0.0001,574.7964
280000,0.0,324.0,0.0,0.0325,322.5806,0.0968,-2.3151,5.9108,0.0,573.3426
290000,0.0,324.0,0.0,0.0375,312.5,0.0938,-2.3182,5.9196,0.0,573.6628
300000,0.0,324.0,0.0,0.0722,303.0303,0.1212,-2.3205,5.9238,0.0001,572.0213
310000,0.0,324.0,0.0,0.1026,294.1176,0.2059,-2.3238,5.9354,0.0001,569.9902
320000,0.0,324.0,0.0,0.0332,312.5,0.0938,-2.3258,5.9392,0.0001,570.8217
330000,0.0,324.0,0.0,0.0677,303.0303,0.1212,-2.3292,5.9501,0.0001,571.3083
