env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,
10000,0.0,288.0,0.0,0.0496,277.7778,0.0556,0.0007,0.001,506.1713
20000,0.0953,260.7,0.1,0.0202,285.7143,0.0286,0.0004,0.0002,757.4989
30000,0.1837,235.6,0.2,0.0553,270.2703,0.1081,0.0003,0.0003,752.1013
40000,0.0,288.0,0.0,0.0071,285.7143,0.0286,0.0003,0.0003,748.8179
50000,0.0,288.0,0.0,0.0131,285.7143,0.0286,0.0002,0.0003,741.7529
60000,0.0,288.0,0.0,0.1035,263.1579,0.2368,0.0002,0.0003,743.0113
70000,0.0,288.0,0.0,0.0677,270.2703,0.2162,0.0002,0.0004,739.1178
80000,0.0,288.0,0.0,0.1326,256.4103,0.2308,0.0003,0.0005,738.5223
90000,0.0,288.0,0.0,0.1941,238.0952,0.3095,0.0003,0.0006,732.5376
100000,0.0912,262.0,0.1,0.2573,217.3913,0.413,0.0003,0.0009,728.4342
110000,0.1928,232.7,0.2,0.2629,222.2222,0.5333,0.0004,0.0012,727.0421
120000,0.0,288.0,0.0,0.3117,204.0816,0.5306,0.0004,0.0013,724.3091
130000,0.0,288.0,0.0,0.3068,208.3333,0.5833,0.0005,0.0015,720.6539
140000,0.2831,207.0,0.3,0.2929,212.766,0.617,0.0005,0.0015,718.4481
150000,0.1316,252.3,0.2,0.291,212.766,0.5745,0.0006,0.0014,718.2602
160000,0.1841,235.5,0.2,0.4526,169.4915,0.7797,0.0006,0.0014,712.1091
170000,0.2797,208.1,0.3,0.3473,196.0784,0.6078,0.0006,0.0013,707.2697
180000,0.0956,260.6,0.1,0.3848,185.1852,0.7222,0.0006,0.0013,717.8563
190000,0.1797,236.9,0.2,0.5374,144.9275,0.8261,0.0007,0.0013,719.0549
200000,0.4684,154.1,0.5,0.5104,149.2537,0.8209,0.0007,0.0013,715.4601
210000,0.5284,138.1,0.6,0.4925,156.25,0.7656,0.0007,0.0015,711.9081
220000,0.2406,220.6,0.3,0.5409,140.8451,0.8732,0.0007,0.0015,697.9385
230000,0.1691,240.3,0.2,0.569,133.3333,0.8533,0.0007,0.0016,689.9888
240000,0.3644,184.2,0.4,0.7049,93.4579,0.9813,0.0008,0.0018,687.8343
250000,0.4609,156.5,0.5,0.7288,86.9565,0.9913,0.0008,0.0019,686.2636
260000,0.8375,48.8,0.9,0.7291,86.2069,0.9914,0.0008,0.0021,684.921
270000,0.3791,179.5,0.4,0.7577,77.5194,0.9922,0.0008,0.0022,679.5067
280000,0.6412,105.2,0.7,0.7958,64.9351,0.9935,0.0009,0.0023,673.344
290000,0.7519,73.0,0.8,0.8221,56.8182,1.0,0.0009,0.0024,676.6919
300000,0.6506,102.2,0.7,0.8246,56.1798,1.0,0.0009,0.0025,673.9644
310000,0.6506,102.2,0.7,0.8294,54.3478,0.9946,0.001,0.0026,670.9635
320000,0.8347,49.7,0.9,0.8523,47.8469,1.0,0.001,0.0026,670.6447
330000,0.7606,70.2,0.8,0.8528,46.729,1.0,0.001,0.0026,665.4811
340000,0.7594,70.6,0.8,0.8712,40.9836,1.0,0.001,0.0026,665.2151
350000,0.7534,72.5,0.8,0.8763,39.8406,1.0,0.0011,0.0026,661.0208
360000,0.9559,14.1,1.0,0.8856,36.4964,1.0,0.0011,0.0027,660.8646
370000,0.9234,24.5,1.0,0.8826,37.4532,1.0,0.0011,0.0027,659.4449
380000,0.8584,42.1,0.9,0.8941,33.8983,1.0,0.0011,0.0026,655.1929
390000,0.6659,97.3,0.7,0.9008,31.746,1.0,0.0012,0.0026,653.7767
400000,0.9531,15.0,1.0,0.9,32.1543,1.0,0.0012,0.0026,653.8208
410000,0.9456,17.4,1.0,0.9046,30.3951,1.0,0.0012,0.0026,652.8156
420000,0.7694,67.4,0.8,0.9057,30.2115,1.0,0.0012,0.0026,648.329
430000,0.7628,69.5,0.8,0.9065,29.9401,1.0,0.0012,0.0026,646.8431
440000,0.8584,42.1,0.9,0.9143,27.3973,1.0,0.0013,0.0026,643.866
450000,0.9609,12.5,1.0,0.9179,26.2467,1.0,0.0013,0.0026,643.2169
460000,0.8612,41.2,0.9,0.9192,25.8398,1.0,0.0013,0.0026,639.4902
470000,0.8534,43.7,0.9,0.9188,26.0417,1.0,0.0013,0.0026,646.3141
480000,0.9616,12.3,1.0,0.9271,23.31,1.0,0.0013,0.0026,638.1523
490000,0.7141,85.1,0.8,0.9264,23.5849,1.0,0.0013,0.0026,642.1141
500000,0.9469,17.0,1.0,0.928,22.9885,1.0,0.0013,0.0026,640.6534
510000,0.9606,12.6,1.0,0.9296,22.5225,1.0,0.0014,0.0026,638.4381
520000,0.8584,42.1,0.9,0.9317,21.8341,1.0,0.0014,0.0026,637.9013
530000,0.9534,14.9,1.0,0.9305,22.2717,1.0,0.0014,0.0026,640.4653
540000,0.9628,11.9,1.0,0.9347,20.8768,1.0,0.0014,0.0026,635.1904
550000,0.96,12.8,1.0,0.9321,21.7391,1.0,0.0014,0.0026,638.8901
560000,0.9484,16.5,1.0,0.9345,20.9644,1.0,0.0014,0.0026,634.3564
570000,0.9578,13.5,1.0,0.9359,20.4918,1.0,0.0014,0.0026,633.6629
580000,0.6572,100.1,0.7,0.9391,19.4932,1.0,0.0014,0.0026,635.7701
590000,0.8694,38.6,0.9,0.9374,20.0803,1.0,0.0014,0.0026,635.6901
600000,0.6531,101.4,0.7,0.9358,20.4918,1.0,0.0014,0.0026,634.6716
610000,0.9678,10.3,1.0,0.9396,19.305,1.0,0.0015,0.0026,636.8751
620000,0.9444,17.8,1.0,0.9422,18.5185,1.0,0.0015,0.0026,633.6219
630000,0.8625,40.8,0.9,0.9436,18.018,1.0,0.0015,0.0026,631.6899
640000,0.9653,11.1,1.0,0.9422,18.5185,1.0,0.0015,0.0025,630.6604
650000,0.8669,39.4,0.9,0.9441,17.8891,1.0,0.0015,0.0025,631.3401
660000,0.8725,37.6,0.9,0.9444,17.7936,1.0,0.0015,0.0025,631.6065
