env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,,
10000,0.0,288.0,0.0,0.0496,277.7778,0.0556,-0.0,0.0022,0.0013,134.8621
20000,0.0,288.0,0.0,0.0119,285.7143,0.0571,-0.0,0.0001,0.0001,732.5677
30000,0.0,288.0,0.0,0.03,277.7778,0.0833,-0.0,0.0001,0.0001,730.2799
40000,0.0,288.0,0.0,0.0273,285.7143,0.0571,-0.0,0.0001,0.0001,728.9058
50000,0.0,288.0,0.0,0.0347,277.7778,0.1111,-0.0,0.0001,0.0001,726.3816
60000,0.0,288.0,0.0,0.006,285.7143,0.0286,-0.0,0.0001,0.0002,723.2241
70000,0.0,288.0,0.0,0.0537,277.7778,0.0833,-0.0,0.0001,0.0002,722.1191
80000,0.0,288.0,0.0,0.0628,270.2703,0.0811,-0.0,0.0001,0.0003,719.7697
90000,0.0,288.0,0.0,0.0033,285.7143,0.0286,-0.0,0.0001,0.0003,722.2947
100000,0.0,288.0,0.0,0.0464,277.7778,0.0556,-0.0,0.0001,0.0002,716.327
110000,0.0,288.0,0.0,0.1018,256.4103,0.1538,-0.0,0.0001,0.0004,713.0004
120000,0.0,288.0,0.0,0.0202,285.7143,0.0571,-0.0,0.0001,0.0004,712.8708
130000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0004,712.1336
140000,0.0,288.0,0.0,0.0715,270.2703,0.1351,-0.0,0.0001,0.0004,711.5716
150000,0.0,288.0,0.0,0.0387,277.7778,0.0556,-0.0,0.0001,0.0004,711.1296
160000,0.0959,260.5,0.1,0.0872,263.1579,0.1316,-0.0,0.0001,0.0005,707.6329
170000,0.0,288.0,0.0,0.0346,285.7143,0.0857,-0.0,0.0001,0.0005,703.6007
180000,0.0,288.0,0.0,0.0933,256.4103,0.1538,-0.0,0.0001,0.0006,702.563
190000,0.0,288.0,0.0,0.0747,270.2703,0.1351,-0.0,0.0001,0.0007,709.8962
