env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,
10000,0.0,288.0,0.0,0.0496,277.7778,0.0556,0.0015,0.0012,385.1727
20000,0.0,288.0,0.0,0.0146,285.7143,0.0571,0.0002,0.0001,747.6317
30000,0.0,288.0,0.0,0.054,277.7778,0.1111,0.0002,0.0001,743.2588
40000,0.0,288.0,0.0,0.0252,277.7778,0.0556,0.0002,0.0001,734.2329
50000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0002,0.0002,736.1172
60000,0.0,288.0,0.0,0.0391,277.7778,0.0556,0.0002,0.0003,734.3914
70000,0.0,288.0,0.0,0.0883,263.1579,0.1579,0.0002,0.0002,729.8137
80000,0.0,288.0,0.0,0.1492,250.0,0.275,0.0003,0.0003,725.1825
90000,0.0778,266.3,0.1,0.0935,263.1579,0.1842,0.0002,0.0004,726.3938
100000,0.0,288.0,0.0,0.2476,227.2727,0.4318,0.0003,0.0006,717.6144
110000,0.0,288.0,0.0,0.1798,238.0952,0.3571,0.0003,0.0009,716.5649
120000,0.1941,232.3,0.2,0.5169,149.2537,0.8507,0.0004,0.0013,715.3592
130000,0.6084,115.7,0.7,0.6806,100.0,0.94,0.0006,0.0021,707.4613
140000,0.7747,65.7,0.8,0.7521,79.3651,0.9921,0.0014,0.003,698.9181
150000,0.8688,38.8,0.9,0.7691,73.5294,0.9926,0.0018,0.0033,692.5659
160000,0.87,38.4,0.9,0.8215,57.1429,1.0,0.0025,0.0032,689.1482
170000,0.8647,40.1,0.9,0.8449,49.505,1.0,0.0034,0.0032,684.0551
180000,0.7634,69.3,0.8,0.8541,46.729,1.0,0.0038,0.0031,679.3303
190000,0.4828,149.5,0.5,0.8559,46.2963,1.0,0.0046,0.0029,676.3493
200000,0.9684,10.1,1.0,0.8804,38.3142,1.0,0.0053,0.0028,671.5328
210000,0.9722,8.9,1.0,0.8815,37.8788,1.0,0.0061,0.0028,663.8356
220000,0.8691,38.7,0.9,0.8879,35.8423,1.0,0.0067,0.0027,664.5028
230000,0.9622,12.1,1.0,0.8989,32.2581,1.0,0.0075,0.0027,664.1696
240000,0.9669,10.6,1.0,0.8986,32.4675,1.0,0.0082,0.0027,661.6447
250000,0.9684,10.1,1.0,0.9068,29.8507,1.0,0.009,0.0026,660.4663
260000,0.9734,8.5,1.0,0.9076,29.6736,1.0,0.0097,0.0026,660.5936
270000,0.9672,10.5,1.0,0.9113,28.2486,1.0,0.0103,0.0025,652.5527
280000,0.9669,10.6,1.0,0.9179,26.2467,1.0,0.0109,0.0024,649.4732
290000,0.8722,37.7,0.9,0.917,26.5957,1.0,0.0115,0.0024,649.446
300000,0.9641,11.5,1.0,0.9225,24.8139,1.0,0.0121,0.0025,650.6819
310000,0.9697,9.7,1.0,0.9231,24.57,1.0,0.0126,0.0024,647.0327
320000,0.9594,13.0,1.0,0.9279,23.0947,1.0,0.0129,0.0024,646.6866
330000,0.8669,39.4,0.9,0.9291,22.6757,1.0,0.0138,0.0024,646.8404
340000,0.9663,10.8,1.0,0.9308,22.1729,1.0,0.0139,0.0024,646.2211
350000,0.9713,9.2,1.0,0.9302,22.3214,1.0,0.0146,0.0023,643.1708
360000,0.9691,9.9,1.0,0.9354,20.6612,1.0,0.0147,0.0023,643.7497
370000,0.9659,10.9,1.0,0.9362,20.4082,1.0,0.0157,0.0023,642.6187
380000,0.9631,11.8,1.0,0.9354,20.6612,1.0,0.016,0.0022,641.9473
390000,0.9694,9.8,1.0,0.9401,19.1571,1.0,0.016,0.0022,640.2735
400000,0.9716,9.1,1.0,0.9395,19.3798,1.0,0.0167,0.0022,639.1319
410000,0.9691,9.9,1.0,0.9401,19.1571,1.0,0.0171,0.0023,640.3484
420000,0.9725,8.8,1.0,0.9432,18.1818,1.0,0.0178,0.0023,638.358
430000,0.9672,10.5,1.0,0.9415,18.7266,1.0,0.0182,0.0023,634.5238
440000,0.9669,10.6,1.0,0.9443,17.7936,1.0,0.0184,0.0023,634.988
450000,0.9684,10.1,1.0,0.9416,18.6916,1.0,0.0184,0.0024,632.5029
460000,0.9697,9.7,1.0,0.945,17.6056,1.0,0.0185,0.0024,633.9519
470000,0.9647,11.3,1.0,0.9461,17.2712,1.0,0.0195,0.0025,634.3272
480000,0.9684,10.1,1.0,0.9475,16.7504,1.0,0.0196,0.0025,632.9068
490000,0.97,9.6,1.0,0.9478,16.6945,1.0,0.0195,0.0025,631.939
500000,0.9681,10.2,1.0,0.9477,16.7504,1.0,0.0205,0.0026,630.0945
510000,0.9656,11.0,1.0,0.9478,16.7224,1.0,0.0206,0.0026,632.483
520000,0.9678,10.3,1.0,0.9507,15.748,1.0,0.0205,0.0025,634.0045
530000,0.9691,9.9,1.0,0.95,16.0256,1.0,0.0206,0.0025,633.279
540000,0.9691,9.9,1.0,0.9503,15.8983,1.0,0.021,0.0024,630.2445
550000,0.9703,9.5,1.0,0.9517,15.4799,1.0,0.0208,0.0024,629.451
560000,0.9688,10.0,1.0,0.9508,15.7233,1.0,0.0214,0.0024,632.6273
570000,0.9694,9.8,1.0,0.9521,15.3139,1.0,0.0214,0.0023,628.5017
580000,0.9678,10.3,1.0,0.9531,15.015,1.0,0.0217,0.0023,628.3449
590000,0.9716,9.1,1.0,0.9528,15.1057,1.0,0.0217,0.0022,626.7256
600000,0.8747,36.9,0.9,0.954,14.7275,1.0,0.0217,0.0022,626.9389
610000,0.9722,8.9,1.0,0.9547,14.4928,1.0,0.0224,0.0022,623.9384
620000,0.9697,9.7,1.0,0.9555,14.245,1.0,0.0226,0.0021,621.2723
630000,0.9694,9.8,1.0,0.9554,14.2653,1.0,0.0223,0.0021,623.5907
640000,0.9672,10.5,1.0,0.9576,13.5685,1.0,0.0223,0.002,624.008
650000,0.9681,10.2,1.0,0.9562,14.0056,1.0,0.023,0.002,622.3341
660000,0.9709,9.3,1.0,0.9567,13.8696,1.0,0.0228,0.0019,620.3468
670000,0.965,11.2,1.0,0.9568,13.8313,1.0,0.0225,0.0019,621.1641
680000,0.9703,9.5,1.0,0.9559,14.1044,1.0,0.023,0.0019,620.2372
690000,0.9656,11.0,1.0,0.957,13.7741,1.0,0.0229,0.0019,619.843
700000,0.9694,9.8,1.0,0.9571,13.6986,1.0,0.0232,0.0019,616.341
710000,0.9672,10.5,1.0,0.9576,13.587,1.0,0.0231,0.0019,617.6548
720000,0.9662,10.8,1.0,0.9591,13.089,1.0,0.0232,0.0018,617.1776
730000,0.9703,9.5,1.0,0.9582,13.3511,1.0,0.023,0.0018,616.5446
740000,0.9628,11.9,1.0,0.9587,13.245,1.0,0.023,0.0018,614.7208
750000,0.9697,9.7,1.0,0.959,13.1062,1.0,0.0233,0.0018,617.0472
760000,0.9656,11.0,1.0,0.9593,13.0378,1.0,0.0232,0.0018,612.2965
770000,0.9697,9.7,1.0,0.9597,12.8866,1.0,0.0236,0.0018,614.91
780000,0.8719,37.8,0.9,0.9599,12.837,1.0,0.0234,0.0018,613.4506
790000,0.9681,10.2,1.0,0.9597,12.9032,1.0,0.0234,0.0018,615.6125
800000,0.9691,9.9,1.0,0.9604,12.6743,1.0,0.0233,0.0017,614.709
810000,0.9688,10.0,1.0,0.9601,12.7714,1.0,0.024,0.0017,613.998
820000,0.9713,9.2,1.0,0.9605,12.6263,1.0,0.0235,0.0017,609.945
830000,0.9697,9.7,1.0,0.9606,12.6103,1.0,0.0239,0.0017,611.5654
840000,0.9697,9.7,1.0,0.9615,12.3001,1.0,0.0241,0.0017,610.4843
850000,0.9691,9.9,1.0,0.9616,12.3001,1.0,0.0241,0.0016,610.5679
860000,0.9694,9.8,1.0,0.9618,12.21,1.0,0.0239,0.0016,608.4321
870000,0.9697,9.7,1.0,0.9614,12.3609,1.0,0.0238,0.0016,608.2545
880000,0.9669,10.6,1.0,0.9613,12.3609,1.0,0.0242,0.0016,611.9894
890000,0.9697,9.7,1.0,0.9619,12.1951,1.0,0.0238,0.0015,611.5874
900000,0.9694,9.8,1.0,0.9628,11.8906,1.0,0.0241,0.0015,610.3972
910000,0.9694,9.8,1.0,0.9624,12.0337,1.0,0.0238,0.0015,609.0276
920000,0.9656,11.0,1.0,0.9628,11.9332,1.0,0.0239,0.0015,607.7317
930000,0.9706,9.4,1.0,0.962,12.1359,1.0,0.0238,0.0015,608.4935
940000,0.9722,8.9,1.0,0.9625,12.0048,1.0,0.0238,0.0015,603.4576
950000,0.9666,10.7,1.0,0.9624,12.0482,1.0,0.0237,0.0015,606.664
960000,0.965,11.2,1.0,0.9631,11.8064,1.0,0.0237,0.0015,604.5246
970000,0.9675,10.4,1.0,0.9626,11.9904,1.0,0.0236,0.0014,606.7959
980000,0.9672,10.5,1.0,0.9634,11.7233,1.0,0.0231,0.0014,607.8769
990000,0.965,11.2,1.0,0.9631,11.7925,1.0,0.0236,0.0014,599.4537
1000000,0.9709,9.3,1.0,0.964,11.5207,1.0,0.024,0.0014,601.3319
1010000,0.9591,13.1,1.0,0.9636,11.655,1.0,0.0238,0.0014,606.1593
1020000,0.9672,10.5,1.0,0.9634,11.7096,1.0,0.0235,0.0014,606.2719
1030000,0.975,8.0,1.0,0.9634,11.7096,1.0,0.0237,0.0014,603.3164
1040000,0.9678,10.3,1.0,0.9641,11.4943,1.0,0.0236,0.0014,603.7609
1050000,0.9706,9.4,1.0,0.9634,11.7096,1.0,0.0236,0.0013,608.3702
1060000,0.9713,9.2,1.0,0.9642,11.4548,1.0,0.0229,0.0014,601.6467
1070000,0.9713,9.2,1.0,0.9641,11.4811,1.0,0.0234,0.0014,603.2757
1080000,0.9681,10.2,1.0,0.9645,11.3766,1.0,0.0237,0.0014,600.352
1090000,0.97,9.6,1.0,0.9648,11.2486,1.0,0.0236,0.0013,597.8541
1100000,0.9659,10.9,1.0,0.9643,11.4155,1.0,0.0233,0.0014,599.201
1110000,0.9678,10.3,1.0,0.9641,11.4679,1.0,0.0236,0.0013,597.9093
1120000,0.9703,9.5,1.0,0.9644,11.3895,1.0,0.0236,0.0013,599.4746
1130000,0.9681,10.2,1.0,0.9641,11.4679,1.0,0.0239,0.0013,598.9462
1140000,0.9672,10.5,1.0,0.9647,11.2994,1.0,0.0238,0.0013,592.9332
1150000,0.9709,9.3,1.0,0.964,11.5207,1.0,0.0238,0.0013,595.8895
1160000,0.97,9.6,1.0,0.9647,11.3122,1.0,0.0238,0.0012,593.5962
1170000,0.9747,8.1,1.0,0.9653,11.1111,1.0,0.0234,0.0012,594.7751
1180000,0.9703,9.5,1.0,0.9652,11.1483,1.0,0.0236,0.0012,593.8475
1190000,0.9666,10.7,1.0,0.9651,11.1607,1.0,0.0234,0.0012,589.9646
1200000,0.9691,9.9,1.0,0.9647,11.2994,1.0,0.0233,0.0012,591.8947
1210000,0.9709,9.3,1.0,0.9653,11.0988,1.0,0.0229,0.0012,591.9183
1220000,0.9703,9.5,1.0,0.9656,11.0254,1.0,0.0234,0.0011,593.0824
1230000,0.9666,10.7,1.0,0.9648,11.2613,1.0,0.0231,0.0011,590.6023
1240000,0.9694,9.8,1.0,0.9655,11.0375,1.0,0.0227,0.0011,589.7866
1250000,0.9625,12.0,1.0,0.9655,11.0375,1.0,0.0232,0.0011,591.0444
1260000,0.9709,9.3,1.0,0.9657,10.9769,1.0,0.023,0.0011,587.9397
1270000,0.9659,10.9,1.0,0.9648,11.2613,1.0,0.0229,0.0011,589.2975
1280000,0.97,9.6,1.0,0.9648,11.2486,1.0,0.0235,0.0011,587.6191
1290000,0.9722,8.9,1.0,0.965,11.1982,1.0,0.0224,0.0011,584.8766
1300000,0.97,9.6,1.0,0.9655,11.0619,1.0,0.0237,0.001,583.8731
