env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,,
10000,0.0,288.0,0.0,0.0834,270.2703,0.1081,-1.8288,4.1949,0.0014,117.5928
20000,0.0,288.0,0.0,0.0305,277.7778,0.0556,-2.037,4.9878,0.0002,603.5438
30000,0.0,288.0,0.0,0.0283,277.7778,0.0556,-2.0944,5.2117,0.0002,591.3001
40000,0.0,288.0,0.0,0.0179,285.7143,0.0571,-2.1234,5.2999,0.0001,598.6028
50000,0.0,288.0,0.0,0.0175,285.7143,0.0286,-2.1403,5.342,0.0001,596.2318
60000,0.0,288.0,0.0,0.0269,277.7778,0.0278,-2.1568,5.393,0.0001,592.9493
70000,0.0,288.0,0.0,0.0272,285.7143,0.0286,-2.1736,5.4409,0.0001,592.9432
80000,0.0,288.0,0.0,0.0,285.7143,0.0,-2.1872,5.4809,0.0001,593.3708
90000,0.0,288.0,0.0,0.0,285.7143,0.0,-2.1993,5.5152,0.0001,590.8121
100000,0.0,288.0,0.0,0.0573,270.2703,0.0811,-2.2137,5.5599,0.0001,590.642
110000,0.0,288.0,0.0,0.0702,270.2703,0.1622,-2.224,5.5926,0.0001,590.4897
120000,0.0,288.0,0.0,0.0937,270.2703,0.1622,-2.2346,5.626,0.0001,589.6567
130000,0.0,288.0,0.0,0.0092,285.7143,0.0286,-2.2446,5.6564,0.0001,587.7964
140000,0.0,288.0,0.0,0.0,285.7143,0.0,-2.2532,5.6846,0.0001,585.2398
150000,0.0,288.0,0.0,0.03,277.7778,0.0556,-2.2607,5.7072,0.0001,586.5886
160000,0.0,288.0,0.0,0.0312,277.7778,0.0556,-2.268,5.7304,0.0001,584.9709
170000,0.0,288.0,0.0,0.0134,285.7143,0.0571,-2.2753,5.7559,0.0001,584.6294
180000,0.0,288.0,0.0,0.0562,277.7778,0.0833,-2.2825,5.7787,0.0001,583.736
190000,0.0,288.0,0.0,0.0,285.7143,0.0,-2.2886,5.7993,0.0001,582.5043
200000,0.0,288.0,0.0,0.0672,270.2703,0.1351,-2.2924,5.8068,0.0001,581.5633
210000,0.0,288.0,0.0,0.0308,277.7778,0.0556,-2.2979,5.8253,0.0001,580.7855
220000,0.0,288.0,0.0,0.0188,285.7143,0.0286,-2.3041,5.8468,0.0001,580.001
230000,0.0,288.0,0.0,0.0,285.7143,0.0,-2.309,5.8617,0.0001,579.3985
240000,0.0,288.0,0.0,0.0,294.1176,0.0,-2.313,5.8748,0.0001,577.5052
250000,0.0,288.0,0.0,0.0414,270.2703,0.0541,-2.3166,5.887,0.0001,577.0629
260000,0.0,288.0,0.0,0.0189,285.7143,0.0286,-2.3208,5.8984,0.0001,576.3238
270000,0.0,288.0,0.0,0.0114,285.7143,0.0286,-2.3237,5.905,0.0001,576.1938
280000,0.0,288.0,0.0,0.0,285.7143,0.0,-2.3282,5.921,0.0001,575.6939
290000,0.0,288.0,0.0,0.0088,285.7143,0.0286,-2.3302,5.9251,0.0001,574.5258
300000,0.0,288.0,0.0,0.0161,285.7143,0.0286,-2.3339,5.9366,0.0001,572.4075
310000,0.0,288.0,0.0,0.0,285.7143,0.0,-2.3363,5.9432,0.0001,573.5495
320000,0.0,288.0,0.0,0.035,277.7778,0.0556,-2.3392,5.9533,0.0001,572.0313
330000,0.0,288.0,0.0,0.0,294.1176,0.0,-2.3423,5.9621,0.0001,571.7684
340000,0.0,288.0,0.0,0.0178,277.7778,0.0278,-2.344,5.9647,0.0001,569.9616
350000,0.0,288.0,0.0,0.0426,277.7778,0.0833,-2.3482,5.9799,0.0001,570.1753
360000,0.0,288.0,0.0,0.0257,285.7143,0.0857,-2.3505,5.9883,0.0001,564.5203
370000,0.0,288.0,0.0,0.0503,270.2703,0.0811,-2.354,5.9995,0.0001,568.4568
