env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,250.0,0.0,,,,,,,
10000,0.0,250.0,0.0,0.0518,243.9024,0.1707,0.0,0.001,0.0016,127.2302
20000,0.0,250.0,0.0,0.013,243.9024,0.0244,-0.0,0.0001,0.0001,587.3025
30000,0.0,250.0,0.0,0.0298,250.0,0.1,-0.0,0.0001,0.0,590.9539
40000,0.0,250.0,0.0,0.0434,238.0952,0.0952,-0.0,0.0001,0.0,586.8334
50000,0.0,250.0,0.0,0.0594,238.0952,0.1429,-0.0,0.0001,0.0001,585.4751
60000,0.0,250.0,0.0,0.0886,232.5581,0.2326,-0.0,0.0002,0.0003,582.3775
70000,0.0,250.0,0.0,0.0895,227.2727,0.2273,-0.0001,0.0003,0.0004,579.7207
80000,0.0,250.0,0.0,0.0503,243.9024,0.1951,-0.0005,0.0005,0.0004,578.0115
90000,0.0,250.0,0.0,0.1377,217.3913,0.2826,-0.0005,0.0006,0.0004,578.2206
100000,0.0,250.0,0.0,0.1837,212.766,0.383,-0.0005,0.0005,0.0005,575.5157
110000,0.1899,202.8,0.2,0.4067,158.7302,0.7302,-0.0008,0.0006,0.0008,571.5283
120000,0.0,250.0,0.0,0.5676,114.9425,0.908,-0.002,0.0011,0.0014,567.6032
130000,0.0,250.0,0.0,0.6946,84.0336,0.9664,-0.0043,0.0019,0.0026,559.0902
140000,0.9658,9.5,1.0,0.7595,66.6667,0.9933,-0.0052,0.0025,0.0029,554.4919
150000,0.9644,9.9,1.0,0.8039,54.3478,1.0,-0.0038,0.0033,0.0024,547.4959
160000,0.9572,11.9,1.0,0.8325,46.5116,1.0,-0.0103,0.0045,0.0026,544.497
170000,0.964,10.0,1.0,0.8462,42.735,1.0,-0.0151,0.0053,0.0033,538.8538
180000,0.9651,9.7,1.0,0.8566,39.8406,1.0,-0.0192,0.006,0.0036,536.9206
190000,0.9654,9.6,1.0,0.8699,36.2319,1.0,-0.022,0.0064,0.0028,534.91
200000,0.9672,9.1,1.0,0.8702,35.9712,1.0,-0.022,0.007,0.0021,531.1616
210000,0.9615,10.7,1.0,0.8773,34.2466,1.0,-0.0234,0.0077,0.0022,531.4005
220000,0.964,10.0,1.0,0.8851,31.746,1.0,-0.0251,0.0085,0.0023,529.5469
230000,0.9633,10.2,1.0,0.8882,31.1526,1.0,-0.0256,0.01,0.0024,529.2156
240000,0.2899,177.8,0.3,0.8684,36.63,1.0,-0.0329,0.0135,0.0022,527.3327
250000,0.8377,42.3,0.9,0.6795,87.7193,0.9474,-0.0404,0.0137,0.0016,528.8383
260000,0.578,106.1,0.6,0.7587,66.2252,0.9801,-0.0485,0.0145,0.0018,526.2169
270000,0.1928,202.0,0.2,0.8674,36.7647,1.0,-0.0468,0.0152,0.0021,522.9812
280000,0.0,250.0,0.0,0.6955,81.9672,0.9098,-0.053,0.0152,0.0021,524.4103
290000,0.0,250.0,0.0,0.111,232.5581,0.3256,-0.0439,0.0129,0.0023,526.4186
300000,0.8352,43.0,0.9,0.5058,129.8701,0.8052,-0.0434,0.0128,0.0023,527.181
310000,0.7062,81.6,1.0,0.8287,47.1698,0.9906,-0.0442,0.0132,0.0025,523.4411
320000,0.9503,13.8,1.0,0.8474,42.3729,1.0,-0.0275,0.0147,0.0023,524.6226
330000,0.9651,9.7,1.0,0.8859,31.746,1.0,-0.0282,0.016,0.0028,522.8374
340000,0.9615,10.7,1.0,0.8978,28.3286,1.0,-0.0315,0.0169,0.0027,519.9867
350000,0.0,250.0,0.0,0.9042,26.5957,1.0,-0.0317,0.0174,0.0025,517.4271
360000,0.9647,9.8,1.0,0.9014,27.3973,1.0,-0.0332,0.0167,0.0033,517.1298
370000,0.0,250.0,0.0,0.9085,25.5102,1.0,-0.0353,0.0185,0.0031,516.252
380000,0.1928,202.0,0.2,0.8951,29.0698,1.0,-0.0333,0.0168,0.0032,513.1407
390000,0.0,250.0,0.0,0.8266,48.0769,0.9856,-0.0322,0.0164,0.0029,516.5906
