env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,250.0,0.0,,,,,,
10000,0.0,250.0,0.0,0.0212,250.0,0.05,0.0006,0.0007,596.4635
20000,0.0,250.0,0.0,0.0542,238.0952,0.1429,0.0003,0.0001,744.361
30000,0.282,180.0,0.3,0.1134,227.2727,0.25,0.0002,0.0004,747.034
40000,0.1899,202.8,0.2,0.1498,212.766,0.2553,0.0004,0.0009,749.5816
50000,0.0788,230.9,0.1,0.1679,212.766,0.4043,0.0006,0.0013,736.8198
60000,0.4669,134.2,0.5,0.2426,196.0784,0.4902,0.0008,0.0014,728.1868
70000,0.4122,149.4,0.5,0.2617,196.0784,0.5882,0.001,0.0012,729.3927
80000,0.5718,110.6,0.7,0.1747,212.766,0.4468,0.001,0.001,721.6933
90000,0.0784,231.0,0.1,0.2334,200.0,0.52,0.0011,0.0009,727.2633
100000,0.5305,119.3,0.6,0.2249,204.0816,0.5102,0.0011,0.0008,725.7141
110000,0.7715,60.7,0.9,0.3279,178.5714,0.6964,0.0011,0.0007,720.735
120000,0.6891,80.8,0.8,0.3641,163.9344,0.6393,0.0012,0.0007,719.1782
130000,0.814,48.9,0.9,0.3935,161.2903,0.7581,0.0012,0.0007,715.1721
140000,0.7381,67.2,0.8,0.4623,144.9275,0.8406,0.0012,0.0008,705.6952
150000,0.914,23.9,1.0,0.5403,125.0,0.9125,0.0013,0.0009,699.884
160000,0.7312,69.1,0.8,0.6385,101.0101,0.9798,0.0013,0.0011,701.2419
170000,0.9309,19.2,1.0,0.7223,76.3359,1.0,0.0014,0.0014,696.2432
180000,0.9492,14.1,1.0,0.7559,68.4932,1.0,0.0014,0.0018,689.0461
190000,0.9554,12.4,1.0,0.7504,68.4932,1.0,0.0015,0.002,691.2888
200000,0.924,21.1,1.0,0.7717,63.2911,0.9937,0.0016,0.0021,687.1527
210000,0.8582,36.6,0.9,0.7922,57.8035,1.0,0.0016,0.0022,684.151
220000,0.9593,11.3,1.0,0.7976,56.1798,1.0,0.0017,0.0023,681.1163
