env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,144.0,0.0,,,,,,,
10000,0.0,144.0,0.0,-1.0,6.6489,0.0,-0.0824,0.0749,0.0072,191.3673
20000,0.6931,47.5,0.9,-0.9926,6.6225,0.004,-0.0903,0.0661,0.0012,538.4592
30000,0.6369,58.1,1.0,-0.9936,6.8493,0.0034,-0.111,0.0672,0.0021,540.1106
40000,0.0131,143.5,0.1,-0.9947,6.93,0.0028,-0.1299,0.066,0.0023,539.3363
50000,0.1875,122.0,0.5,-0.9904,7.2202,0.0051,-0.1353,0.0643,0.003,539.1422
60000,0.5137,76.2,0.9,-0.9877,7.2464,0.0065,-0.1512,0.0636,0.0039,537.9524
70000,0.7794,35.3,1.0,-0.9796,7.758,0.0109,-0.1747,0.0673,0.0042,536.3455
80000,0.6956,48.7,1.0,-0.9784,7.6864,0.0115,-0.2022,0.0676,0.0046,534.6895
90000,0.73,43.2,1.0,-0.9772,7.9936,0.012,-0.2201,0.0656,0.0051,533.9921
100000,0.8625,22.0,1.0,-0.9622,8.3472,0.02,-0.2343,0.0672,0.0063,529.6398
110000,0.8213,28.6,1.0,-0.965,8.4175,0.0185,-0.2324,0.0675,0.007,529.578
120000,0.8388,25.8,1.0,-0.9542,9.0009,0.0243,-0.2353,0.0717,0.0055,528.4945
130000,0.8819,18.9,1.0,-0.9529,8.6207,0.025,-0.237,0.0711,0.0051,528.4285
140000,0.6963,47.0,0.9,-0.9575,8.6881,0.0226,-0.2244,0.0716,0.0046,526.8966
150000,0.4,88.0,0.5,-0.9327,8.9767,0.0359,-0.228,0.073,0.0037,526.2121
160000,0.7594,38.5,1.0,-0.948,9.2593,0.0278,-0.2167,0.0721,0.0039,522.9599
170000,0.7025,46.0,0.9,-0.9286,9.2678,0.038,-0.2142,0.0706,0.0042,524.2728
180000,0.8812,19.0,1.0,-0.9226,9.311,0.041,-0.2242,0.0696,0.0046,523.876
190000,0.8769,19.7,1.0,-0.9259,9.6525,0.0396,-0.2284,0.0722,0.0047,523.5968
200000,0.7706,36.7,1.0,-0.9019,9.9502,0.0517,-0.2285,0.0714,0.0044,521.5648
210000,0.8863,18.2,1.0,-0.8953,9.8328,0.056,-0.237,0.0733,0.0053,516.4035
220000,0.8719,20.5,1.0,-0.8804,10.2881,0.0638,-0.2465,0.0757,0.0047,519.1772
230000,0.885,18.4,1.0,-0.8713,10.7759,0.069,-0.2201,0.0762,0.0048,514.1223
240000,0.8987,16.2,1.0,-0.8726,10.3093,0.068,-0.2129,0.0743,0.0072,519.29
250000,0.8956,16.7,1.0,-0.8432,10.7527,0.0839,-0.2295,0.0763,0.0066,517.4605
260000,0.8787,19.4,1.0,-0.8152,11.0254,0.0981,-0.2178,0.0745,0.0061,516.6181
270000,0.89,17.6,1.0,-0.7653,10.9769,0.1251,-0.2139,0.0756,0.0047,516.7355
280000,0.8981,16.3,1.0,-0.7848,10.9051,0.1145,-0.2113,0.0764,0.0042,514.2293
