env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,-1.0,6.9,0.0,,,,,,
10000,0.0963,131.8,0.2,-0.9975,6.4433,0.0013,0.001,0.005,581.5002
20000,0.525,74.4,0.9,-0.9964,6.6979,0.002,0.0008,0.0007,942.861
30000,0.5906,63.9,0.9,-0.9922,6.9881,0.0042,0.0007,0.0009,805.9503
40000,0.3537,100.2,0.8,-0.9932,7.2307,0.0036,0.0007,0.0011,896.0716
50000,0.5719,65.3,0.8,-0.9959,7.2307,0.0022,0.0007,0.0011,889.8001
60000,0.7,48.0,1.0,-0.9843,7.6104,0.0084,0.0008,0.0015,887.7082
70000,0.7269,43.7,1.0,-0.9943,7.6161,0.003,0.0008,0.0018,880.819
80000,0.5294,73.7,0.9,-0.9883,7.9302,0.0063,0.0009,0.002,882.841
90000,0.6394,54.5,0.8,-0.9859,8.3056,0.0075,0.001,0.0018,876.2768
100000,0.8238,28.2,1.0,-0.9837,7.9051,0.0087,0.001,0.002,873.7604
110000,0.6287,57.8,0.9,-0.9858,8.3963,0.0076,0.0011,0.0021,871.0963
120000,0.7544,39.3,1.0,-0.9679,8.5911,0.0172,0.0011,0.0021,871.683
130000,0.7963,32.6,1.0,-0.9684,8.9606,0.017,0.0011,0.0026,871.1557
140000,0.7063,47.0,1.0,-0.9692,9.2764,0.0167,0.0012,0.0028,866.4463
150000,0.4469,86.9,0.9,-0.9474,9.0744,0.0281,0.0012,0.0028,859.7092
160000,0.7894,33.7,1.0,-0.9528,9.3284,0.0252,0.0013,0.0034,850.2658
170000,0.7844,34.5,1.0,-0.9535,10.4384,0.0251,0.0013,0.0032,855.6531
180000,0.745,40.8,1.0,-0.9461,9.9502,0.0289,0.0014,0.0035,850.238
190000,0.7994,32.1,1.0,-0.9364,10.1317,0.0344,0.0014,0.0035,847.4134
200000,0.735,40.8,0.9,-0.9227,10.6952,0.0417,0.0014,0.0036,846.9725
210000,0.8575,22.8,1.0,-0.9019,10.5042,0.0525,0.0015,0.0038,840.7249
220000,0.9044,15.3,1.0,-0.8889,10.352,0.059,0.0015,0.0039,835.1584
230000,0.8794,19.3,1.0,-0.8455,10.989,0.0824,0.0015,0.0036,836.6888
240000,0.8844,18.5,1.0,-0.8145,11.0742,0.0986,0.0015,0.0036,832.4469
250000,0.8463,24.6,1.0,-0.8444,10.6724,0.0832,0.0016,0.0036,829.5668
260000,0.8706,20.7,1.0,-0.8199,11.1607,0.096,0.0016,0.0033,834.6611
270000,0.92,12.8,1.0,-0.7783,11.0011,0.1177,0.0016,0.0033,834.7402
