env_steps,return,length,success,train/return,train/length,train/success,zp_loss,rp_loss,critic_loss,FPS
0,-0.5388,23.8,0.2,,,,,,,
10000,0.4875,80.4,0.9,-0.9935,6.7476,0.0034,0.0019,0.0104,0.0059,464.1468
20000,0.4237,87.4,0.7,-0.9964,6.6622,0.002,0.0014,0.0002,0.0014,846.5537
30000,0.5275,74.0,0.9,-0.9921,7.0721,0.0042,0.0011,0.0001,0.0014,856.6761
40000,0.8187,29.0,1.0,-0.9961,6.993,0.0021,0.001,0.0002,0.0014,855.8485
50000,0.8744,20.1,1.0,-0.9862,7.3638,0.0074,0.001,0.0001,0.0017,852.8443
60000,0.8875,18.0,1.0,-0.9876,7.3099,0.0066,0.0009,0.0001,0.0019,843.5024
70000,0.3706,94.3,0.6,-0.9805,7.4738,0.0105,0.0009,0.0001,0.0021,835.4702
80000,0.6838,50.6,1.0,-0.9795,7.716,0.0108,0.0008,0.0,0.0023,834.4833
90000,0.8906,17.5,1.0,-0.9806,7.8864,0.0103,0.0008,0.0,0.0025,842.6194
100000,0.9,16.0,1.0,-0.9581,8.1699,0.0221,0.0008,0.0,0.0026,841.6704
110000,0.8638,21.8,1.0,-0.9714,8.3682,0.0151,0.0008,0.0,0.0024,836.4349
120000,0.9131,13.9,1.0,-0.9537,8.4962,0.0246,0.0008,0.0,0.0022,834.1727
130000,0.9225,12.4,1.0,-0.9503,8.8183,0.0265,0.0008,0.0,0.0021,832.1867
140000,0.9106,14.3,1.0,-0.9446,8.8968,0.0294,0.0008,0.0,0.0021,829.1771
150000,0.8844,18.5,1.0,-0.9358,8.7108,0.034,0.0008,0.0,0.002,823.4648
160000,0.8831,18.7,1.0,-0.9152,9.1659,0.0449,0.0008,0.0,0.0021,823.4534
170000,0.9306,11.1,1.0,-0.8781,9.6805,0.0649,0.0008,0.0,0.0022,821.7266
180000,0.9088,14.6,1.0,-0.8528,9.311,0.0782,0.0008,0.0,0.0023,815.45
190000,0.9263,11.8,1.0,-0.8433,9.8135,0.0834,0.0008,0.0,0.0023,810.1306
200000,0.9187,13.0,1.0,-0.8589,9.6993,0.0747,0.0008,0.0,0.0023,807.5475
210000,0.8994,16.1,1.0,-0.8093,9.7847,0.1008,0.0008,0.0,0.0023,813.5429
220000,0.9275,11.6,1.0,-0.7915,9.99,0.1109,0.0009,0.0,0.0022,811.5142
230000,0.9025,15.6,1.0,-0.7842,9.8232,0.1139,0.0009,0.0,0.0022,806.4638
240000,0.935,10.4,1.0,-0.7641,10.3413,0.1251,0.0009,0.0,0.0021,808.2394
250000,0.9212,12.6,1.0,-0.7691,10.1937,0.1223,0.0009,0.0,0.002,800.0871
260000,0.8987,16.2,1.0,-0.7305,10.4493,0.1432,0.0009,0.0,0.002,791.5402
270000,0.9306,11.1,1.0,-0.7468,10.1833,0.1344,0.0009,0.0,0.002,796.18
280000,0.9119,14.1,1.0,-0.7318,9.9502,0.1423,0.0009,0.0,0.0019,799.5772
290000,0.91,14.4,1.0,-0.7022,10.4603,0.1579,0.0009,0.0,0.0019,797.8672
300000,0.9269,11.7,1.0,-0.6726,10.627,0.1732,0.0009,0.0,0.0018,790.914
310000,0.9056,15.1,1.0,-0.6268,10.7181,0.1972,0.0009,0.0,0.0018,799.1429
320000,0.9081,14.7,1.0,-0.6122,10.9649,0.205,0.0009,0.0,0.0017,796.554
330000,0.905,15.2,1.0,-0.5948,11.1483,0.2152,0.0009,0.0,0.0017,787.4857
340000,0.9169,13.3,1.0,-0.5578,10.8578,0.2334,0.0009,0.0,0.0017,788.9814
350000,0.9137,13.8,1.0,-0.5576,11.1857,0.2338,0.0009,0.0,0.0017,789.7362
360000,0.9037,15.4,1.0,-0.5192,11.0865,0.2539,0.0009,0.0,0.0017,781.8658
370000,0.9137,13.8,1.0,-0.5102,11.325,0.2593,0.0009,0.0,0.0017,783.4384
380000,0.9313,11.0,1.0,-0.5221,11.3122,0.2534,0.0009,0.0,0.0016,781.3471
390000,0.9287,11.4,1.0,-0.5029,10.7411,0.2621,0.0009,0.0,0.0016,779.6758
400000,0.9044,15.3,1.0,-0.455,11.4025,0.2885,0.0009,0.0,0.0016,775.5844
410000,0.91,14.4,1.0,-0.4575,11.4679,0.2867,0.0009,0.0,0.0016,785.3141
420000,0.925,12.0,1.0,-0.3848,12.0773,0.3249,0.0009,0.0,0.0016,779.7021
430000,0.91,14.4,1.0,-0.3794,11.4943,0.3276,0.0009,0.0,0.0016,769.6573
440000,0.9112,14.2,1.0,-0.2727,11.655,0.3834,0.001,0.0,0.0016,777.0811
450000,0.9119,14.1,1.0,-0.3736,11.7371,0.331,0.001,0.0,0.0016,779.4846
460000,0.9094,14.5,1.0,-0.2888,11.6009,0.3747,0.001,0.0,0.0015,777.05
470000,0.9275,11.6,1.0,-0.3042,11.6414,0.3667,0.001,0.0,0.0015,779.6891
480000,0.9231,12.3,1.0,-0.2973,11.5741,0.3704,0.001,0.0,0.0015,779.1531
490000,0.9269,11.7,1.0,-0.2859,11.5875,0.3754,0.001,0.0,0.0015,767.1276
500000,0.9319,10.9,1.0,-0.2601,11.4155,0.3893,0.001,0.0,0.0015,768.7347
510000,0.9187,13.0,1.0,-0.1779,12.21,0.4335,0.001,0.0,0.0015,774.1072
520000,0.9206,12.7,1.0,-0.251,11.5607,0.3942,0.001,0.0,0.0015,771.81
530000,0.9262,11.8,1.0,-0.1446,12.1803,0.4507,0.001,0.0,0.0015,758.8986
