env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,-0.4119,8.2,0.3,,,,,,,
10000,0.815,29.6,1.0,-0.8605,6.5232,0.0711,-0.0297,0.1362,0.0193,177.9323
20000,0.8,32.0,1.0,-0.8339,6.7385,0.0849,-0.0707,0.1218,0.0237,544.8908
30000,0.8919,17.3,1.0,-0.8443,6.6445,0.0797,-0.0953,0.1148,0.0184,542.0478
40000,0.8037,31.4,1.0,-0.8032,6.5147,0.1003,-0.1103,0.1124,0.0133,540.7781
50000,0.8688,21.0,1.0,-0.8027,6.9493,0.1008,-0.1141,0.1107,0.0102,539.1182
60000,0.9444,8.9,1.0,-0.788,6.9541,0.1085,-0.1187,0.1104,0.0082,538.6688
70000,0.9331,10.7,1.0,-0.8045,7.2098,0.1002,-0.1259,0.1102,0.0076,537.9443
80000,0.8469,24.5,1.0,-0.7515,7.485,0.1272,-0.1316,0.1108,0.0072,536.1328
90000,0.8425,23.6,0.9,-0.6927,7.0922,0.1574,-0.1348,0.1111,0.0069,532.1902
100000,0.9225,12.4,1.0,-0.7194,7.1942,0.1439,-0.1365,0.1101,0.0066,533.8989
110000,0.9375,10.0,1.0,-0.643,7.7821,0.1829,-0.1386,0.1103,0.0062,531.8665
120000,0.8706,20.7,1.0,-0.6394,7.4129,0.1846,-0.1376,0.1102,0.0057,531.0617
130000,0.9481,8.3,1.0,-0.6285,7.4738,0.1906,-0.1385,0.1092,0.0056,526.7385
140000,0.8925,17.2,1.0,-0.6408,7.8802,0.1844,-0.1386,0.1082,0.0053,526.7228
150000,0.9563,7.0,1.0,-0.5682,7.3529,0.2213,-0.1391,0.1087,0.0051,524.5061
160000,0.9013,15.8,1.0,-0.6001,8.0515,0.2061,-0.1402,0.1074,0.0051,527.1512
170000,0.9237,12.2,1.0,-0.5535,7.8309,0.2294,-0.1425,0.1079,0.0048,526.9659
180000,0.9144,13.7,1.0,-0.5092,8.1633,0.2531,-0.1471,0.1071,0.0046,524.5472
190000,0.83,27.2,1.0,-0.5871,8.3542,0.2122,-0.2104,0.1265,0.014,523.3647
200000,0.8912,17.4,1.0,-0.6174,8.1367,0.1961,-0.2658,0.1267,0.0157,523.3671
210000,0.8406,23.9,0.9,-0.5474,8.1235,0.2323,-0.256,0.1293,0.0138,522.6581
220000,0.8569,22.9,1.0,-0.5077,9.058,0.2536,-0.2533,0.1276,0.0147,519.5514
230000,0.8894,17.7,1.0,-0.5031,9.0662,0.2557,-0.2453,0.1215,0.0104,515.7838
240000,0.8181,29.1,1.0,-0.5114,8.8339,0.2509,-0.2339,0.1176,0.0086,518.9377
250000,0.5606,67.1,0.8,-0.5405,9.7371,0.2376,-0.2434,0.1274,0.0078,514.9564
260000,0.745,40.8,1.0,-0.4877,9.542,0.2643,-0.2726,0.1224,0.0075,514.4746
270000,0.845,24.8,1.0,-0.4669,8.9847,0.274,-0.2752,0.1135,0.007,511.5018
280000,0.8812,19.0,1.0,-0.4394,8.7873,0.2873,-0.2559,0.1106,0.0071,513.6971
290000,0.8344,26.5,1.0,-0.3741,9.0662,0.3218,-0.2514,0.1116,0.0062,515.8507
300000,0.92,12.8,1.0,-0.3196,9.0662,0.3509,-0.2532,0.1099,0.0059,515.1747
310000,0.8262,26.2,0.9,-0.317,9.5602,0.3518,-0.2529,0.1088,0.0064,515.3281
320000,0.9131,13.9,1.0,-0.3265,9.4607,0.3472,-0.2585,0.1084,0.0061,514.9695
330000,0.9369,10.1,1.0,-0.2748,8.6957,0.373,-0.257,0.1082,0.0059,512.2152
340000,0.8712,20.6,1.0,-0.1927,9.2764,0.4156,-0.2531,0.1068,0.0059,509.4337
350000,0.9506,7.9,1.0,-0.2397,9.3545,0.392,-0.2515,0.1057,0.0057,509.5588
360000,0.955,7.2,1.0,-0.1548,9.3197,0.4352,-0.25,0.1064,0.006,509.9061
370000,0.9138,13.8,1.0,-0.1688,9.3458,0.428,-0.2491,0.1055,0.0057,509.061
380000,0.8762,19.8,1.0,-0.2161,10.3093,0.4052,-0.2509,0.1045,0.0051,510.9398
390000,0.8738,20.2,1.0,-0.206,9.7752,0.4086,-0.2405,0.1057,0.0049,511.3342
400000,0.905,15.2,1.0,-0.1708,9.9404,0.4274,-0.256,0.1041,0.0052,511.5103
410000,0.87,20.8,1.0,-0.1568,9.7466,0.4347,-0.2562,0.1027,0.0051,509.7741
420000,0.9113,14.2,1.0,-0.0776,9.8619,0.4763,-0.2561,0.1029,0.0056,507.6714
430000,0.88,19.2,1.0,-0.1406,9.6246,0.4427,-0.2612,0.1039,0.0056,508.337
440000,0.9075,14.8,1.0,-0.0585,10.0806,0.4869,-0.2639,0.1028,0.0052,506.7994
450000,0.9144,13.7,1.0,-0.1109,9.6712,0.4584,-0.255,0.1024,0.0059,499.1029
460000,0.55,65.6,0.6,-0.0633,9.6899,0.4826,-0.2438,0.1006,0.0062,504.3445
470000,0.8906,17.5,1.0,-0.0528,9.8912,0.4896,-0.2492,0.1008,0.0056,504.336
480000,0.905,15.2,1.0,-0.0152,8.9606,0.5072,-0.2637,0.1014,0.0053,503.348
490000,0.7562,39.0,1.0,-0.0036,9.8814,0.5148,-0.2635,0.0993,0.0052,501.9983
500000,0.9294,11.3,1.0,0.0512,9.9701,0.5434,-0.2622,0.0987,0.0048,500.9103
510000,0.9662,5.4,1.0,0.0562,9.9108,0.5451,-0.261,0.0981,0.0047,500.6248
520000,0.9406,9.5,1.0,0.0207,9.8328,0.527,-0.265,0.0978,0.0047,500.3451
530000,0.9344,10.5,1.0,0.076,9.8814,0.5563,-0.27,0.098,0.0048,500.6278
540000,0.9469,8.5,1.0,0.0641,9.8328,0.5487,-0.2743,0.0966,0.0046,499.6217
550000,0.9463,8.6,1.0,0.1922,9.7656,0.6143,-0.2715,0.0962,0.0049,499.0638
560000,0.9469,8.5,1.0,0.1878,9.98,0.6138,-0.2704,0.0954,0.0051,498.6821
570000,0.95,8.0,1.0,0.1555,9.5147,0.5966,-0.2695,0.0947,0.0047,497.4386
580000,0.7537,36.2,0.8,0.1599,9.7561,0.599,-0.2684,0.0948,0.0046,495.813
590000,0.935,10.4,1.0,0.2167,9.5785,0.6274,-0.2611,0.0943,0.0046,495.9876
600000,0.875,20.0,1.0,0.2442,9.7182,0.6424,-0.2682,0.0933,0.0044,494.6641
610000,0.925,12.0,1.0,0.2378,9.9602,0.6394,-0.2702,0.0932,0.0041,494.586
620000,0.7762,34.2,0.9,0.2786,9.6712,0.6596,-0.2654,0.0926,0.004,493.2016
630000,0.8538,21.8,0.9,0.2781,9.901,0.6604,-0.2644,0.0928,0.004,493.8039
640000,0.9369,10.1,1.0,0.2732,9.8619,0.6578,-0.2666,0.0922,0.004,494.4334
650000,0.9431,9.1,1.0,0.2786,9.99,0.6603,-0.2706,0.0915,0.0039,494.5708
660000,0.88,19.2,1.0,0.2565,10.3842,0.6501,-0.2737,0.091,0.0039,494.1732
670000,0.9525,7.6,1.0,0.2947,9.0334,0.6667,-0.274,0.0917,0.004,492.301
680000,0.9269,11.7,1.0,0.3243,9.6246,0.6833,-0.2748,0.0902,0.0042,494.895
690000,0.9412,9.4,1.0,0.3614,9.9305,0.7031,-0.2706,0.0873,0.0042,494.5444
700000,0.895,16.8,1.0,0.3383,9.7087,0.6903,-0.2713,0.0874,0.0045,492.3497
710000,0.9488,8.2,1.0,0.37,9.2764,0.7059,-0.2732,0.0861,0.0042,491.5785
720000,0.9144,13.7,1.0,0.3866,9.1827,0.7144,-0.2731,0.087,0.0041,491.83
730000,0.865,21.6,1.0,0.3801,9.4251,0.7116,-0.2719,0.086,0.0043,492.0128
740000,0.9225,12.4,1.0,0.399,9.2421,0.7209,-0.2732,0.0852,0.0039,490.89
750000,0.9119,14.1,1.0,0.3903,9.2166,0.7171,-0.2739,0.0861,0.004,490.9211
760000,0.9319,10.9,1.0,0.4696,9.1491,0.7575,-0.2755,0.0857,0.0039,488.8833
770000,0.9319,10.9,1.0,0.4744,9.4162,0.7599,-0.2746,0.083,0.0038,489.7729
780000,0.9344,10.5,1.0,0.462,8.9526,0.7529,-0.2759,0.0841,0.0038,490.8695
790000,0.9531,7.5,1.0,0.4194,9.6899,0.7326,-0.2758,0.083,0.0038,490.4374
800000,0.9194,12.9,1.0,0.463,9.0498,0.7538,-0.2758,0.0823,0.0038,489.286
810000,0.9231,12.3,1.0,0.4635,9.2593,0.7546,-0.2764,0.0821,0.0037,489.4278
820000,0.9356,10.3,1.0,0.5102,9.0744,0.7777,-0.2759,0.0817,0.0034,487.9242
830000,0.9263,11.8,1.0,0.4958,9.434,0.7717,-0.2761,0.0801,0.0033,487.7955
840000,0.9587,6.6,1.0,0.4752,9.7276,0.7617,-0.2774,0.0811,0.004,486.9839
850000,0.9519,7.7,1.0,0.5164,9.2251,0.7814,-0.2784,0.0808,0.0033,487.356
860000,0.9487,8.2,1.0,0.556,9.2678,0.8017,-0.2808,0.0805,0.0032,484.2595
870000,0.9037,15.4,1.0,0.4994,9.0009,0.7723,-0.2768,0.0807,0.0032,483.1911
880000,0.9294,11.3,1.0,0.5175,9.2507,0.7826,-0.2768,0.08,0.0033,485.1132
890000,0.9531,7.5,1.0,0.5246,9.3545,0.7858,-0.2753,0.079,0.0031,484.5219
