env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,144.0,0.0,,,,,,
10000,0.9,16.0,1.0,-0.8632,6.5789,0.0697,0.0009,0.014,580.6456
20000,0.705,47.2,1.0,-0.828,6.592,0.0877,0.0013,0.0085,895.2892
30000,0.655,55.2,1.0,-0.8461,6.6445,0.0784,0.0013,0.0072,898.6615
40000,0.9119,14.1,1.0,-0.8536,6.6711,0.0747,0.0012,0.0069,890.5567
50000,0.8169,29.3,1.0,-0.8148,6.8446,0.0945,0.0012,0.0069,890.7292
60000,0.8931,17.1,1.0,-0.7833,7.2411,0.1108,0.0013,0.0069,888.6397
70000,0.7269,43.7,1.0,-0.8259,7.2464,0.0891,0.0013,0.0072,881.426
80000,0.7069,45.3,0.9,-0.7978,7.5586,0.1036,0.0013,0.0076,877.4804
90000,0.8738,20.2,1.0,-0.8036,7.5873,0.1009,0.0014,0.0075,875.5867
100000,0.8525,23.6,1.0,-0.7558,7.2202,0.1249,0.0014,0.0076,872.2612
110000,0.92,12.8,1.0,-0.7712,7.8125,0.1172,0.0014,0.0078,868.2703
120000,0.8863,18.2,1.0,-0.7353,7.9936,0.1359,0.0014,0.008,868.4731
130000,0.8606,22.3,1.0,-0.7419,7.7519,0.1326,0.0014,0.0078,861.8741
140000,0.8538,23.4,1.0,-0.7005,8.1367,0.1538,0.0015,0.0076,857.4579
150000,0.845,24.8,1.0,-0.676,7.8493,0.1664,0.0015,0.0071,851.6452
160000,0.865,21.6,1.0,-0.6085,8.0645,0.2008,0.0015,0.0068,854.6994
170000,0.9656,5.5,1.0,-0.6195,8.0841,0.1956,0.0016,0.0066,854.0287
180000,0.8506,23.9,1.0,-0.5854,8.0257,0.2127,0.0016,0.0066,850.8077
190000,0.9006,15.9,1.0,-0.5571,8.244,0.2275,0.0016,0.0065,844.6663
200000,0.9325,10.8,1.0,-0.4991,8.244,0.2572,0.0016,0.0067,840.5691
210000,0.9325,10.8,1.0,-0.4689,8.2034,0.2724,0.0016,0.0063,843.4755
220000,0.9287,11.4,1.0,-0.4722,8.1766,0.2706,0.0016,0.0063,843.8617
230000,0.9569,6.9,1.0,-0.4337,7.9808,0.2905,0.0016,0.0059,840.7656
240000,0.925,12.0,1.0,-0.3871,7.874,0.315,0.0016,0.0059,831.0653
250000,0.9638,5.8,1.0,-0.3873,8.3126,0.315,0.0016,0.0055,835.8167
260000,0.8988,16.2,1.0,-0.353,8.2713,0.3325,0.0016,0.0052,828.4244
270000,0.9488,8.2,1.0,-0.3605,8.2102,0.3284,0.0017,0.005,828.614
280000,0.9313,11.0,1.0,-0.3273,8.1367,0.3458,0.0017,0.005,825.4781
290000,0.9412,9.4,1.0,-0.3094,8.3822,0.3554,0.0017,0.0054,820.9519
300000,0.9319,10.9,1.0,-0.2484,8.4674,0.387,0.0017,0.0042,823.2903
310000,0.9187,13.0,1.0,-0.2209,8.6059,0.401,0.0017,0.0043,824.6973
320000,0.9519,7.7,1.0,-0.2031,8.6806,0.4106,0.0017,0.0043,823.8398
330000,0.9512,7.8,1.0,-0.2272,9.0171,0.3986,0.0017,0.004,822.5407
340000,0.9363,10.2,1.0,-0.1397,8.2305,0.4428,0.0017,0.004,819.5194
350000,0.9406,9.5,1.0,-0.0888,8.7336,0.469,0.0017,0.0039,819.6653
360000,0.955,7.2,1.0,-0.1223,8.658,0.4519,0.0017,0.0039,820.1961
370000,0.9356,10.3,1.0,-0.107,8.9445,0.4606,0.0017,0.0037,813.2812
380000,0.91,14.4,1.0,-0.0587,9.0498,0.486,0.0017,0.0037,813.4756
390000,0.9594,6.5,1.0,-0.0609,8.3822,0.4828,0.0017,0.0037,810.9118
400000,0.945,8.8,1.0,0.0067,8.569,0.5184,0.0017,0.0035,810.011
410000,0.94,9.6,1.0,0.0624,8.8183,0.5467,0.0017,0.0034,808.4746
420000,0.9444,8.9,1.0,0.0727,8.6281,0.5522,0.0017,0.0034,809.2854
430000,0.9644,5.7,1.0,0.0932,8.3612,0.5627,0.0017,0.0032,806.2967
440000,0.9412,9.4,1.0,0.1087,8.5179,0.5707,0.0017,0.0032,801.1561
450000,0.9419,9.3,1.0,0.0938,8.6881,0.563,0.0017,0.0032,801.5313
460000,0.9319,10.9,1.0,0.1304,8.1633,0.5804,0.0017,0.0031,804.4217
470000,0.9637,5.8,1.0,0.1623,8.643,0.5981,0.0017,0.0032,802.3137
480000,0.9419,9.3,1.0,0.1324,8.0064,0.5821,0.0017,0.0028,793.153
490000,0.955,7.2,1.0,0.201,8.7032,0.6179,0.0017,0.0028,796.7467
500000,0.955,7.2,1.0,0.2402,8.3963,0.6381,0.0017,0.0029,795.2417
510000,0.9569,6.9,1.0,0.1896,8.1433,0.6116,0.0017,0.0027,788.7257
520000,0.9412,9.4,1.0,0.2547,8.285,0.6454,0.0017,0.0028,792.4101
530000,0.9531,7.5,1.0,0.2502,8.7184,0.6434,0.0017,0.0028,793.2232
540000,0.965,5.6,1.0,0.234,8.1433,0.6344,0.0017,0.0027,788.1954
550000,0.9256,11.9,1.0,0.3426,8.7032,0.691,0.0017,0.0026,783.2738
560000,0.95,8.0,1.0,0.3199,8.5324,0.6792,0.0017,0.0029,785.5834
570000,0.9425,9.2,1.0,0.3279,8.2576,0.6829,0.0017,0.0024,788.3896
580000,0.9394,9.7,1.0,0.2782,8.3963,0.6574,0.0017,0.0025,784.9106
590000,0.9425,9.2,1.0,0.3382,8.4317,0.688,0.0017,0.0025,779.3927
600000,0.955,7.2,1.0,0.3612,9.2336,0.7018,0.0017,0.0025,787.7521
610000,0.9412,9.4,1.0,0.3697,8.2237,0.7039,0.0017,0.0025,779.6174
620000,0.9513,7.8,1.0,0.3662,8.4602,0.703,0.0017,0.0025,781.778
630000,0.9469,8.5,1.0,0.3916,8.1037,0.7147,0.0017,0.0024,782.8743
640000,0.9575,6.8,1.0,0.3845,8.2576,0.7118,0.0017,0.0024,775.6442
650000,0.955,7.2,1.0,0.4003,8.3542,0.7201,0.0017,0.0024,776.4552
660000,0.9725,4.4,1.0,0.4822,8.4388,0.762,0.0017,0.0024,773.4996
670000,0.9525,7.6,1.0,0.3946,8.3126,0.7165,0.0017,0.0023,781.9291
680000,0.9444,8.9,1.0,0.3888,7.9491,0.713,0.0017,0.0023,778.1693
690000,0.9525,7.6,1.0,0.4588,8.2713,0.7502,0.0017,0.0023,777.1938
700000,0.9656,5.5,1.0,0.4756,8.2034,0.758,0.0017,0.0023,777.6482
710000,0.9244,12.1,1.0,0.4777,8.0064,0.759,0.0017,0.0023,772.1308
720000,0.9306,11.1,1.0,0.5158,7.776,0.7776,0.0017,0.0023,773.3055
730000,0.9669,5.3,1.0,0.4567,8.2988,0.7485,0.0017,0.0022,772.0233
740000,0.9525,7.6,1.0,0.4996,8.7032,0.772,0.0017,0.0022,772.1455
750000,0.96,6.4,1.0,0.4859,8.0257,0.7632,0.0017,0.0022,772.069
760000,0.9563,7.0,1.0,0.5371,8.2508,0.7896,0.0017,0.0024,773.8106
770000,0.9594,6.5,1.0,0.5514,8.1169,0.7971,0.0017,0.002,775.8065
780000,0.93,11.2,1.0,0.5405,8.3963,0.7918,0.0017,0.0021,775.396
790000,0.9681,5.1,1.0,0.561,8.4246,0.8029,0.0017,0.0022,767.5496
800000,0.9313,11.0,1.0,0.5602,8.0192,0.8011,0.0017,0.0022,769.2202
810000,0.9387,9.8,1.0,0.6137,8.2372,0.8295,0.0017,0.0021,765.2412
820000,0.9437,9.0,1.0,0.5741,8.0451,0.8085,0.0017,0.0022,766.6032
830000,0.9444,8.9,1.0,0.5692,8.2508,0.8061,0.0017,0.0021,768.1188
840000,0.9494,8.1,1.0,0.5841,7.9808,0.8132,0.0017,0.0021,760.9122
