env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,270.0,0.0,,,,,,
10000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0006,0.0004,667.1819
20000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0003,0.0,764.8358
30000,0.0,270.0,0.0,0.0032,270.2703,0.027,0.0002,0.0,678.8828
40000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0003,0.0,756.9893
50000,0.0,270.0,0.0,0.0123,270.2703,0.027,0.0004,0.0,744.1067
60000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,745.0602
70000,0.0,270.0,0.0,0.0086,270.2703,0.027,0.0005,0.0,744.8854
80000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,744.1507
90000,0.0,270.0,0.0,0.0398,256.4103,0.1026,0.0005,0.0,739.5146
100000,0.0,270.0,0.0,0.0048,270.2703,0.027,0.0005,0.0,736.1395
110000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0005,0.0,738.5752
120000,0.0,270.0,0.0,0.0282,263.1579,0.1053,0.0004,0.0,732.7473
130000,0.0,270.0,0.0,0.0047,270.2703,0.027,0.0005,0.0,721.9398
140000,0.0,270.0,0.0,0.0529,256.4103,0.1026,0.0005,0.0,728.9378
150000,0.0,270.0,0.0,0.0334,263.1579,0.0789,0.0005,0.0001,729.4368
160000,0.0,270.0,0.0,0.0341,263.1579,0.0789,0.0005,0.0001,728.5912
170000,0.0,270.0,0.0,0.0655,256.4103,0.1282,0.0005,0.0001,722.0717
180000,0.0933,245.0,0.1,0.154,227.2727,0.2727,0.0005,0.0001,723.3879
190000,0.0,270.0,0.0,0.1002,250.0,0.2,0.0006,0.0002,718.3039
200000,0.0,270.0,0.0,0.0661,256.4103,0.1795,0.0006,0.0002,719.8093
210000,0.0,270.0,0.0,0.1541,227.2727,0.2273,0.0006,0.0003,715.0364
220000,0.0,270.0,0.0,0.1428,238.0952,0.2619,0.0006,0.0003,718.1612
