env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,
10000,0.0,324.0,0.0,0.0068,144.9275,0.0145,1.4325,0.0013,618.1437
20000,0.0,324.0,0.0,0.0086,114.9425,0.023,0.857,0.0,926.2405
30000,0.0,324.0,0.0,0.0,128.2051,0.0,0.6135,0.0,928.2407
40000,0.0,324.0,0.0,0.0,142.8571,0.0,0.4856,0.0,926.1347
50000,0.0,324.0,0.0,0.0057,140.8451,0.0141,0.4187,0.0,918.1736
60000,0.0,324.0,0.0,0.0073,133.3333,0.0133,0.3829,0.0,908.271
70000,0.0,324.0,0.0,0.0099,126.5823,0.0253,0.3617,0.0,914.2433
80000,0.0,324.0,0.0,0.0024,131.5789,0.0132,0.3433,0.0,913.8801
90000,0.0,324.0,0.0,0.0013,104.1667,0.0104,0.3313,0.0001,902.5385
100000,0.0,324.0,0.0,0.0123,90.9091,0.0273,0.3239,0.0001,901.9187
110000,0.0,324.0,0.0,0.0047,119.0476,0.0119,0.3155,0.0001,895.1828
120000,0.0,324.0,0.0,0.0336,114.9425,0.0575,0.3116,0.0001,896.7267
130000,0.0,324.0,0.0,0.0196,125.0,0.0375,0.3086,0.0002,887.9823
140000,0.0,324.0,0.0,0.0044,88.4956,0.0088,0.3036,0.0002,884.1097
150000,0.0,324.0,0.0,0.0269,114.9425,0.0345,0.3012,0.0002,886.3685
160000,0.0,324.0,0.0,0.0273,105.2632,0.0421,0.3002,0.0002,883.9256
170000,0.0,324.0,0.0,0.0359,102.0408,0.0612,0.2998,0.0003,871.9518
180000,0.0,324.0,0.0,0.0613,104.1667,0.1042,0.2983,0.0004,878.8717
190000,0.0,324.0,0.0,0.0362,116.2791,0.0465,0.2977,0.0005,868.5737
200000,0.0,324.0,0.0,0.0352,101.0101,0.0808,0.2964,0.0005,873.2281
210000,0.0,324.0,0.0,0.0184,106.383,0.0319,0.2959,0.0006,867.2863
220000,0.0,324.0,0.0,0.0986,100.0,0.16,0.2954,0.0006,868.9997
230000,0.0,324.0,0.0,0.0511,108.6957,0.087,0.2948,0.0006,867.8993
240000,0.0,324.0,0.0,0.0588,106.383,0.0851,0.2946,0.0006,862.0526
250000,0.0,324.0,0.0,0.0674,90.9091,0.1182,0.2947,0.0007,859.2648
260000,0.0,324.0,0.0,0.061,112.3596,0.1011,0.2954,0.0007,866.329
270000,0.0,324.0,0.0,0.1418,104.1667,0.1979,0.2944,0.0008,862.4511
280000,0.0,324.0,0.0,0.117,88.4956,0.1681,0.295,0.0009,859.2271
290000,0.0,324.0,0.0,0.1546,82.6446,0.2149,0.2954,0.001,851.4036
300000,0.0,324.0,0.0,0.1171,90.0901,0.1712,0.2961,0.0011,855.254
310000,0.0958,293.1,0.1,0.1833,90.0901,0.2703,0.2965,0.0012,851.9936
320000,0.0958,293.1,0.1,0.2398,81.3008,0.3171,0.2971,0.0014,848.2845
330000,0.0961,293.0,0.1,0.2176,80.0,0.288,0.2991,0.0015,843.1774
340000,0.0914,294.7,0.1,0.3046,82.6446,0.3884,0.3007,0.0017,849.8445
350000,0.0,324.0,0.0,0.3109,85.4701,0.3846,0.303,0.0019,842.3552
