env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,261.9,0.0,,,,,,
10000,0.0,324.0,0.0,0.0,42.1941,0.0,0.0011,0.0011,520.5001
20000,0.0,324.0,0.0,0.0,46.5116,0.0,0.0002,0.0,711.4793
30000,0.0,324.0,0.0,0.0,40.0,0.0,0.0002,0.0,711.4251
40000,0.0,324.0,0.0,0.0,38.1679,0.0,0.0002,0.0,707.5164
50000,0.0,324.0,0.0,0.0,39.3701,0.0,0.0002,0.0,706.9733
60000,0.0,324.0,0.0,0.002,42.9185,0.0043,0.0002,0.0,701.0492
70000,0.0,324.0,0.0,0.0,50.2513,0.0,0.0003,0.0,698.6008
80000,0.0,324.0,0.0,0.0,46.0829,0.0,0.0003,0.0,700.4678
90000,0.0,324.0,0.0,0.0,46.2963,0.0,0.0003,0.0,696.1968
100000,0.0,324.0,0.0,0.0,51.5464,0.0,0.0003,0.0,696.9987
110000,0.0,324.0,0.0,0.0014,52.0833,0.0052,0.0003,0.0,696.2382
120000,0.0,324.0,0.0,0.0,47.619,0.0,0.0002,0.0,694.153
130000,0.0,324.0,0.0,0.0,57.1429,0.0,0.0002,0.0,691.6907
140000,0.0,324.0,0.0,0.0,53.7634,0.0,0.0002,0.0,688.4423
150000,0.0,324.0,0.0,0.0032,50.7614,0.0051,0.0002,0.0,685.9492
160000,0.0,324.0,0.0,0.0182,57.8035,0.0289,0.0003,0.0,683.9064
170000,0.0,324.0,0.0,0.0067,51.0204,0.0102,0.0003,0.0001,685.9697
180000,0.0,324.0,0.0,0.0086,54.9451,0.0165,0.0003,0.0001,681.3762
190000,0.0,324.0,0.0,0.0221,70.4225,0.0282,0.0003,0.0002,679.777
200000,0.0,324.0,0.0,0.0092,56.4972,0.0113,0.0003,0.0003,680.1397
210000,0.1803,266.3,0.2,0.0171,65.3595,0.0261,0.0003,0.0003,678.6835
220000,0.0936,293.9,0.1,0.0283,62.5,0.0437,0.0003,0.0004,675.2076
230000,0.0,324.0,0.0,0.0434,68.9655,0.0552,0.0003,0.0005,675.3057
240000,0.0,324.0,0.0,0.0737,74.0741,0.0963,0.0004,0.0007,672.5592
250000,0.0,324.0,0.0,0.1026,74.6269,0.1343,0.0004,0.0009,676.8347
260000,0.0964,292.9,0.1,0.0339,66.2252,0.0397,0.0004,0.001,671.4305
270000,0.0,324.0,0.0,0.0629,69.9301,0.0769,0.0005,0.0012,675.9201
280000,0.0939,293.8,0.1,0.0536,74.6269,0.0821,0.0005,0.0013,675.0117
290000,0.0,324.0,0.0,0.0665,64.9351,0.0844,0.0006,0.0012,671.4596
300000,0.0961,293.0,0.1,0.061,66.2252,0.0795,0.0006,0.0012,668.2278
310000,0.0953,293.3,0.1,0.0803,67.5676,0.1081,0.0006,0.0011,663.6746
320000,0.0914,294.7,0.1,0.0826,62.1118,0.1056,0.0006,0.0012,667.6086
330000,0.0939,293.8,0.1,0.0382,70.922,0.0496,0.0007,0.0012,661.7045
340000,0.0,324.0,0.0,0.1151,64.5161,0.1419,0.0007,0.0012,665.3797
350000,0.0,324.0,0.0,0.1131,74.6269,0.1493,0.0007,0.0012,654.9494
360000,0.0953,293.3,0.1,0.0911,60.241,0.1145,0.0007,0.0013,659.3792
370000,0.095,293.4,0.1,0.114,59.8802,0.1437,0.0007,0.0014,659.3828
380000,0.0911,294.8,0.1,0.1288,69.4444,0.1528,0.0008,0.0014,658.6905
390000,0.0,324.0,0.0,0.1821,78.125,0.2266,0.0008,0.0014,658.2499
400000,0.0,324.0,0.0,0.0964,74.0741,0.1259,0.0008,0.0015,655.3729
410000,0.0,324.0,0.0,0.1745,80.6452,0.2177,0.0008,0.0015,653.7612
420000,0.1911,262.4,0.2,0.1208,69.4444,0.1528,0.0008,0.0016,655.2622
430000,0.0,324.0,0.0,0.1307,81.3008,0.1626,0.0009,0.0016,656.3985
440000,0.2858,231.9,0.3,0.1363,87.7193,0.1754,0.0009,0.0016,656.7474
450000,0.1886,263.3,0.2,0.2084,68.4932,0.2466,0.0009,0.0016,651.2572
460000,0.1575,274.5,0.2,0.1763,71.9424,0.2302,0.0009,0.0017,654.2391
470000,0.0856,296.8,0.1,0.1561,80.6452,0.1855,0.0009,0.0017,652.1657
480000,0.0,324.0,0.0,0.182,81.3008,0.2439,0.0009,0.0017,651.2934
490000,0.0958,293.1,0.1,0.1585,81.3008,0.2033,0.0009,0.0018,651.438
500000,0.2856,232.0,0.3,0.1288,72.4638,0.1739,0.0009,0.0018,647.0767
510000,0.0958,293.1,0.1,0.197,81.9672,0.2623,0.001,0.0018,649.405
520000,0.18,266.4,0.2,0.1798,75.7576,0.2121,0.001,0.0018,649.9435
530000,0.2881,231.1,0.3,0.1981,70.922,0.2411,0.001,0.0018,646.7419
540000,0.2853,232.1,0.3,0.1996,75.188,0.2331,0.001,0.0018,644.9335
550000,0.0,324.0,0.0,0.2656,65.7895,0.3158,0.001,0.0018,645.7216
560000,0.1919,262.1,0.2,0.2169,74.0741,0.2519,0.001,0.0019,645.2505
570000,0.2744,236.0,0.3,0.2609,67.5676,0.3108,0.001,0.002,643.2985
580000,0.19,262.8,0.2,0.2419,68.4932,0.2808,0.001,0.002,641.8756
590000,0.0,324.0,0.0,0.2763,72.9927,0.3285,0.001,0.0021,641.2788
600000,0.0,324.0,0.0,0.3089,63.2911,0.3608,0.0011,0.0021,642.7579
610000,0.2767,235.2,0.3,0.2987,76.3359,0.3588,0.0011,0.0022,644.5693
620000,0.2808,233.7,0.3,0.2852,75.7576,0.3333,0.0011,0.0023,640.8201
630000,0.0956,293.2,0.1,0.3321,72.4638,0.3841,0.0011,0.0023,639.6716
640000,0.2772,235.0,0.3,0.2786,76.3359,0.3282,0.0011,0.0024,638.2429
650000,0.2344,250.4,0.3,0.3487,71.4286,0.4143,0.0011,0.0024,638.9924
660000,0.3803,201.5,0.4,0.2766,70.4225,0.3239,0.0011,0.0023,636.0294
670000,0.1867,264.0,0.2,0.3966,77.5194,0.4496,0.0011,0.0024,639.8067
680000,0.5647,142.3,0.6,0.3737,68.9655,0.4483,0.0012,0.0025,642.0148
690000,0.3797,201.7,0.4,0.3731,64.1026,0.4167,0.0012,0.0026,635.1462
700000,0.1897,262.9,0.2,0.3657,88.4956,0.4425,0.0012,0.0026,634.8625
710000,0.4717,172.2,0.5,0.3882,75.7576,0.4545,0.0012,0.0026,632.3548
720000,0.2828,233.0,0.3,0.4511,72.9927,0.5328,0.0012,0.0027,636.875
730000,0.4486,180.5,0.5,0.4152,76.3359,0.4809,0.0012,0.0026,639.1595
740000,0.2872,231.4,0.3,0.4598,67.1141,0.5369,0.0012,0.0028,631.7032
750000,0.1925,261.9,0.2,0.4199,69.4444,0.4861,0.0012,0.0029,632.8979
760000,0.2789,234.4,0.3,0.3882,72.4638,0.4348,0.0012,0.0028,629.913
770000,0.2869,231.5,0.3,0.3061,92.5926,0.3611,0.0013,0.0029,631.7109
780000,0.3631,207.7,0.4,0.387,84.0336,0.4538,0.0013,0.0029,629.0541
790000,0.4403,183.5,0.5,0.339,90.9091,0.4,0.0013,0.0029,633.9312
800000,0.3428,215.0,0.4,0.3911,89.2857,0.4732,0.0013,0.0029,630.7241
810000,0.2867,231.6,0.3,0.4147,86.9565,0.4957,0.0013,0.0029,631.3802
820000,0.4692,173.1,0.5,0.4408,84.7458,0.5339,0.0013,0.003,630.1651
830000,0.3833,200.4,0.4,0.474,69.9301,0.5455,0.0013,0.003,627.9132
840000,0.1906,262.6,0.2,0.4481,81.3008,0.5203,0.0013,0.003,628.752
850000,0.1906,262.6,0.2,0.3981,97.0874,0.4757,0.0013,0.003,629.9612
860000,0.4383,184.2,0.5,0.4542,69.4444,0.5347,0.0013,0.0031,625.781
