env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,40.0,0.0,,,,,,
10000,0.0663,37.5,0.1,0.0086,39.8406,0.0239,0.4038,0.001,725.1656
20000,0.091,36.4,0.1,0.0042,39.8406,0.0159,0.1165,0.0002,1049.8442
30000,0.383,25.2,0.5,0.0245,39.2157,0.0588,0.0793,0.0004,1043.3999
40000,0.173,33.2,0.2,0.033,38.7597,0.0698,0.0731,0.0008,1035.3754
50000,0.1708,33.3,0.2,0.0435,38.4615,0.0885,0.07,0.0013,1030.9808
60000,0.173,33.2,0.2,0.0423,38.61,0.1081,0.0659,0.0018,1028.027
70000,0.5853,17.1,0.7,0.0598,38.0228,0.1369,0.0632,0.0022,1008.4878
80000,0.5088,20.5,0.7,0.0824,37.1747,0.1822,0.0621,0.0023,1004.5636
90000,0.1708,33.3,0.2,0.1056,36.3636,0.24,0.0619,0.0026,1001.172
100000,0.492,20.8,0.6,0.1311,35.3357,0.2827,0.0615,0.0026,979.1973
110000,0.5785,17.4,0.7,0.1076,36.3636,0.2509,0.0618,0.0027,976.8842
120000,0.4123,23.9,0.5,0.1536,34.6021,0.3287,0.0628,0.0029,967.2453
130000,0.5965,16.6,0.7,0.1529,34.7222,0.3194,0.0626,0.0031,970.7942
140000,0.7335,11.4,0.9,0.199,33.0033,0.4323,0.0626,0.0033,964.6737
150000,0.6988,12.5,0.8,0.2049,33.0033,0.4587,0.0624,0.0034,959.6637
160000,0.5167,19.7,0.6,0.2567,30.8642,0.534,0.0623,0.0035,956.7374
170000,0.6808,13.3,0.8,0.2799,30.2115,0.577,0.0622,0.0037,948.985
180000,0.6673,13.9,0.8,0.2829,29.8507,0.5522,0.0621,0.0039,938.6352
190000,0.4853,21.1,0.6,0.3084,29.0698,0.6366,0.0621,0.004,923.1591
200000,0.665,14.0,0.8,0.3422,27.7008,0.6537,0.062,0.0041,921.5414
210000,0.6705,14.2,0.9,0.3616,27.1003,0.6992,0.0622,0.0043,922.818
220000,0.5763,17.5,0.7,0.3916,25.8398,0.739,0.0621,0.0044,917.0803
230000,0.674,13.6,0.8,0.3988,25.5754,0.7391,0.0619,0.0046,917.6469
240000,0.3538,26.5,0.5,0.4164,24.8756,0.7612,0.0619,0.0047,913.6659
250000,0.6965,12.6,0.8,0.4256,24.4499,0.7653,0.0621,0.0048,914.2579
260000,0.8538,6.5,1.0,0.4553,23.3645,0.7967,0.062,0.005,910.3021
270000,0.665,14.0,0.8,0.4457,23.6407,0.7896,0.0623,0.0052,907.1151
280000,0.6605,14.2,0.8,0.4667,22.8311,0.7991,0.062,0.0054,906.5926
290000,0.6695,13.8,0.8,0.5038,21.2766,0.8277,0.0623,0.0056,897.3497
300000,0.82,8.0,1.0,0.4774,22.2222,0.7778,0.0624,0.0059,891.9316
310000,0.6628,14.1,0.8,0.5061,21.1416,0.8182,0.0628,0.006,901.448
320000,0.6268,15.7,0.8,0.5311,20.1613,0.8427,0.0627,0.0062,896.2733
330000,0.7583,10.3,0.9,0.5167,20.5761,0.7984,0.0628,0.0064,888.6874
340000,0.7908,9.3,1.0,0.551,19.2678,0.8401,0.0626,0.0065,886.4794
350000,0.6853,13.1,0.8,0.5833,17.9211,0.8584,0.063,0.0068,880.0721
360000,0.756,10.4,0.9,0.5805,17.9856,0.8651,0.0631,0.0069,887.1717
370000,0.829,7.6,1.0,0.593,17.6056,0.882,0.0632,0.007,879.5666
380000,0.847,6.8,1.0,0.6119,16.7785,0.901,0.0637,0.0071,870.1284
390000,0.8538,6.5,1.0,0.6585,14.9701,0.9536,0.0639,0.0072,872.9164
400000,0.847,6.8,1.0,0.6735,14.3885,0.9727,0.0639,0.0073,866.8394
410000,0.8357,7.3,1.0,0.6863,13.8313,0.9765,0.0644,0.0072,869.3299
420000,0.8177,8.1,1.0,0.7036,13.1406,0.9882,0.0652,0.0072,868.7723
430000,0.8538,6.5,1.0,0.7041,13.089,0.9895,0.0652,0.0072,864.6133
440000,0.82,8.0,1.0,0.7185,12.4844,0.9925,0.0656,0.0072,852.8406
450000,0.8133,8.3,1.0,0.7205,12.4224,0.9963,0.0657,0.0072,868.0782
460000,0.8718,5.7,1.0,0.7205,12.3457,0.9889,0.0662,0.0071,852.3111
470000,0.8538,6.5,1.0,0.7291,12.0048,0.9916,0.0667,0.0071,855.1658
480000,0.7583,10.3,0.9,0.7362,11.7233,0.9977,0.0669,0.0071,857.7191
490000,0.7515,10.6,0.9,0.7394,11.5741,0.9988,0.0676,0.0072,858.3153
500000,0.8425,7.0,1.0,0.7427,11.4155,0.9977,0.0674,0.0071,847.4263
510000,0.8583,6.3,1.0,0.7472,11.2108,0.9933,0.0679,0.0071,848.116
520000,0.8335,7.4,1.0,0.7479,11.1857,0.9966,0.0682,0.007,852.2151
530000,0.8313,7.5,1.0,0.7496,11.1235,0.9978,0.0684,0.007,852.5724
540000,0.829,7.6,1.0,0.7453,11.3122,0.9977,0.0687,0.0069,844.076
550000,0.8267,7.7,1.0,0.749,11.1359,0.9978,0.0689,0.0068,843.7584
560000,0.8313,7.5,1.0,0.7555,10.8578,0.9978,0.0691,0.0068,839.1678
570000,0.847,6.8,1.0,0.755,10.8814,0.9967,0.0696,0.0068,845.1708
580000,0.7515,10.6,0.9,0.7592,10.6952,0.9979,0.0698,0.0067,845.7598
590000,0.8425,7.0,1.0,0.7547,10.8814,0.9967,0.0699,0.0066,843.3433
600000,0.8065,8.6,1.0,0.7687,10.2881,0.9979,0.0704,0.0066,834.2783
610000,0.829,7.6,1.0,0.7677,10.3093,0.9979,0.0704,0.0066,836.9032
620000,0.82,8.0,1.0,0.7681,10.2987,1.0,0.0704,0.0066,840.0639
630000,0.8178,8.1,1.0,0.7675,10.3306,0.999,0.0707,0.0066,829.9382
640000,0.7885,9.4,1.0,0.7702,10.2041,0.999,0.0712,0.0065,830.6213
650000,0.8223,7.9,1.0,0.7717,10.1523,1.0,0.0713,0.0065,835.9494
660000,0.8605,6.2,1.0,0.7758,9.9602,1.0,0.0717,0.0064,829.0417
