env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,40.0,0.0,,,,,,
10000,0.1482,34.3,0.2,0.0083,39.8406,0.0239,0.0007,0.0009,648.3976
20000,0.164,33.6,0.2,0.0158,39.5257,0.0395,0.0002,0.0006,831.7994
30000,0.1325,35.0,0.2,0.0159,39.3701,0.0512,0.0003,0.0016,827.2224
40000,0.0,40.0,0.0,0.0191,39.3701,0.0472,0.0006,0.0022,821.5265
50000,0.0,40.0,0.0,0.0078,39.8406,0.0239,0.001,0.0028,818.4651
60000,0.0,40.0,0.0,0.016,39.5257,0.0395,0.0012,0.0037,816.4962
70000,0.0,40.0,0.0,0.014,39.5257,0.0356,0.0014,0.0048,813.7767
80000,0.0,40.0,0.0,0.0141,39.3701,0.0315,0.0016,0.0061,812.0237
90000,0.0,40.0,0.0,0.0111,39.6825,0.0278,0.0017,0.005,808.2569
100000,0.0,40.0,0.0,0.0104,39.6825,0.0278,0.0018,0.0021,807.325
110000,0.156,34.4,0.3,0.0129,39.5257,0.0316,0.0018,0.0012,805.4368
120000,0.1078,36.1,0.2,0.0156,39.5257,0.0435,0.0018,0.0009,803.4406
130000,0.0,40.0,0.0,0.0296,38.9105,0.0545,0.0017,0.0008,800.8444
140000,0.1055,36.2,0.2,0.0428,38.61,0.0965,0.0017,0.0006,797.5704
150000,0.4335,23.4,0.6,0.051,38.1679,0.0916,0.0017,0.0006,795.9389
160000,0.4188,24.5,0.7,0.0538,38.0228,0.1179,0.0017,0.0008,792.2764
170000,0.356,26.4,0.5,0.081,37.1747,0.1747,0.0017,0.0008,791.8778
180000,0.4268,23.7,0.6,0.0999,36.4964,0.2117,0.0017,0.0009,786.722
190000,0.3055,28.2,0.4,0.0983,36.4964,0.1934,0.0017,0.001,781.3258
200000,0.347,26.8,0.5,0.1136,35.9712,0.2302,0.0018,0.0012,778.3742
210000,0.3325,27.0,0.4,0.1195,35.8423,0.2366,0.0018,0.0013,777.1984
220000,0.3808,25.3,0.5,0.1189,35.7143,0.2393,0.0018,0.0014,771.2875
230000,0.3492,26.7,0.5,0.1396,34.965,0.2587,0.0018,0.0016,767.8259
240000,0.4673,21.9,0.6,0.1683,33.8983,0.3051,0.0018,0.0018,764.6071
250000,0.6065,16.6,0.8,0.1633,34.2466,0.339,0.0019,0.0019,762.0579
