env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,120.0,0.0,,,,,,,
10000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0015,0.0003,225.9366
20000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0002,0.0,633.8141
30000,0.0,120.0,0.0,0.0,119.0476,0.0,-0.0,0.0002,0.0,633.4997
40000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0001,0.0,628.7697
50000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0,0.0,622.0387
60000,0.0,120.0,0.0,0.0,119.0476,0.0,-0.0,0.0,0.0,622.9864
70000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0,0.0,619.1581
80000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0,0.0,626.5554
90000,0.0,120.0,0.0,0.0,119.0476,0.0,-0.0,0.0,0.0,620.2084
100000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0,0.0,615.8065
110000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0,0.0,613.2337
120000,0.0,120.0,0.0,0.0,119.0476,0.0,-0.0,0.0,0.0,614.326
130000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0,0.0,611.7527
140000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0,0.0,612.4722
150000,0.0,120.0,0.0,0.0,119.0476,0.0,-0.0,0.0,0.0,614.0907
160000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0,0.0,610.8173
170000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0,0.0,607.8609
180000,0.0,120.0,0.0,0.0,119.0476,0.0,-0.0,0.0,0.0,608.6807
190000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0,0.0,605.8681
200000,0.0,120.0,0.0,0.0,120.4819,0.0,-0.0,0.0,0.0,607.1086
210000,0.0,120.0,0.0,0.0,119.0476,0.0,-0.0,0.0,0.0,601.986
