env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0019,0.0006,138.4098
20000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,628.2551
30000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,622.1334
40000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0001,0.0,627.9461
50000,0.0,288.0,0.0,0.0222,277.7778,0.0278,-0.0,0.0001,0.0,623.1842
60000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,614.508
70000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0001,0.0,613.7666
80000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,616.6935
90000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,621.1254
100000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,610.6775
110000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0,0.0,615.7983
120000,0.0,288.0,0.0,0.0029,285.7143,0.0286,-0.0,0.0,0.0,609.8538
130000,0.0,288.0,0.0,0.0168,285.7143,0.0286,-0.0,0.0,0.0,609.6319
140000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,604.7435
150000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,607.2645
160000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0,0.0,603.6276
170000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,603.6021
180000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,602.8962
190000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,606.2521
200000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0,0.0,603.3242
210000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,598.7531
220000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,601.8966
230000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0001,0.0,0.0,598.6289
240000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,596.007
250000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,596.5713
260000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,596.2374
270000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0,0.0,589.4308
280000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,595.6447
290000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,591.9812
300000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0001,0.0,0.0,592.3941
310000,0.0,288.0,0.0,0.0049,285.7143,0.0286,-0.0001,0.0,0.0,590.8371
320000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,591.3339
330000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,590.4993
340000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0001,0.0,0.0,586.6487
350000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,586.2037
360000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,588.3724
370000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,586.6776
380000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0002,0.0,0.0,585.9205
390000,0.0,288.0,0.0,0.0042,285.7143,0.0286,-0.0002,0.0,0.0,585.2068
400000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,585.7783
410000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,585.7712
420000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0001,0.0,0.0,581.9451
430000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,581.721
440000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,582.3227
450000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0001,0.0,0.0,585.385
460000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,584.2384
470000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,580.954
480000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,581.6406
490000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0001,0.0,0.0,581.239
500000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,580.4802
510000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,578.5111
520000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,575.4528
530000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0003,0.0,0.0,580.1994
540000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,575.0968
550000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,579.0599
560000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0003,0.0,0.0,574.7871
570000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0004,0.0,0.0,578.1511
580000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0004,0.0,0.0,569.6139
590000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0004,0.0,0.0,573.825
600000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0004,0.0,0.0,575.3811
610000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,578.7591
620000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0004,0.0,0.0,574.8779
630000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0003,0.0,0.0,579.0157
640000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,574.1856
650000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,572.439
660000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,574.7145
670000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0002,0.0,0.0,571.1802
680000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,572.5494
690000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,575.6392
700000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,571.0528
710000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0003,0.0,0.0,568.291
720000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0004,0.0,0.0,573.8629
730000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,573.321
740000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0005,0.0,0.0,573.5302
750000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,573.0317
760000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,572.3459
770000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0006,0.0,0.0,570.1897
780000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0005,0.0,0.0,570.1282
790000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0006,0.0,0.0,570.0882
800000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0006,0.0,0.0,566.7339
810000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0005,0.0,0.0,566.0117
820000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,564.2282
830000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,568.4228
840000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,566.6357
850000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0006,0.0,0.0,568.527
860000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0007,0.0,0.0,563.4581
870000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0007,0.0,0.0,564.6088
880000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0009,0.0,0.0,563.9509
890000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0009,0.0,0.0,556.1922
900000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0008,0.0,0.0,559.2552
910000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0007,0.0,0.0,561.0506
920000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0007,0.0,0.0,563.2806
930000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0006,0.0,0.0,562.0131
940000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0006,0.0,0.0,559.7122
950000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,559.7843
960000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0005,0.0,0.0,559.2843
970000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,560.355
980000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,562.2171
990000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0005,0.0,0.0,563.5933
1000000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,558.6114
1010000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,558.3223
1020000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,555.7992
1030000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0005,0.0,0.0,558.873
1040000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,556.1622
1050000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0004,0.0,0.0,556.7104
1060000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0004,0.0,0.0,558.1004
1070000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0005,0.0,0.0,557.0889
1080000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,562.5643
1090000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0004,0.0,0.0,544.7642
1100000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0005,0.0,0.0,559.3967
1110000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,559.9847
1120000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0006,0.0,0.0,555.8644
1130000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0007,0.0,0.0,555.9498
1140000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0008,0.0,0.0,554.9204
1150000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0008,0.0,0.0,556.1243
1160000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0007,0.0,0.0,556.3755
1170000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0007,0.0,0.0,555.4599
1180000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0007,0.0,0.0,558.2634
1190000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0006,0.0,0.0,553.7067
1200000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0006,0.0,0.0,549.689
1210000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0005,0.0,0.0,552.4265
1220000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,553.5395
1230000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,555.1754
1240000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,555.3775
1250000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0004,0.0,0.0,552.2474
1260000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0004,0.0,0.0,551.5508
1270000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,554.1044
1280000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0006,0.0,0.0,557.232
