env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,0.7343,0.0008,699.9545
20000,0.0,288.0,0.0,0.0,285.7143,0.0,0.2761,0.0,990.0958
30000,0.0,288.0,0.0,0.0,285.7143,0.0,0.1445,0.0,985.4935
40000,0.0,288.0,0.0,0.0,294.1176,0.0,0.1189,0.0,980.3922
50000,0.0,288.0,0.0,0.0067,285.7143,0.0286,0.1058,0.0,971.7199
60000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0981,0.0,977.0511
70000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0932,0.0,974.1225
80000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0883,0.0,971.8013
90000,0.0,288.0,0.0,0.0079,285.7143,0.0286,0.0853,0.0,970.5897
100000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0831,0.0,966.6321
110000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0813,0.0,969.1051
120000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0799,0.0,967.5014
130000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0785,0.0,955.0972
140000,0.0,288.0,0.0,0.0089,285.7143,0.0286,0.0778,0.0,959.5143
150000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0783,0.0,955.7348
160000,0.0,288.0,0.0,0.0141,285.7143,0.0286,0.0771,0.0,948.9311
170000,0.0,288.0,0.0,0.012,285.7143,0.0286,0.0771,0.0,944.2479
180000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0776,0.0,941.6763
190000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0783,0.0,942.4665
200000,0.0,288.0,0.0,0.0121,285.7143,0.0286,0.0796,0.0,933.7808
210000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0797,0.0,936.1101
220000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0781,0.0,927.8777
230000,0.0,288.0,0.0,0.0285,277.7778,0.0556,0.0783,0.0,926.1938
240000,0.0,288.0,0.0,0.0086,285.7143,0.0286,0.0778,0.0,924.8069
250000,0.0,288.0,0.0,0.0109,285.7143,0.0286,0.0769,0.0,926.2168
260000,0.0,288.0,0.0,0.0255,285.7143,0.0571,0.0768,0.0,928.0649
270000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0765,0.0,920.0848
280000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0763,0.0,912.3851
290000,0.0,288.0,0.0,0.0103,285.7143,0.0571,0.0761,0.0,920.1687
300000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0755,0.0,916.229
310000,0.0,288.0,0.0,0.0054,285.7143,0.0286,0.0755,0.0,919.5916
320000,0.0,288.0,0.0,0.0,285.7143,0.0,0.075,0.0,919.2054
330000,0.0,288.0,0.0,0.0125,285.7143,0.0857,0.0753,0.0,920.3722
340000,0.0,288.0,0.0,0.0264,285.7143,0.0571,0.0746,0.0,917.9002
350000,0.0,288.0,0.0,0.0087,285.7143,0.0286,0.0745,0.0,907.6495
360000,0.0,288.0,0.0,0.038,277.7778,0.0833,0.0746,0.0,902.6237
370000,0.0,288.0,0.0,0.0245,277.7778,0.0556,0.0743,0.0,900.1569
380000,0.0,288.0,0.0,0.0173,285.7143,0.0571,0.0741,0.0,896.111
390000,0.0,288.0,0.0,0.0205,285.7143,0.0286,0.074,0.0,905.6822
400000,0.0,288.0,0.0,0.0311,277.7778,0.0556,0.0737,0.0,906.9207
410000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0746,0.0,899.5604
420000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0749,0.0,905.037
430000,0.0,288.0,0.0,0.0308,277.7778,0.0833,0.0754,0.0,906.9009
440000,0.0,288.0,0.0,0.0249,285.7143,0.0857,0.0754,0.0,901.4295
450000,0.0,288.0,0.0,0.0188,277.7778,0.0556,0.0757,0.0,896.0872
460000,0.0,288.0,0.0,0.0087,285.7143,0.0286,0.0759,0.0,893.2508
470000,0.0,288.0,0.0,0.0385,285.7143,0.0857,0.0758,0.0,892.3568
480000,0.0,288.0,0.0,0.0573,270.2703,0.1081,0.0763,0.0,889.4785
490000,0.0,288.0,0.0,0.0176,285.7143,0.0571,0.0762,0.0001,894.6827
500000,0.0,288.0,0.0,0.007,285.7143,0.0571,0.0762,0.0001,877.2078
510000,0.0,288.0,0.0,0.0489,277.7778,0.1389,0.0765,0.0001,889.2277
520000,0.0,288.0,0.0,0.0405,277.7778,0.0833,0.0773,0.0001,888.1016
530000,0.0,288.0,0.0,0.0898,270.2703,0.2703,0.0777,0.0001,885.2891
540000,0.0,288.0,0.0,0.0559,270.2703,0.1081,0.0777,0.0001,880.4651
550000,0.0,288.0,0.0,0.047,277.7778,0.1111,0.0784,0.0001,877.7997
560000,0.0,288.0,0.0,0.0974,263.1579,0.1579,0.0783,0.0001,879.4414
570000,0.0,288.0,0.0,0.0712,270.2703,0.1351,0.0782,0.0001,877.6232
580000,0.0,288.0,0.0,0.0868,263.1579,0.2105,0.0781,0.0001,878.9722
590000,0.0,288.0,0.0,0.1609,250.0,0.3,0.0791,0.0001,875.098
600000,0.0,288.0,0.0,0.1668,243.9024,0.2927,0.0793,0.0001,875.5893
610000,0.0,288.0,0.0,0.1742,243.9024,0.4146,0.0796,0.0002,876.5776
620000,0.0956,260.6,0.1,0.2278,227.2727,0.4545,0.08,0.0002,868.3414
630000,0.0,288.0,0.0,0.2366,222.2222,0.3556,0.0808,0.0002,878.3896
640000,0.0,288.0,0.0,0.2318,232.5581,0.4419,0.0817,0.0003,877.1548
650000,0.0,288.0,0.0,0.2416,222.2222,0.4444,0.0818,0.0003,874.8126
660000,0.0,288.0,0.0,0.3168,204.0816,0.5306,0.0825,0.0003,868.4433
670000,0.0,288.0,0.0,0.4066,178.5714,0.6786,0.083,0.0004,867.0742
680000,0.0919,261.8,0.1,0.3686,188.6792,0.566,0.0836,0.0005,870.8037
690000,0.1866,234.7,0.2,0.5537,136.9863,0.7945,0.0842,0.0006,865.512
700000,0.0931,261.4,0.1,0.5612,131.5789,0.7895,0.0851,0.0007,867.2092
