env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0016,0.001,135.8983
20000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,620.6937
30000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,619.4256
40000,0.0,288.0,0.0,0.0109,285.7143,0.0286,-0.0,0.0001,0.0,617.5719
50000,0.0,288.0,0.0,0.0077,285.7143,0.0286,-0.0,0.0001,0.0,612.6946
60000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0001,0.0,614.7095
70000,0.0,288.0,0.0,0.0142,285.7143,0.0286,-0.0,0.0001,0.0,615.2385
80000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0002,0.0,611.0172
90000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,608.6324
100000,0.0,288.0,0.0,0.0041,285.7143,0.0286,-0.0,0.0001,0.0,609.7443
110000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0002,0.0,611.2807
120000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,607.9931
130000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,610.0779
140000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,608.0258
150000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0001,0.0,601.4595
160000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,602.5743
170000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,600.3793
180000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0001,0.0,601.0395
190000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,596.3438
200000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,598.0505
210000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,600.2129
