env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,0.784,0.0014,702.1839
20000,0.0,288.0,0.0,0.0,285.7143,0.0,0.3365,0.0,999.8162
30000,0.0,288.0,0.0,0.0,285.7143,0.0,0.1936,0.0,1004.091
40000,0.0,288.0,0.0,0.0,294.1176,0.0,0.1532,0.0,997.0338
50000,0.0,288.0,0.0,0.0,285.7143,0.0,0.1341,0.0,986.5665
60000,0.0,288.0,0.0,0.0125,285.7143,0.0286,0.1256,0.0,984.057
70000,0.0,288.0,0.0,0.0,285.7143,0.0,0.1179,0.0,974.2619
80000,0.0,288.0,0.0,0.0,285.7143,0.0,0.1111,0.0,966.4012
90000,0.0,288.0,0.0,0.0,294.1176,0.0,0.1058,0.0,975.5211
100000,0.0,288.0,0.0,0.0,285.7143,0.0,0.1027,0.0,972.2133
110000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0993,0.0,964.2902
120000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0962,0.0,962.4203
130000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0944,0.0,966.5182
140000,0.0,288.0,0.0,0.0118,285.7143,0.0286,0.093,0.0,963.0902
150000,0.0,288.0,0.0,0.0103,285.7143,0.0286,0.0914,0.0,956.4771
160000,0.0,288.0,0.0,0.0,285.7143,0.0,0.09,0.0,954.4294
170000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0888,0.0,959.0443
180000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0877,0.0,957.4295
190000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0862,0.0,954.9486
200000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0857,0.0,947.3861
210000,0.0,288.0,0.0,0.0067,285.7143,0.0286,0.0853,0.0,937.4842
220000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0842,0.0,942.2747
230000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0829,0.0,943.3286
240000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0816,0.0,941.2684
250000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0808,0.0,938.5609
260000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0803,0.0,926.2502
270000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0797,0.0,924.97
280000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0785,0.0,926.6821
290000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0782,0.0,934.5076
300000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0776,0.0,920.2948
310000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0773,0.0,921.2872
320000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0766,0.0,919.97
330000,0.0,288.0,0.0,0.0,294.1176,0.0,0.076,0.0,919.8712
340000,0.0,288.0,0.0,0.0259,277.7778,0.0556,0.076,0.0,918.4218
350000,0.0,288.0,0.0,0.0,285.7143,0.0,0.076,0.0,914.785
360000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0758,0.0,910.8196
370000,0.0,288.0,0.0,0.0,285.7143,0.0,0.075,0.0,912.3606
380000,0.0,288.0,0.0,0.0052,285.7143,0.0286,0.0745,0.0,915.1547
390000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0743,0.0,916.0068
400000,0.0,288.0,0.0,0.0109,285.7143,0.0286,0.0738,0.0,914.8096
410000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0736,0.0,911.7133
420000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0731,0.0,909.0712
430000,0.0,288.0,0.0,0.0247,277.7778,0.0556,0.073,0.0,909.8024
440000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0728,0.0,899.1698
450000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0723,0.0,904.7972
460000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0722,0.0,903.5075
470000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0719,0.0,904.9146
480000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0715,0.0,897.5582
490000,0.0,288.0,0.0,0.0,285.7143,0.0,0.071,0.0,896.2273
500000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0707,0.0,885.4636
510000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0705,0.0,895.225
520000,0.0,288.0,0.0,0.0104,285.7143,0.0286,0.0703,0.0,887.9288
530000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0696,0.0,898.7301
540000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0693,0.0,897.4164
550000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0691,0.0,894.9672
560000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0688,0.0,897.0518
570000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0685,0.0,895.0788
580000,0.0,288.0,0.0,0.0228,277.7778,0.0556,0.0685,0.0,892.9782
590000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0684,0.0,886.4203
600000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0684,0.0,884.0203
610000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0682,0.0,879.4799
620000,0.0,288.0,0.0,0.0,294.1176,0.0,0.068,0.0,886.7619
630000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0676,0.0,885.3973
640000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0679,0.0,886.4357
650000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0676,0.0,887.4156
660000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0674,0.0,887.5651
670000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0673,0.0,884.2734
680000,0.0,288.0,0.0,0.0,285.7143,0.0,0.067,0.0,878.4802
690000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0666,0.0,881.8736
700000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0669,0.0,879.6044
710000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0667,0.0,877.619
720000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0665,0.0,869.1022
730000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0665,0.0,878.0256
740000,0.0,288.0,0.0,0.0136,277.7778,0.0278,0.0665,0.0,881.0869
750000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0663,0.0,878.2072
760000,0.0,288.0,0.0,0.0,285.7143,0.0,0.066,0.0,875.2451
770000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0661,0.0,873.2483
780000,0.0,288.0,0.0,0.0,294.1176,0.0,0.066,0.0,865.5929
790000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0659,0.0,873.0999
800000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0658,0.0,860.6921
810000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0654,0.0,865.596
820000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0653,0.0,862.908
830000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0649,0.0,860.2741
840000,0.0,288.0,0.0,0.0,285.7143,0.0,0.065,0.0,860.9827
850000,0.0,288.0,0.0,0.0035,294.1176,0.0294,0.0649,0.0,862.2647
860000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0647,0.0,862.093
870000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0645,0.0,861.8138
880000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0644,0.0,855.7999
890000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0642,0.0,862.9201
900000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0646,0.0,857.6315
910000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0644,0.0,857.3115
920000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0642,0.0,856.3098
930000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0639,0.0,855.7009
940000,0.0,288.0,0.0,0.0,285.7143,0.0,0.064,0.0,847.9889
950000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0636,0.0,850.9809
960000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0635,0.0,849.3236
970000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0635,0.0,845.5011
980000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0632,0.0,848.5856
990000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0634,0.0,849.3292
1000000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0633,0.0,855.7655
1010000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0632,0.0,852.201
1020000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0632,0.0,849.2317
1030000,0.0,288.0,0.0,0.0,294.1176,0.0,0.063,0.0,851.6211
1040000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0628,0.0,847.5408
1050000,0.0,288.0,0.0,0.0,285.7143,0.0,0.063,0.0,849.2378
1060000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0626,0.0,847.8878
1070000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0624,0.0,843.887
1080000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0626,0.0,843.8855
1090000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0624,0.0,844.1234
1100000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0625,0.0,837.9637
1110000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0621,0.0,845.6294
1120000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0621,0.0,845.8441
1130000,0.0,288.0,0.0,0.0,285.7143,0.0,0.062,0.0,842.6142
1140000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0619,0.0,843.1346
1150000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0621,0.0,848.6092
1160000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0616,0.0,842.514
1170000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0618,0.0,847.5035
1180000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0619,0.0,848.96
1190000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0616,0.0,847.0305
1200000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0616,0.0,844.0838
1210000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0613,0.0,844.1616
1220000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0614,0.0,846.1162
1230000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0613,0.0,841.9739
1240000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0613,0.0,836.507
1250000,0.0,288.0,0.0,0.0,294.1176,0.0,0.061,0.0,833.7171
1260000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0609,0.0,837.9085
1270000,0.0,288.0,0.0,0.0082,285.7143,0.0286,0.0608,0.0,835.5765
1280000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0606,0.0,841.2579
1290000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0605,0.0,835.6826
1300000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0605,0.0,838.6656
1310000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0603,0.0,835.9127
1320000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0606,0.0,824.8579
1330000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0604,0.0,833.2568
1340000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0603,0.0,832.6167
1350000,0.0,288.0,0.0,0.0144,285.7143,0.0286,0.0603,0.0,834.8764
1360000,0.0,288.0,0.0,0.0,285.7143,0.0,0.06,0.0,834.1522
1370000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0601,0.0,827.9231
1380000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0599,0.0,821.0434
1390000,0.0,288.0,0.0,0.0,285.7143,0.0,0.06,0.0,825.368
1400000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0598,0.0,829.9934
1410000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0598,0.0,822.3629
1420000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0596,0.0,822.9929
1430000,0.0,288.0,0.0,0.0174,277.7778,0.0278,0.0597,0.0,823.8498
1440000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0596,0.0,827.3984
1450000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0597,0.0,825.4672
1460000,0.0,288.0,0.0,0.0048,285.7143,0.0286,0.0597,0.0,828.0191
1470000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0592,0.0,823.0275
1480000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0594,0.0,819.1251
