env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,,
10000,0.0,324.0,0.0,0.0095,322.5806,0.0323,-0.0,0.0019,0.0013,131.7425
20000,0.0,324.0,0.0,0.0254,322.5806,0.0968,-0.0,0.0001,0.0,588.0648
30000,0.0,324.0,0.0,0.0065,322.5806,0.0323,-0.0,0.0001,0.0,585.964
40000,0.0,324.0,0.0,0.0172,322.5806,0.0323,-0.0,0.0001,0.0,583.4751
50000,0.0,324.0,0.0,0.0076,322.5806,0.0323,-0.0,0.0001,0.0,582.5978
60000,0.0,324.0,0.0,0.0188,312.5,0.0312,-0.0,0.0001,0.0,581.7714
70000,0.0,324.0,0.0,0.005,322.5806,0.0323,-0.0,0.0001,0.0,577.9444
80000,0.0,324.0,0.0,0.0175,322.5806,0.0323,-0.0,0.0,0.0,579.146
90000,0.0,324.0,0.0,0.0643,303.0303,0.1515,-0.0,0.0,0.0,577.9293
100000,0.0,324.0,0.0,0.0169,322.5806,0.0645,-0.0,0.0,0.0,575.3802
110000,0.0,324.0,0.0,0.0225,322.5806,0.0645,-0.0,0.0,0.0,574.9063
120000,0.0,324.0,0.0,0.0428,312.5,0.1562,-0.0,0.0,0.0,574.7351
130000,0.0,324.0,0.0,0.0332,312.5,0.0938,-0.0,0.0,0.0,570.5926
140000,0.0,324.0,0.0,0.0181,322.5806,0.0323,-0.0,0.0,0.0,571.5105
150000,0.0,324.0,0.0,0.0363,312.5,0.0938,-0.0,0.0,0.0001,573.864
160000,0.0,324.0,0.0,0.0774,303.0303,0.1818,-0.0,0.0,0.0001,572.9833
170000,0.0,324.0,0.0,0.0694,303.0303,0.1515,-0.0,0.0,0.0001,568.7945
180000,0.0,324.0,0.0,0.1184,294.1176,0.2647,-0.0,0.0,0.0002,570.7233
190000,0.0,324.0,0.0,0.1136,285.7143,0.2,-0.0,0.0,0.0002,563.86
200000,0.0,324.0,0.0,0.146,285.7143,0.3143,-0.0,0.0001,0.0003,565.9194
210000,0.0,324.0,0.0,0.1914,270.2703,0.3784,-0.0,0.0001,0.0004,562.5445
220000,0.0,324.0,0.0,0.1781,270.2703,0.3514,-0.0,0.0001,0.0004,553.597
230000,0.0,324.0,0.0,0.1414,285.7143,0.2857,-0.0,0.0001,0.0004,563.846
240000,0.1894,263.0,0.2,0.2318,256.4103,0.4103,-0.0,0.0001,0.0005,560.5344
250000,0.0,324.0,0.0,0.2734,243.9024,0.5122,-0.0,0.0001,0.0005,557.0384
260000,0.0,324.0,0.0,0.2472,250.0,0.425,-0.0,0.0001,0.0006,555.2394
270000,0.0939,293.8,0.1,0.2359,250.0,0.45,-0.0,0.0002,0.0007,555.3307
280000,0.1917,262.2,0.2,0.4116,200.0,0.68,-0.0001,0.0002,0.0008,552.7146
290000,0.4717,172.2,0.5,0.4308,196.0784,0.6667,-0.0,0.0003,0.001,553.5218
300000,0.0,324.0,0.0,0.4109,196.0784,0.6471,-0.0,0.0003,0.0011,552.5471
310000,0.0,324.0,0.0,0.3641,212.766,0.5532,-0.0,0.0003,0.0012,543.3375
320000,0.0,324.0,0.0,0.5391,158.7302,0.746,-0.0001,0.0004,0.0012,548.5319
330000,0.1875,263.7,0.2,0.5282,161.2903,0.7903,-0.0001,0.0006,0.0014,548.9852
340000,0.4608,176.1,0.5,0.4669,185.1852,0.7222,-0.0,0.0007,0.0015,545.0804
350000,0.1897,262.9,0.2,0.5641,147.0588,0.8382,-0.0,0.0008,0.0017,545.1337
360000,0.2194,255.8,0.3,0.5599,153.8462,0.8,-0.0001,0.0008,0.0017,542.876
370000,0.3781,202.3,0.4,0.5272,161.2903,0.7581,-0.0001,0.001,0.0018,541.0468
380000,0.4639,175.0,0.5,0.5279,158.7302,0.7143,-0.0001,0.001,0.0017,541.8193
390000,0.1881,263.5,0.2,0.54,158.7302,0.7937,-0.0003,0.0013,0.0017,539.6119
400000,0.2997,230.5,0.4,0.5512,151.5152,0.7576,-0.0007,0.0016,0.0018,536.4007
410000,0.4756,170.8,0.5,0.6473,121.9512,0.878,-0.0012,0.002,0.0019,539.3368
420000,0.2872,231.4,0.3,0.5941,140.8451,0.8169,-0.0018,0.0021,0.0021,534.6329
430000,0.6647,109.9,0.7,0.6707,116.2791,0.8721,-0.0023,0.0025,0.0021,533.9944
440000,0.4467,181.2,0.5,0.6362,123.4568,0.8025,-0.0026,0.0022,0.0022,533.6718
450000,0.1903,262.7,0.2,0.6304,125.0,0.8,-0.0024,0.0023,0.0022,530.6591
460000,0.5556,145.6,0.6,0.6527,116.2791,0.814,-0.0024,0.0025,0.0022,530.7762
470000,0.2803,233.9,0.3,0.6518,120.4819,0.8675,-0.0032,0.0026,0.0023,529.6344
480000,0.3478,213.2,0.4,0.6349,128.2051,0.8462,-0.0032,0.0026,0.0024,530.1286
490000,0.5703,140.3,0.6,0.6625,117.6471,0.8941,-0.0035,0.0027,0.0025,528.5732
500000,0.3575,209.7,0.4,0.6562,119.0476,0.8452,-0.004,0.0026,0.0026,525.589
510000,0.5658,141.9,0.6,0.6676,113.6364,0.8409,-0.0049,0.0025,0.0026,525.6178
520000,0.4667,174.0,0.5,0.6995,102.0408,0.8878,-0.0049,0.0026,0.0027,525.2276
530000,0.4575,177.3,0.5,0.6794,113.6364,0.8864,-0.0057,0.0027,0.0027,525.4642
540000,0.3761,203.0,0.4,0.7001,101.0101,0.8687,-0.006,0.0028,0.0027,521.6318
550000,0.4728,171.8,0.5,0.674,116.2791,0.8837,-0.0064,0.0029,0.0027,523.3997
560000,0.3736,203.9,0.4,0.6455,120.4819,0.8072,-0.0063,0.0031,0.0028,522.3043
570000,0.3542,210.9,0.4,0.7256,96.1538,0.9135,-0.0066,0.003,0.0028,522.5264
580000,0.5689,140.8,0.6,0.7325,90.0901,0.9009,-0.006,0.003,0.0028,521.8272
590000,0.3475,213.3,0.4,0.7208,99.0099,0.901,-0.0062,0.0032,0.0028,524.5759
600000,0.3764,202.9,0.4,0.7118,98.0392,0.8725,-0.0065,0.0031,0.003,519.5782
610000,0.4664,174.1,0.5,0.7653,83.3333,0.9333,-0.007,0.0032,0.0031,519.5684
620000,0.5689,140.8,0.6,0.7382,87.7193,0.8772,-0.0064,0.0034,0.0031,519.2749
630000,0.7494,83.0,0.8,0.7732,78.7402,0.9134,-0.0071,0.0034,0.0031,517.2241
640000,0.2842,232.5,0.3,0.7124,99.0099,0.8812,-0.0072,0.0036,0.0031,517.4199
650000,0.85,50.4,0.9,0.759,84.7458,0.9407,-0.0078,0.0039,0.0032,516.1677
660000,0.1708,269.7,0.2,0.7396,91.7431,0.8991,-0.0079,0.0038,0.0032,517.956
670000,0.7231,92.5,0.8,0.7576,83.3333,0.9333,-0.0083,0.0039,0.0034,516.1911
680000,0.7592,79.5,0.8,0.7738,78.7402,0.9213,-0.0083,0.004,0.0034,514.4614
690000,0.3792,201.9,0.4,0.8001,69.9301,0.951,-0.0083,0.004,0.0036,513.3518
