env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,,
10000,0.0,324.0,0.0,0.0297,322.5806,0.0645,0.0051,0.0001,0.0011,139.2213
20000,0.0,324.0,0.0,0.0124,322.5806,0.0645,0.0051,-0.0,0.0002,782.2617
30000,0.0,324.0,0.0,0.0612,303.0303,0.1515,0.0051,-0.0,0.0001,787.1426
40000,0.0,324.0,0.0,0.0,322.5806,0.0,0.0051,-0.0,0.0002,775.8809
50000,0.0,324.0,0.0,0.052,312.5,0.0938,0.0051,-0.0,0.0003,773.2641
60000,0.0,324.0,0.0,0.0419,312.5,0.125,0.0051,-0.0,0.0004,774.3946
70000,0.0,324.0,0.0,0.0251,322.5806,0.0968,0.0051,-0.0,0.0005,775.7233
80000,0.0,324.0,0.0,0.0564,303.0303,0.1515,0.0051,-0.0,0.0006,768.8873
90000,0.0,324.0,0.0,0.0799,303.0303,0.1818,0.0051,-0.0,0.0006,768.1955
100000,0.0,324.0,0.0,0.0326,312.5,0.0938,0.0051,-0.0,0.0005,761.5046
110000,0.0942,293.7,0.1,0.0761,303.0303,0.1818,0.0051,-0.0,0.0004,759.4078
120000,0.0,324.0,0.0,0.0833,303.0303,0.1818,0.0051,-0.0,0.0004,758.6875
130000,0.0,324.0,0.0,0.0902,303.0303,0.2121,0.0051,-0.0,0.0004,757.2702
140000,0.0,324.0,0.0,0.1229,285.7143,0.2286,0.0051,-0.0,0.0004,755.4583
150000,0.0919,294.5,0.1,0.1851,270.2703,0.3243,0.0051,-0.0,0.0004,753.8234
160000,0.1472,278.2,0.2,0.0569,303.0303,0.0909,0.0051,0.0,0.0004,748.5531
170000,0.0817,298.2,0.1,0.1792,270.2703,0.3243,0.0051,0.0,0.0004,747.7031
180000,0.0925,294.3,0.1,0.1109,294.1176,0.2647,0.0051,-0.0,0.0004,744.9702
190000,0.0,324.0,0.0,0.0454,312.5,0.125,0.0051,0.0,0.0005,744.2966
