env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,
10000,0.0,288.0,0.0,0.1009,263.1579,0.1579,0.7374,0.0017,646.0295
20000,0.0,288.0,0.0,0.04,277.7778,0.0556,0.2765,0.0004,984.8992
30000,0.0,288.0,0.0,0.0774,270.2703,0.1622,0.146,0.0004,980.9615
40000,0.0,288.0,0.0,0.0579,270.2703,0.1081,0.1148,0.0004,976.5751
50000,0.0,288.0,0.0,0.0998,263.1579,0.2105,0.1004,0.0006,963.6346
60000,0.0,288.0,0.0,0.0844,270.2703,0.1351,0.0913,0.0007,956.862
70000,0.0,288.0,0.0,0.088,263.1579,0.1579,0.085,0.0007,955.7549
80000,0.0,288.0,0.0,0.0633,270.2703,0.1081,0.081,0.0007,954.2667
90000,0.0,288.0,0.0,0.1065,256.4103,0.2051,0.0791,0.0007,953.6667
100000,0.0,288.0,0.0,0.2434,227.2727,0.4318,0.0772,0.0007,949.5433
110000,0.0963,260.4,0.1,0.3199,204.0816,0.5714,0.076,0.0009,941.7147
120000,0.0984,259.7,0.1,0.3518,196.0784,0.6275,0.0744,0.0013,937.6093
130000,0.0978,259.9,0.1,0.5606,135.1351,0.8514,0.0728,0.0017,929.5921
140000,0.1947,232.1,0.2,0.6326,113.6364,0.9318,0.0704,0.0022,923.1726
150000,0.4863,148.4,0.5,0.7453,81.3008,0.9837,0.0686,0.0028,913.8407
160000,0.7684,67.7,0.8,0.803,62.8931,0.9937,0.0675,0.0032,908.3206
170000,0.6784,93.3,0.7,0.8132,59.8802,1.0,0.0664,0.0034,892.564
180000,0.7719,66.6,0.8,0.8354,52.6316,1.0,0.0656,0.0034,888.0784
190000,0.8662,39.6,0.9,0.8575,45.4545,1.0,0.0648,0.0032,881.9437
200000,0.87,38.4,0.9,0.8612,44.4444,1.0,0.0643,0.003,881.0322
210000,0.8703,38.3,0.9,0.8873,35.9712,1.0,0.0638,0.0029,865.5227
220000,0.97,9.6,1.0,0.8851,36.7647,1.0,0.0633,0.0029,863.8019
230000,0.6716,95.5,0.7,0.8905,35.2113,1.0,0.0628,0.0028,868.5005
240000,0.9681,10.2,1.0,0.9023,31.1526,1.0,0.0624,0.0027,868.2023
250000,0.7762,65.2,0.8,0.9054,30.3951,1.0,0.0621,0.0026,865.3596
260000,0.9734,8.5,1.0,0.9084,29.1545,1.0,0.0619,0.0026,851.2102
270000,0.9659,10.9,1.0,0.9102,28.7356,1.0,0.0615,0.0025,853.3817
280000,0.965,11.2,1.0,0.9167,26.6667,1.0,0.0613,0.0025,844.8096
