env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,250.0,0.0,,,,,,
10000,0.0,250.0,0.0,0.0343,250.0,0.15,0.0007,0.0007,550.7638
20000,0.0968,225.9,0.1,0.0473,238.0952,0.1429,0.0003,0.0001,753.6832
30000,0.0,250.0,0.0,0.108,227.2727,0.2273,0.0002,0.0004,750.4596
40000,0.1629,210.3,0.2,0.1272,222.2222,0.2889,0.0004,0.0007,743.101
50000,0.4546,140.4,0.6,0.1617,212.766,0.3617,0.0006,0.001,735.6456
60000,0.2388,192.0,0.3,0.2043,212.766,0.5319,0.0007,0.0011,732.7265
70000,0.451,138.6,0.5,0.1969,208.3333,0.4792,0.0009,0.0009,722.4733
80000,0.6532,88.0,0.7,0.3255,175.4386,0.6491,0.001,0.0008,725.5156
90000,0.6489,89.2,0.7,0.225,204.0816,0.4898,0.0011,0.0008,723.5023
100000,0.6826,85.4,0.9,0.3,181.8182,0.5818,0.0011,0.0009,719.2151
110000,0.2226,196.5,0.3,0.3155,178.5714,0.6607,0.0012,0.0009,716.4801
120000,0.2417,191.2,0.3,0.3451,175.4386,0.7544,0.0012,0.0009,709.8993
130000,0.5779,111.7,0.8,0.4109,156.25,0.75,0.0013,0.0009,711.1271
140000,0.7089,75.3,0.8,0.4973,136.9863,0.863,0.0013,0.0008,707.4441
150000,0.9528,13.1,1.0,0.5669,116.2791,0.8721,0.0013,0.0009,705.647
160000,0.56,111.1,0.6,0.626,102.0408,0.9592,0.0014,0.001,700.6406
170000,0.9568,12.0,1.0,0.7306,74.6269,0.9925,0.0014,0.0013,695.4324
180000,0.9471,14.7,1.0,0.7504,68.9655,0.9931,0.0015,0.0016,688.2646
190000,0.959,11.4,1.0,0.749,69.9301,1.0,0.0015,0.0018,686.2654
200000,0.9474,14.6,1.0,0.7938,57.1429,1.0,0.0016,0.002,685.0599
210000,0.9568,12.0,1.0,0.7943,57.1429,1.0,0.0017,0.0021,682.1502
220000,0.751,63.6,0.8,0.7993,55.5556,0.9944,0.0017,0.0022,674.8512
230000,0.9496,14.0,1.0,0.8171,51.0204,1.0,0.0018,0.0023,677.2707
240000,0.9467,14.8,1.0,0.8212,49.7512,1.0,0.0018,0.0023,675.8139
250000,0.9442,15.5,1.0,0.8286,47.3934,1.0,0.0018,0.0023,670.5553
260000,0.9557,12.3,1.0,0.8453,42.9185,1.0,0.0019,0.0023,671.1382
270000,0.9539,12.8,1.0,0.8517,41.3223,1.0,0.0019,0.0024,667.5449
280000,0.9528,13.1,1.0,0.8528,40.8163,1.0,0.0019,0.0024,667.979
290000,0.9618,10.6,1.0,0.8613,38.4615,1.0,0.0019,0.0025,665.0844
300000,0.96,11.1,1.0,0.8706,35.9712,1.0,0.002,0.0025,665.9446
310000,0.942,16.1,1.0,0.8748,34.8432,1.0,0.002,0.0025,660.2248
320000,0.959,11.4,1.0,0.8814,32.8947,1.0,0.002,0.0026,659.8397
330000,0.9608,10.9,1.0,0.8892,30.8642,1.0,0.002,0.0027,656.098
340000,0.9626,10.4,1.0,0.8961,28.9017,1.0,0.002,0.0028,650.7765
350000,0.9604,11.0,1.0,0.8999,27.7008,1.0,0.002,0.0027,653.9364
360000,0.9604,11.0,1.0,0.9011,27.5482,1.0,0.002,0.0028,651.6083
370000,0.9626,10.4,1.0,0.9065,25.9067,1.0,0.002,0.0028,648.448
380000,0.9575,11.8,1.0,0.9122,24.3902,1.0,0.0021,0.0028,646.8665
390000,0.7862,56.6,0.9,0.9135,24.0964,1.0,0.002,0.0028,650.3064
400000,0.968,8.9,1.0,0.9141,23.753,1.0,0.0021,0.0029,649.9218
410000,0.9626,10.4,1.0,0.9169,23.0947,1.0,0.0021,0.0029,648.4403
420000,0.9658,9.5,1.0,0.9218,21.7865,1.0,0.0021,0.0029,646.9564
430000,0.9597,11.2,1.0,0.923,21.322,1.0,0.0021,0.0029,644.6734
440000,0.9644,9.9,1.0,0.9213,21.8341,1.0,0.0021,0.003,643.896
450000,0.9564,12.1,1.0,0.925,20.8768,1.0,0.0021,0.0029,643.2736
460000,0.9572,11.9,1.0,0.926,20.4918,1.0,0.002,0.0029,642.3176
470000,0.9608,10.9,1.0,0.9277,20.0803,1.0,0.002,0.0029,640.0957
480000,0.959,11.4,1.0,0.9298,19.4553,0.9981,0.002,0.0029,643.5516
490000,0.9647,9.8,1.0,0.9348,18.1159,1.0,0.002,0.0028,643.0016
500000,0.9611,10.8,1.0,0.9338,18.3824,1.0,0.002,0.0029,640.8162
510000,0.959,11.4,1.0,0.9347,18.1488,1.0,0.002,0.0028,639.2943
520000,0.9582,11.6,1.0,0.9372,17.4216,1.0,0.002,0.0028,638.2639
