env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,640.0,0.0,,,,,,,
10000,0.0,640.0,0.0,0.0,666.6667,0.0,-1.8051,4.1314,0.0011,315.7126
20000,0.0,640.0,0.0,0.0,625.0,0.0,-1.9842,4.7758,0.0,421.7452
30000,0.0,640.0,0.0,0.0177,625.0,0.0625,-2.0287,4.9251,0.0,420.4804
40000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.0563,5.0133,0.0,419.9932
50000,0.0,640.0,0.0,0.0351,625.0,0.125,-2.0783,5.0789,0.0,306.0249
60000,0.0,640.0,0.0,0.0,625.0,0.0,-2.0959,5.1288,0.0,416.9206
70000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.1104,5.1677,0.0,415.0799
80000,0.0,640.0,0.0,0.0,625.0,0.0,-2.124,5.2059,0.0,413.9963
90000,0.0,640.0,0.0,0.0471,588.2353,0.0588,-2.1368,5.2437,0.0,413.9869
100000,0.0,640.0,0.0,0.0256,666.6667,0.1333,-2.1485,5.2768,0.0,413.053
110000,0.0,640.0,0.0,0.0,625.0,0.0,-2.1594,5.3094,0.0,411.7123
120000,0.0,640.0,0.0,0.0,625.0,0.0,-2.1711,5.3499,0.0,411.7896
130000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.1809,5.3792,0.0,411.2235
140000,0.0,640.0,0.0,0.0,625.0,0.0,-2.1903,5.4107,0.0,410.7051
150000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.1977,5.4294,0.0,408.9252
160000,0.0,640.0,0.0,0.0113,625.0,0.0625,-2.206,5.4563,0.0,410.0491
170000,0.0,640.0,0.0,0.0,625.0,0.0,-2.213,5.4778,0.0,408.5184
180000,0.0,640.0,0.0,0.0218,625.0,0.0625,-2.2194,5.4983,0.0,408.6211
190000,0.0,640.0,0.0,0.0131,666.6667,0.0667,-2.2248,5.5133,0.0,408.9517
200000,0.0,640.0,0.0,0.0068,625.0,0.0625,-2.2299,5.5274,0.0,408.7221
210000,0.0,640.0,0.0,0.0,625.0,0.0,-2.2349,5.5451,0.0,407.257
220000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.24,5.5593,0.0,407.6075
230000,0.0,640.0,0.0,0.0394,625.0,0.125,-2.2447,5.5765,0.0,406.4693
240000,0.0,640.0,0.0,0.0,625.0,0.0,-2.2499,5.5936,0.0,405.0295
250000,0.0,640.0,0.0,0.0448,625.0,0.0625,-2.2527,5.5956,0.0,405.864
260000,0.0,640.0,0.0,0.0199,625.0,0.0625,-2.2568,5.6108,0.0,405.0095
270000,0.0,640.0,0.0,0.0441,588.2353,0.0588,-2.2605,5.6216,0.0,404.7515
280000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.2644,5.6341,0.0,403.4411
290000,0.0,640.0,0.0,0.0,625.0,0.0,-2.2678,5.6425,0.0,404.4784
300000,0.0,640.0,0.0,0.0675,588.2353,0.1176,-2.2713,5.6533,0.0,404.3853
310000,0.0,640.0,0.0,0.0212,666.6667,0.0667,-2.2741,5.6611,0.0,403.5616
320000,0.0,640.0,0.0,0.0,625.0,0.0,-2.2767,5.6677,0.0,403.5664
330000,0.0,640.0,0.0,0.0603,588.2353,0.1176,-2.2804,5.6805,0.0,404.8027
340000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.2834,5.6902,0.0,403.1788
350000,0.0,640.0,0.0,0.0174,625.0,0.125,-2.286,5.6988,0.0,402.6714
360000,0.0,640.0,0.0,0.0354,625.0,0.0625,-2.2884,5.7062,0.0,402.2878
370000,0.0,640.0,0.0,0.008,625.0,0.0625,-2.2907,5.7113,0.0,402.4977
380000,0.0,640.0,0.0,0.0457,625.0,0.0625,-2.2931,5.719,0.0,401.743
390000,0.0,640.0,0.0,0.0,625.0,0.0,-2.2961,5.7289,0.0,401.7526
400000,0.0,640.0,0.0,0.0539,625.0,0.125,-2.2974,5.7326,0.0,401.6001
410000,0.0,640.0,0.0,0.0402,625.0,0.0625,-2.2992,5.7375,0.0,401.2159
420000,0.0,640.0,0.0,0.0276,625.0,0.0625,-2.3005,5.7401,0.0,398.6259
430000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3032,5.7493,0.0,400.4287
440000,0.0,640.0,0.0,0.0172,625.0,0.125,-2.305,5.7536,0.0,399.3528
450000,0.0,640.0,0.0,0.0103,666.6667,0.0667,-2.3066,5.758,0.0,400.4299
460000,0.0,640.0,0.0,0.0225,625.0,0.0625,-2.3089,5.7657,0.0,399.6227
470000,0.0,640.0,0.0,0.0669,588.2353,0.1176,-2.3106,5.7715,0.0,398.6928
480000,0.0,640.0,0.0,0.044,625.0,0.125,-2.3112,5.7704,0.0,400.574
490000,0.0,640.0,0.0,0.0433,625.0,0.0625,-2.3131,5.7766,0.0,398.2982
500000,0.0,640.0,0.0,0.0384,588.2353,0.0588,-2.3145,5.7812,0.0,398.1227
510000,0.0,640.0,0.0,0.0456,625.0,0.0625,-2.3156,5.7844,0.0,398.2548
520000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.3168,5.7876,0.0,397.7696
530000,0.0,640.0,0.0,0.0899,555.5556,0.1111,-2.3185,5.7927,0.0,398.1727
540000,0.0,640.0,0.0,0.0516,625.0,0.125,-2.3193,5.7932,0.0,397.5494
550000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3205,5.7957,0.0,396.1995
560000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.3223,5.8034,0.0,397.3313
570000,0.0,640.0,0.0,0.1646,526.3158,0.2632,-2.3228,5.8034,0.0,396.5498
580000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.3247,5.8089,0.0,397.7727
590000,0.0,640.0,0.0,0.0212,625.0,0.0625,-2.3251,5.8096,0.0,395.9653
600000,0.0,640.0,0.0,0.0251,625.0,0.0625,-2.3267,5.8169,0.0,396.4435
610000,0.0,640.0,0.0,0.0208,625.0,0.0625,-2.3273,5.8154,0.0,395.5216
620000,0.0,640.0,0.0,0.031,625.0,0.0625,-2.3279,5.8153,0.0,396.1012
630000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3297,5.8224,0.0,398.2989
640000,0.0,640.0,0.0,0.0254,625.0,0.125,-2.3301,5.8213,0.0,397.5092
650000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.3317,5.8275,0.0,396.0376
660000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3316,5.8257,0.0,394.8719
670000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3333,5.8322,0.0,395.0894
680000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.3336,5.832,0.0,395.2245
690000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3353,5.8396,0.0,392.5076
700000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.3352,5.8356,0.0,395.1689
710000,0.0,640.0,0.0,0.0,625.0,0.0,-2.3362,5.8386,0.0,393.7698
720000,0.0,640.0,0.0,0.0064,625.0,0.0625,-2.3374,5.8439,0.0,393.4595
730000,0.0,640.0,0.0,0.0765,588.2353,0.1176,-2.3385,5.8464,0.0,393.6603
740000,0.0,640.0,0.0,0.0,666.6667,0.0,-2.3384,5.8458,0.0,393.0886
