env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,270.0,0.0,,,,,,,
10000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0,0.0014,0.0011,212.5476
20000,0.0,270.0,0.0,0.0125,270.2703,0.027,-0.0,0.0001,0.0,211.8948
30000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0001,0.0004,0.0,584.788
40000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0002,0.0004,0.0,584.9853
50000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0001,0.0004,0.0,585.6322
60000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0001,0.0003,0.0,580.7951
70000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0001,0.0002,0.0,578.1712
80000,0.0,270.0,0.0,0.0033,270.2703,0.027,-0.0001,0.0002,0.0,578.8497
90000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0001,0.0002,0.0,577.198
100000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0001,0.0002,0.0,576.1413
110000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0002,0.0001,0.0,576.7693
120000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0004,0.0001,0.0,574.3819
130000,0.0,270.0,0.0,0.0078,263.1579,0.0263,-0.0008,0.0001,0.0,572.2359
140000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0015,0.0001,0.0,571.9547
150000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0012,0.0001,0.0,570.7446
160000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0012,0.0001,0.0,569.76
170000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0006,0.0001,0.0,572.5836
180000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0008,0.0001,0.0,569.5823
190000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0008,0.0001,0.0,567.8825
200000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0008,0.0001,0.0,568.642
210000,0.0,270.0,0.0,0.0,270.2703,0.0,-0.0007,0.0001,0.0,564.8655
220000,0.0,270.0,0.0,0.0148,270.2703,0.027,-0.0009,0.0001,0.0,566.7427
