env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,270.0,0.0,,,,,,
10000,0.0,270.0,0.0,0.0,270.2703,0.0,0.565,0.0013,805.0625
20000,0.0,270.0,0.0,0.0,270.2703,0.0,0.2505,0.0,1001.4919
30000,0.0,270.0,0.0,0.0,270.2703,0.0,0.1502,0.0,1001.1162
40000,0.0,270.0,0.0,0.0,270.2703,0.0,0.1184,0.0,998.7745
50000,0.0,270.0,0.0,0.0,270.2703,0.0,0.1048,0.0,996.9378
60000,0.0,270.0,0.0,0.0048,270.2703,0.027,0.0957,0.0,843.6683
70000,0.0,270.0,0.0,0.0033,270.2703,0.027,0.0912,0.0,983.365
80000,0.0,270.0,0.0,0.0102,270.2703,0.027,0.0856,0.0,974.3061
90000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0786,0.0,973.9213
100000,0.0,270.0,0.0,0.02,263.1579,0.0263,0.0739,0.0,964.9665
110000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0717,0.0,971.2741
120000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0692,0.0,968.4541
130000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0678,0.0,960.7611
140000,0.0,270.0,0.0,0.0,270.2703,0.0,0.066,0.0,965.5325
150000,0.0,270.0,0.0,0.006,270.2703,0.027,0.0652,0.0,963.8847
160000,0.0,270.0,0.0,0.0189,263.1579,0.0526,0.0645,0.0,958.7649
170000,0.0,270.0,0.0,0.0093,270.2703,0.027,0.0632,0.0,954.1248
180000,0.0,270.0,0.0,0.0034,270.2703,0.027,0.0622,0.0,947.5859
190000,0.0,270.0,0.0,0.0045,270.2703,0.027,0.0619,0.0,951.3725
200000,0.0,270.0,0.0,0.0106,263.1579,0.0263,0.0612,0.0,946.4313
210000,0.0,270.0,0.0,0.0516,256.4103,0.1026,0.061,0.0,935.3669
220000,0.0,270.0,0.0,0.0095,270.2703,0.027,0.0609,0.0,936.2672
230000,0.0,270.0,0.0,0.0257,263.1579,0.0526,0.0606,0.0,941.9719
240000,0.0,270.0,0.0,0.0225,263.1579,0.0526,0.0603,0.0,936.8842
250000,0.0,270.0,0.0,0.0115,270.2703,0.027,0.0605,0.0001,929.1556
260000,0.0,270.0,0.0,0.0669,256.4103,0.1795,0.06,0.0001,938.3025
270000,0.0,270.0,0.0,0.071,250.0,0.15,0.0604,0.0001,931.4222
280000,0.0,270.0,0.0,0.1059,243.9024,0.2195,0.0603,0.0001,931.5067
290000,0.0,270.0,0.0,0.0332,263.1579,0.0526,0.0601,0.0001,929.9207
300000,0.0,270.0,0.0,0.0806,250.0,0.15,0.0597,0.0001,920.415
310000,0.0,270.0,0.0,0.1348,238.0952,0.2619,0.0591,0.0002,920.4727
320000,0.0,270.0,0.0,0.1505,232.5581,0.2791,0.0592,0.0002,915.6146
330000,0.0,270.0,0.0,0.1247,243.9024,0.2195,0.0591,0.0002,918.3292
340000,0.095,244.5,0.1,0.2048,212.766,0.3191,0.0596,0.0003,920.3887
350000,0.0937,244.9,0.1,0.1901,227.2727,0.2955,0.0589,0.0003,921.3789
360000,0.0,270.0,0.0,0.195,222.2222,0.3556,0.0594,0.0004,917.1973
370000,0.0,270.0,0.0,0.3555,178.5714,0.5893,0.0594,0.0005,910.2287
380000,0.0,270.0,0.0,0.3752,175.4386,0.5789,0.0595,0.0006,906.4798
390000,0.091,245.7,0.1,0.3371,181.8182,0.4909,0.0601,0.0007,902.1972
