env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,270.0,0.0,,,,,,,
10000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0062,0.0002,0.0013,238.4836
20000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0062,0.0,0.0,790.9722
30000,0.0,270.0,0.0,0.0175,270.2703,0.027,0.0062,0.0,0.0,231.5417
40000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0062,0.0,0.0,784.8761
50000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0062,0.0,0.0,782.458
60000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0062,0.0,0.0,780.7867
70000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,777.6356
80000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,776.1062
90000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,-0.0,0.0,773.015
100000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,770.775
110000,0.0,270.0,0.0,0.0,263.1579,0.0,0.0063,-0.0,0.0,772.2708
120000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,-0.0,0.0,769.6485
130000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,-0.0,0.0,767.8133
140000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0001,767.0238
150000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,-0.0,0.0,766.1979
160000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,764.9753
170000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,763.4408
180000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,760.0489
190000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,758.6078
200000,0.0,270.0,0.0,0.0063,270.2703,0.027,0.0063,-0.0,0.0,754.8842
210000,0.0,270.0,0.0,0.0059,270.2703,0.027,0.0063,0.0,0.0,743.2783
220000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,-0.0,0.0,751.5905
230000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,747.6811
240000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,749.0537
250000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,747.9725
260000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,-0.0,0.0,747.0936
270000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,743.4507
280000,0.0,270.0,0.0,0.0142,263.1579,0.0263,0.0063,-0.0,0.0,746.4128
290000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,744.9072
300000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0063,0.0,0.0,742.2049
