env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,270.0,0.0,,,,,,
10000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0007,0.0008,665.6627
20000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,762.1471
30000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0001,0.0,759.9987
40000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0002,0.0,753.0811
50000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0003,0.0,748.7205
60000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0003,0.0,746.0618
70000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,740.4398
80000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,746.6131
90000,0.0,270.0,0.0,0.0079,270.2703,0.027,0.0004,0.0,744.7475
100000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,653.7619
110000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,731.3961
120000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,730.9758
130000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,730.0554
140000,0.0,270.0,0.0,0.01,263.1579,0.0263,0.0004,0.0,727.9099
150000,0.0,270.0,0.0,0.0042,270.2703,0.027,0.0004,0.0,724.9249
160000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,726.2242
170000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,720.2936
180000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,722.8694
190000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,719.3281
200000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,720.4941
210000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,717.5448
220000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,718.2371
230000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,716.7533
240000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,714.2857
250000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,707.4222
260000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,706.7614
270000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,712.8312
280000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,709.444
290000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,708.8029
300000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,707.2362
310000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,708.2917
320000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,704.8687
330000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,702.4985
340000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,703.157
350000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,706.9882
360000,0.0,270.0,0.0,0.0,270.2703,0.0,0.0004,0.0,699.3
