env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,339.5,0.0,,,,,,
10000,0.0,436.0,0.0,0.0,40.0,0.0,0.0011,0.0009,520.8135
20000,0.0,484.0,0.0,0.0,40.1606,0.0,0.0003,0.0,708.8124
30000,0.0,484.0,0.0,0.0,39.5257,0.0,0.0002,0.0,708.1118
40000,0.0,484.0,0.0,0.0,41.6667,0.0,0.0002,0.0,699.5328
50000,0.0,484.0,0.0,0.0026,37.4532,0.0037,0.0002,0.0,701.9499
60000,0.0,484.0,0.0,0.0,45.2489,0.0,0.0003,0.0,700.9977
70000,0.0,484.0,0.0,0.0,45.6621,0.0,0.0003,0.0,697.8297
80000,0.0,484.0,0.0,0.0,37.4532,0.0,0.0003,0.0,695.9028
90000,0.0,484.0,0.0,0.0,37.4532,0.0,0.0003,0.0,694.4906
100000,0.0,484.0,0.0,0.0,43.4783,0.0,0.0003,0.0,695.5323
110000,0.0,484.0,0.0,0.0,43.1034,0.0,0.0003,0.0,690.6913
120000,0.0,484.0,0.0,0.0,46.729,0.0,0.0003,0.0,691.0233
130000,0.0,484.0,0.0,0.0,44.843,0.0,0.0003,0.0,692.2909
140000,0.0,484.0,0.0,0.0,42.3729,0.0,0.0003,0.0,692.3214
150000,0.0,484.0,0.0,0.0,45.6621,0.0,0.0003,0.0,692.0566
160000,0.0,484.0,0.0,0.0,45.8716,0.0,0.0003,0.0,683.2777
170000,0.0,484.0,0.0,0.0,42.1941,0.0,0.0003,0.0,683.8469
180000,0.0,484.0,0.0,0.0,47.619,0.0,0.0003,0.0,677.6087
190000,0.0,484.0,0.0,0.0,52.9101,0.0,0.0003,0.0,682.6824
200000,0.0,484.0,0.0,0.0,46.5116,0.0,0.0003,0.0,680.751
210000,0.0,484.0,0.0,0.0,52.6316,0.0,0.0003,0.0,677.4149
220000,0.0,484.0,0.0,0.0,50.7614,0.0,0.0003,0.0,677.4918
230000,0.0,484.0,0.0,0.0,49.2611,0.0,0.0004,0.0,676.8935
240000,0.0,484.0,0.0,0.0,52.9101,0.0,0.0004,0.0,673.5442
250000,0.0,362.3,0.0,0.0,50.2513,0.0,0.0004,0.0,673.1862
260000,0.0,484.0,0.0,0.0,54.6448,0.0,0.0004,0.0,673.5955
270000,0.0,484.0,0.0,0.0,52.356,0.0,0.0004,0.0,672.9787
280000,0.0,484.0,0.0,0.0,60.9756,0.0,0.0004,0.0,672.8848
290000,0.0,484.0,0.0,0.0049,58.4795,0.0058,0.0004,0.0,669.4086
300000,0.0,484.0,0.0,0.0,68.4932,0.0,0.0004,0.0,669.0013
310000,0.0,484.0,0.0,0.0034,66.6667,0.0067,0.0004,0.0,669.644
320000,0.0,484.0,0.0,0.0,81.3008,0.0,0.0004,0.0,663.6653
330000,0.0,484.0,0.0,0.0,67.5676,0.0,0.0004,0.0,662.6576
340000,0.0,484.0,0.0,0.0,71.4286,0.0,0.0004,0.0,663.0868
350000,0.0,484.0,0.0,0.0101,66.6667,0.0133,0.0004,0.0,663.2295
360000,0.0,484.0,0.0,0.0061,63.6943,0.0064,0.0004,0.0,661.4086
370000,0.0968,437.3,0.1,0.0071,86.9565,0.0087,0.0004,0.0001,660.3641
380000,0.0,484.0,0.0,0.0082,92.5926,0.0093,0.0004,0.0001,656.7931
390000,0.0,484.0,0.0,0.0,91.7431,0.0,0.0004,0.0001,655.4111
400000,0.0,484.0,0.0,0.0108,86.9565,0.0174,0.0004,0.0001,656.5916
410000,0.0,484.0,0.0,0.0,86.9565,0.0,0.0004,0.0001,651.7602
420000,0.0,484.0,0.0,0.0166,93.4579,0.0187,0.0004,0.0001,650.9262
430000,0.0,484.0,0.0,0.0,81.9672,0.0,0.0004,0.0001,654.5535
440000,0.0,484.0,0.0,0.0,100.0,0.0,0.0004,0.0001,651.3193
450000,0.0,484.0,0.0,0.0116,80.0,0.016,0.0004,0.0001,647.6103
460000,0.0,484.0,0.0,0.0306,90.9091,0.0364,0.0004,0.0001,646.8557
470000,0.053,460.9,0.1,0.018,103.0928,0.0206,0.0004,0.0002,647.1727
480000,0.0,484.0,0.0,0.0318,129.8701,0.039,0.0004,0.0002,649.3687
490000,0.0948,438.4,0.1,0.03,119.0476,0.0357,0.0004,0.0003,647.839
500000,0.0,484.0,0.0,0.0344,142.8571,0.0429,0.0004,0.0003,647.4768
510000,0.0,484.0,0.0,0.0295,120.4819,0.0482,0.0005,0.0003,647.4749
520000,0.0,484.0,0.0,0.0136,107.5269,0.0215,0.0005,0.0003,643.8689
530000,0.0,484.0,0.0,0.022,82.6446,0.0248,0.0005,0.0003,644.7817
