env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,291.7,0.0,,,,,,,
10000,0.0,259.4,0.0,0.0054,68.0272,0.0068,-0.0186,0.0091,0.0011,125.7407
20000,0.0,292.8,0.0,0.0,70.4225,0.0,-0.0127,0.0032,0.0,550.9876
30000,0.0,324.0,0.0,0.0025,60.6061,0.0061,-0.0053,0.0006,0.0,550.5026
40000,0.0,66.4,0.0,0.0034,61.3497,0.0061,-0.0,0.0,0.0,548.6187
50000,0.0,324.0,0.0,0.0028,60.241,0.006,-0.0,0.0001,0.0,547.5705
60000,0.0,324.0,0.0,0.0,60.6061,0.0,-0.0,0.0001,0.0,547.0832
70000,0.0,99.3,0.0,0.0,64.1026,0.0,-0.0,0.0001,0.0,543.5666
80000,0.0,324.0,0.0,0.0087,54.3478,0.0109,-0.0,0.0,0.0,544.0393
90000,0.0,324.0,0.0,0.0,62.8931,0.0,-0.0,0.0,0.0,542.9637
100000,0.0,324.0,0.0,0.0,60.6061,0.0,-0.0,0.0,0.0,542.1582
110000,0.0,324.0,0.0,0.0,54.9451,0.0,-0.0,0.0001,0.0,539.9412
120000,0.0,131.0,0.0,0.0,68.4932,0.0,-0.0,0.0,0.0,539.4323
130000,0.0,324.0,0.0,0.0,63.6943,0.0,-0.0,0.0,0.0,539.3139
140000,0.0,324.0,0.0,0.011,65.3595,0.0196,-0.0,0.0,0.0,536.5894
150000,0.0,99.3,0.0,0.0036,53.4759,0.0053,-0.0,0.0,0.0,536.2749
160000,0.0,164.1,0.0,0.009,40.6504,0.0122,-0.0,0.0001,0.0,534.4332
170000,0.0,99.1,0.0,0.0037,40.6504,0.0041,-0.0,0.0001,0.0,529.2022
180000,0.0,324.0,0.0,0.0039,49.2611,0.0049,-0.0,0.0001,0.0,533.9488
190000,0.0,324.0,0.0,0.0103,53.4759,0.016,-0.0002,0.0001,0.0,532.8622
200000,0.0,228.3,0.0,0.0026,69.9301,0.007,-0.0002,0.0001,0.0,531.661
210000,0.0,292.1,0.0,0.0067,82.6446,0.0083,-0.0003,0.0,0.0001,530.8052
220000,0.0,324.0,0.0,0.0261,104.1667,0.0417,-0.0003,0.0,0.0002,530.3696
230000,0.0,324.0,0.0,0.0378,112.3596,0.0562,-0.0003,0.0,0.0002,528.8982
240000,0.0,324.0,0.0,0.0052,108.6957,0.0109,-0.0003,0.0,0.0003,529.0506
250000,0.0,324.0,0.0,0.0423,111.1111,0.0667,-0.0002,0.0,0.0004,528.2694
260000,0.0,324.0,0.0,0.0254,140.8451,0.0423,-0.0002,0.0001,0.0004,530.3549
270000,0.0,324.0,0.0,0.0469,106.383,0.0851,-0.0002,0.0,0.0004,526.2547
280000,0.0,324.0,0.0,0.0489,99.0099,0.0792,-0.0002,0.0,0.0004,526.6295
290000,0.0964,292.9,0.1,0.0382,100.0,0.05,-0.0002,0.0001,0.0005,525.1632
300000,0.0,324.0,0.0,0.0741,89.2857,0.1071,-0.0002,0.0001,0.0005,524.1386
310000,0.0964,292.9,0.1,0.1038,90.0901,0.1441,-0.0003,0.0001,0.0006,525.6724
320000,0.0,324.0,0.0,0.1027,108.6957,0.1196,-0.0004,0.0002,0.0007,521.1239
330000,0.0961,293.0,0.1,0.1106,90.0901,0.1441,-0.0005,0.0002,0.0008,522.2853
340000,0.0767,300.0,0.1,0.0859,68.0272,0.1088,-0.0007,0.0002,0.0008,523.9512
350000,0.095,293.4,0.1,0.0883,66.6667,0.1067,-0.0008,0.0002,0.001,519.6388
360000,0.0861,296.6,0.1,0.1082,73.5294,0.1397,-0.001,0.0002,0.001,518.9379
370000,0.1928,261.8,0.2,0.1463,74.0741,0.1852,-0.001,0.0003,0.001,518.4857
380000,0.4758,170.7,0.5,0.208,69.4444,0.25,-0.0011,0.0003,0.0011,520.0487
390000,0.0,324.0,0.0,0.2132,69.9301,0.2517,-0.0011,0.0003,0.0013,518.3299
400000,0.1872,263.8,0.2,0.2371,66.2252,0.2914,-0.0012,0.0005,0.0014,519.6212
410000,0.0961,293.0,0.1,0.3874,67.5676,0.4595,-0.0013,0.0005,0.0015,518.3338
420000,0.1908,262.5,0.2,0.3796,70.922,0.461,-0.0014,0.0005,0.0017,516.3544
430000,0.4725,171.9,0.5,0.4089,66.6667,0.5,-0.0016,0.0006,0.0018,516.6356
440000,0.3806,201.4,0.4,0.4143,70.4225,0.5,-0.0017,0.0006,0.002,514.5633
450000,0.4675,173.7,0.5,0.5005,68.4932,0.589,-0.0017,0.0007,0.002,514.7918
460000,0.3806,201.4,0.4,0.4719,70.4225,0.5704,-0.0018,0.0007,0.002,517.7302
470000,0.8475,51.3,0.9,0.4508,60.6061,0.5394,-0.0019,0.0008,0.0022,514.1994
480000,0.6653,109.7,0.7,0.4797,64.1026,0.5641,-0.0021,0.0009,0.0022,514.3212
490000,0.7639,77.8,0.8,0.5373,60.241,0.6265,-0.0022,0.0009,0.0023,515.886
500000,0.2844,232.4,0.3,0.5717,48.3092,0.657,-0.0024,0.0011,0.0023,513.309
510000,0.5692,140.7,0.6,0.5692,58.8235,0.6588,-0.0027,0.0011,0.0024,511.3149
520000,0.4764,170.5,0.5,0.5321,55.5556,0.6111,-0.0029,0.0011,0.0025,509.7046
530000,0.2836,232.7,0.3,0.5614,55.8659,0.6536,-0.003,0.0011,0.0025,512.387
540000,0.1847,264.7,0.2,0.6197,59.1716,0.7278,-0.0034,0.0013,0.0025,512.5305
