env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,40.0,0.0,,,,,,,
10000,0.0,40.0,0.0,0.0086,39.8406,0.0239,0.0,0.0017,0.001,139.3775
20000,0.0,40.0,0.0,0.0114,39.5257,0.0277,-0.0,0.0,0.0002,644.7061
30000,0.0,40.0,0.0,0.0267,39.0625,0.0508,-0.0,0.0,0.0002,639.7899
40000,0.0887,36.5,0.1,0.0171,39.3701,0.0354,-0.0,0.0001,0.0007,637.7007
50000,0.31,28.0,0.4,0.0131,39.6825,0.0317,-0.0,0.0001,0.0009,640.0784
60000,0.5087,20.5,0.7,0.035,38.7597,0.0775,-0.0005,0.0003,0.0013,634.1214
70000,0.6055,16.2,0.7,0.0911,36.63,0.1722,-0.0009,0.0006,0.0019,629.3582
80000,0.328,27.2,0.4,0.1059,36.3636,0.2364,-0.0025,0.0008,0.0027,623.6263
90000,0.2682,30.3,0.5,0.1124,36.1011,0.2491,-0.0029,0.001,0.0029,616.4348
100000,0.638,15.2,0.8,0.1387,35.2113,0.2993,-0.0028,0.0013,0.0026,609.8136
110000,0.6808,13.3,0.8,0.1451,35.0877,0.3439,-0.0031,0.0017,0.0026,607.6262
120000,0.401,24.4,0.5,0.2116,32.5733,0.4495,-0.0031,0.0018,0.0028,601.8546
130000,0.8313,7.5,1.0,0.2461,31.348,0.5204,-0.0044,0.0025,0.0031,599.1068
140000,0.766,10.4,1.0,0.2518,31.1526,0.5327,-0.0067,0.0032,0.0033,588.4105
150000,0.8605,6.2,1.0,0.2824,30.1205,0.6024,-0.0119,0.0044,0.0035,594.8846
160000,0.8448,6.9,1.0,0.3095,29.1545,0.6501,-0.0164,0.0058,0.0037,589.9709
170000,0.8448,6.9,1.0,0.3635,27.248,0.7493,-0.0182,0.007,0.0043,578.3619
180000,0.847,6.8,1.0,0.3577,27.3224,0.7268,-0.0191,0.0069,0.0044,577.4909
190000,0.7515,10.6,0.9,0.4058,25.2525,0.7576,-0.0195,0.0058,0.0056,583.2441
200000,0.8448,6.9,1.0,0.4557,23.5294,0.8494,-0.0283,0.0047,0.0062,582.7367
210000,0.8448,6.9,1.0,0.4867,22.3714,0.8949,-0.0249,0.0051,0.0075,577.6627
220000,0.8245,7.8,1.0,0.5214,20.8333,0.9021,-0.0156,0.0047,0.0093,574.7599
230000,0.8313,7.5,1.0,0.5041,21.5983,0.9006,-0.0154,0.005,0.0097,575.837
