env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,120.0,0.0,,,,,,,
10000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0065,0.0003,0.0011,244.0093
20000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,804.0133
30000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,-0.0,0.0,799.2941
40000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,795.719
50000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,793.6257
60000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,-0.0,0.0,787.6074
70000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,793.6835
80000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,793.6507
90000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,-0.0,0.0,786.6762
100000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,789.371
110000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,790.8338
120000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,-0.0,0.0,782.4391
130000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,778.4519
140000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,773.6842
150000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,-0.0,0.0,781.3165
160000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0002,774.7067
170000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,772.816
180000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,-0.0,0.0,765.5178
190000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,765.1998
200000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,766.548
210000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,-0.0,0.0,765.2133
220000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,760.8198
230000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,763.9783
240000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,-0.0,0.0,759.5666
250000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,762.2845
260000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,756.2873
270000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,-0.0,0.0,759.4986
280000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,754.6488
290000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,750.596
300000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,0.0,0.0,749.5221
310000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,0.0,0.0,749.1627
320000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,751.339
330000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,-0.0,0.0,745.1165
340000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,746.5454
350000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,0.0,0.0,744.6452
360000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,0.0,0.0,748.2303
370000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,744.2339
380000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,0.0,0.0,742.2171
390000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,0.0,0.0,747.286
400000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,0.0,0.0,743.4162
410000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,0.0,0.0,735.5315
420000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,-0.0,0.0,739.8652
430000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,737.2891
440000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,743.3351
450000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,-0.0,0.0,741.4028
460000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,741.9831
470000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,738.8833
480000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,0.0,0.0,732.4303
490000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,-0.0,0.0,733.9757
500000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0064,0.0,0.0,731.5022
510000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0064,0.0,0.0,729.3915
