env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,120.0,0.0,,,,,,
10000,0.0,120.0,0.0,0.0,120.4819,0.0,0.5783,0.0007,796.1316
20000,0.0,120.0,0.0,0.0,120.4819,0.0,0.2592,0.0,1011.3187
30000,0.0,120.0,0.0,0.0,119.0476,0.0,0.1467,0.0,1006.3652
40000,0.0,120.0,0.0,0.0,120.4819,0.0,0.1136,0.0,1001.6593
50000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0968,0.0,995.5717
60000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0914,0.0,994.8558
70000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0885,0.0,981.3052
80000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0859,0.0,989.4202
90000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0843,0.0,992.986
100000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0827,0.0,992.0291
110000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0812,0.0,985.4539
120000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0809,0.0,985.4737
130000,0.0,120.0,0.0,0.0,120.4819,0.0,0.079,0.0,980.0292
140000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0778,0.0,976.2222
150000,0.0,120.0,0.0,0.0,119.0476,0.0,0.076,0.0,966.6286
160000,0.0,120.0,0.0,0.0,120.4819,0.0,0.075,0.0,966.1015
170000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0744,0.0,962.8893
180000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0724,0.0,963.5377
190000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0713,0.0,965.4969
200000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0712,0.0,960.4973
210000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0708,0.0,945.417
220000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0699,0.0,951.4709
230000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0691,0.0,950.8871
240000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0681,0.0,948.9958
250000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0675,0.0,943.3098
260000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0676,0.0,942.4476
270000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0667,0.0,935.5084
280000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0662,0.0,933.5794
290000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0655,0.0,924.7199
300000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0652,0.0,930.157
310000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0642,0.0,932.9031
320000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0636,0.0,933.0922
330000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0624,0.0,932.9237
340000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0615,0.0,917.6179
350000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0609,0.0,921.5438
360000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0605,0.0,920.1714
370000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0595,0.0,915.9702
380000,0.0,120.0,0.0,0.0,120.4819,0.0,0.059,0.0,914.9941
390000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0594,0.0,917.3874
400000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0588,0.0,907.0985
410000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0583,0.0,911.0935
420000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0582,0.0,906.3004
430000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0581,0.0,905.1905
440000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0574,0.0,905.1067
450000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0572,0.0,902.6614
460000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0566,0.0,900.1545
470000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0561,0.0,902.7337
480000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0553,0.0,905.1327
