env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,120.0,0.0,,,,,,
10000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0011,0.0021,688.7733
20000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0004,0.0,804.4911
30000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0003,0.0,800.7692
40000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,797.1562
50000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,799.3773
60000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0003,0.0,792.8338
70000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,791.934
80000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,782.9005
90000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0002,0.0,787.505
100000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,787.3091
110000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,784.5998
120000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0002,0.0,780.8927
130000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,781.7725
140000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,777.2823
150000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0002,0.0,774.7817
160000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,773.7884
170000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,771.0306
180000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0002,0.0,768.0852
190000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0002,0.0,767.9142
200000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,766.2211
210000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0003,0.0,765.2239
220000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,761.8182
230000,0.0,120.0,0.0,0.0,120.4819,0.0,0.0003,0.0,762.2376
240000,0.0,120.0,0.0,0.0,119.0476,0.0,0.0003,0.0,760.5251
