env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0061,0.0001,0.0007,135.8464
20000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,791.5643
30000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,790.5154
40000,0.0,288.0,0.0,0.0,294.1176,0.0,0.006,-0.0,0.0,788.1319
50000,0.0,288.0,0.0,0.0222,277.7778,0.0278,0.006,-0.0,0.0,778.0803
60000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,780.2462
70000,0.0,288.0,0.0,0.0,294.1176,0.0,0.006,-0.0,0.0,777.3255
80000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,773.4585
90000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,773.7713
100000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,772.765
110000,0.0,288.0,0.0,0.0,294.1176,0.0,0.006,-0.0,0.0,767.591
120000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,770.6698
130000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,770.9292
140000,0.0,288.0,0.0,0.0,294.1176,0.0,0.006,-0.0,0.0,765.2281
150000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,767.9225
160000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,762.4915
170000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,762.7636
180000,0.0,288.0,0.0,0.0,294.1176,0.0,0.006,-0.0,0.0,765.8553
190000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,760.6699
200000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,0.0,0.0,754.0581
210000,0.0,288.0,0.0,0.0,294.1176,0.0,0.006,-0.0,0.0,758.8191
220000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,0.0,0.0,756.6843
230000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,753.9197
240000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,0.0,0.0,747.9034
250000,0.0,288.0,0.0,0.0,294.1176,0.0,0.006,-0.0,0.0,752.9147
260000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,0.0,0.0,734.9513
270000,0.0,288.0,0.0,0.0038,285.7143,0.0286,0.006,-0.0,0.0,740.8695
280000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,745.9614
290000,0.0,288.0,0.0,0.0,294.1176,0.0,0.006,0.0,0.0,743.7821
300000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,0.0,0.0,737.1736
310000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,0.0,0.0,742.8834
320000,0.0,288.0,0.0,0.0,294.1176,0.0,0.006,-0.0,0.0,743.2824
330000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,734.349
340000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,0.0,0.0,736.9046
350000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,735.4714
360000,0.0,288.0,0.0,0.0,294.1176,0.0,0.006,0.0,0.0,733.1041
370000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,-0.0,0.0,729.6043
380000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,0.0,0.0,735.5046
390000,0.0,288.0,0.0,0.0,294.1176,0.0,0.006,0.0,0.0,732.3757
400000,0.0,288.0,0.0,0.0043,285.7143,0.0286,0.006,0.0,0.0,730.945
410000,0.0,288.0,0.0,0.0,285.7143,0.0,0.006,0.0,0.0,729.5629
