env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0009,0.0005,621.6101
20000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0003,0.0,798.0175
30000,0.0,288.0,0.0,0.0051,285.7143,0.0286,0.0002,0.0,796.4521
40000,0.0,288.0,0.0,0.0128,285.7143,0.0286,0.0001,0.0,792.2639
50000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0001,0.0,789.4473
60000,0.0,288.0,0.0,0.0099,285.7143,0.0286,0.0001,0.0,782.3061
70000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0002,0.0,788.1862
80000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0002,0.0,779.2685
90000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0003,0.0,780.3853
100000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0003,0.0,777.0623
110000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0004,0.0,773.3505
120000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0004,0.0,773.2216
130000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0004,0.0,776.3886
140000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0004,0.0,778.0924
150000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,776.72
160000,0.0,288.0,0.0,0.0087,285.7143,0.0286,0.0005,0.0,766.9174
170000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,764.7815
180000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0005,0.0,762.8156
190000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,763.5138
200000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,758.2674
210000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,759.1777
220000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0005,0.0,759.6934
230000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,756.1818
240000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,753.3723
250000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0005,0.0,752.4497
260000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,756.4047
270000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,753.2263
280000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,749.0934
290000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,746.848
300000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,747.9225
310000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,748.2317
320000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,746.601
330000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,745.5058
340000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,742.2436
350000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,739.4046
360000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,739.3991
370000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,740.6547
380000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,742.0803
390000,0.0,288.0,0.0,0.0103,285.7143,0.0286,0.0006,0.0,744.0919
400000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,736.3532
410000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,739.3122
420000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,742.3431
430000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,739.4096
440000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,736.4709
450000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,740.0805
460000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,736.8918
470000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,734.0025
480000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,734.0441
490000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,729.9632
500000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,724.6726
510000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,729.3657
520000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,725.1209
530000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,727.2464
540000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,730.7745
550000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,725.9379
560000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,723.5464
570000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,725.3355
580000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0006,0.0,726.3308
590000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0006,0.0,724.9374
600000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,721.9587
610000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,720.7429
620000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,723.2817
630000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,724.385
640000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,721.8311
650000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,722.0037
660000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,722.5366
670000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,724.8318
680000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,718.0201
690000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,720.2599
700000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,715.7482
710000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,713.3696
720000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,717.7771
730000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,710.2916
740000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,717.8499
750000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,715.7424
760000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,714.5063
770000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,713.9979
780000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,711.1373
790000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,710.2634
800000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,709.4017
810000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,708.2904
820000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,708.1661
830000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,707.0411
840000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,708.1322
850000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,708.2407
860000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,708.9924
870000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,704.7462
880000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,706.4543
890000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,702.2646
900000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,701.9574
910000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,704.6201
920000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,702.6366
930000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,702.1567
940000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,702.862
950000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,698.3456
960000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,700.6911
970000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,701.2187
980000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,700.0747
990000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,701.4385
1000000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,700.3111
1010000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,702.2249
1020000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,701.3598
1030000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,701.652
1040000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,698.2613
1050000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,697.3506
1060000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,697.5152
1070000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,695.9042
1080000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,697.1717
1090000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,696.9569
1100000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,696.9892
1110000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,694.1331
1120000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0007,0.0,694.7272
1130000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0007,0.0,694.2123
