env_steps,return,length,success,train/return,train/length,train/success,zp_loss,critic_loss,FPS
0,0.0,484.0,0.0,,,,,,
10000,0.0,484.0,0.0,0.0148,500.0,0.05,0.0007,0.0005,614.7604
20000,0.0,484.0,0.0,0.0,476.1905,0.0,0.0003,0.0,761.8081
30000,0.0,484.0,0.0,0.0378,476.1905,0.0952,0.0003,0.0,759.0171
40000,0.0,484.0,0.0,0.0153,476.1905,0.0476,0.0003,0.0,743.0294
50000,0.0,484.0,0.0,0.0114,476.1905,0.0476,0.0004,0.0001,753.2349
60000,0.0,484.0,0.0,0.0219,476.1905,0.0476,0.0004,0.0001,746.427
70000,0.0,484.0,0.0,0.0794,454.5455,0.2273,0.0005,0.0001,742.0318
80000,0.0,484.0,0.0,0.0,476.1905,0.0,0.0004,0.0001,738.5206
90000,0.0,484.0,0.0,0.0,476.1905,0.0,0.0004,0.0001,738.7239
100000,0.0,484.0,0.0,0.0434,476.1905,0.0952,0.0004,0.0001,741.0979
110000,0.0,484.0,0.0,0.0103,476.1905,0.0476,0.0004,0.0001,737.1242
120000,0.0,484.0,0.0,0.0686,454.5455,0.1364,0.0004,0.0001,732.9692
130000,0.0,484.0,0.0,0.0169,476.1905,0.0476,0.0004,0.0001,734.7618
140000,0.0,484.0,0.0,0.0964,454.5455,0.2273,0.0004,0.0001,731.1259
150000,0.0,484.0,0.0,0.0075,476.1905,0.0476,0.0004,0.0001,728.6817
160000,0.0,484.0,0.0,0.112,434.7826,0.2174,0.0004,0.0001,724.1798
170000,0.0,484.0,0.0,0.081,454.5455,0.2727,0.0004,0.0001,717.0661
180000,0.0,484.0,0.0,0.0628,454.5455,0.1364,0.0004,0.0002,718.6736
190000,0.0,484.0,0.0,0.0409,476.1905,0.1429,0.0004,0.0002,719.7554
200000,0.0,484.0,0.0,0.0932,454.5455,0.2273,0.0004,0.0002,716.6483
210000,0.0,484.0,0.0,0.0282,476.1905,0.0952,0.0005,0.0002,712.6918
220000,0.0,484.0,0.0,0.1082,434.7826,0.2174,0.0005,0.0002,715.5372
230000,0.0,484.0,0.0,0.0575,454.5455,0.1364,0.0005,0.0002,713.6331
240000,0.0,484.0,0.0,0.1671,416.6667,0.3333,0.0005,0.0002,716.8591
250000,0.0,484.0,0.0,0.1157,434.7826,0.2609,0.0005,0.0003,713.0892
260000,0.0,484.0,0.0,0.0757,454.5455,0.1818,0.0005,0.0003,715.6266
270000,0.0,484.0,0.0,0.1119,434.7826,0.2174,0.0005,0.0003,714.4313
280000,0.0,484.0,0.0,0.1115,434.7826,0.2609,0.0005,0.0003,707.1341
290000,0.0,484.0,0.0,0.0977,434.7826,0.2174,0.0006,0.0003,707.6742
300000,0.0,484.0,0.0,0.0709,454.5455,0.1364,0.0006,0.0004,708.4493
310000,0.0,484.0,0.0,0.1095,434.7826,0.2174,0.0006,0.0004,701.1837
320000,0.0,484.0,0.0,0.1913,400.0,0.32,0.0006,0.0004,700.6236
330000,0.0,484.0,0.0,0.0775,454.5455,0.2273,0.0006,0.0004,703.5063
340000,0.0,484.0,0.0,0.1748,416.6667,0.3333,0.0006,0.0005,704.336
350000,0.0,484.0,0.0,0.1374,416.6667,0.25,0.0006,0.0005,700.2626
360000,0.0,484.0,0.0,0.1557,416.6667,0.3333,0.0006,0.0005,696.5144
370000,0.0,484.0,0.0,0.0591,476.1905,0.1429,0.0007,0.0005,698.8604
380000,0.0,484.0,0.0,0.0917,434.7826,0.2174,0.0007,0.0005,694.2665
390000,0.0,484.0,0.0,0.0732,454.5455,0.1818,0.0007,0.0005,695.1003
400000,0.0,484.0,0.0,0.1304,434.7826,0.2174,0.0007,0.0005,695.8637
410000,0.0,484.0,0.0,0.0485,454.5455,0.1364,0.0007,0.0005,693.4624
420000,0.0,484.0,0.0,0.1355,434.7826,0.3043,0.0007,0.0005,690.5307
430000,0.0959,437.8,0.1,0.1917,384.6154,0.3077,0.0007,0.0005,692.0668
440000,0.0907,440.6,0.1,0.1074,434.7826,0.1739,0.0007,0.0005,689.3798
450000,0.0,484.0,0.0,0.1027,454.5455,0.2727,0.0007,0.0005,687.7806
460000,0.0836,444.4,0.1,0.2072,400.0,0.36,0.0007,0.0005,687.8496
470000,0.0844,444.0,0.1,0.2444,357.1429,0.3214,0.0007,0.0005,689.0104
480000,0.0,484.0,0.0,0.1984,400.0,0.44,0.0007,0.0005,689.4059
490000,0.2838,347.5,0.3,0.2012,400.0,0.4,0.0007,0.0006,688.4184
500000,0.0,484.0,0.0,0.1377,416.6667,0.2083,0.0007,0.0005,684.6369
510000,0.0,484.0,0.0,0.1324,434.7826,0.2609,0.0007,0.0006,680.4013
520000,0.0911,440.4,0.1,0.2379,370.3704,0.4074,0.0007,0.0006,680.2486
530000,0.0,484.0,0.0,0.2467,384.6154,0.3846,0.0007,0.0006,673.8143
540000,0.1111,435.0,0.2,0.0705,454.5455,0.1818,0.0007,0.0006,685.05
550000,0.0,484.0,0.0,0.2403,370.3704,0.3333,0.0007,0.0006,684.4127
560000,0.0,484.0,0.0,0.0505,454.5455,0.1364,0.0007,0.0006,679.4232
570000,0.0,484.0,0.0,0.1072,434.7826,0.1304,0.0007,0.0006,678.3151
580000,0.1814,397.2,0.2,0.1507,434.7826,0.3043,0.0007,0.0006,678.9632
590000,0.0,484.0,0.0,0.153,416.6667,0.2917,0.0007,0.0006,681.0566
600000,0.0,484.0,0.0,0.1588,400.0,0.28,0.0008,0.0006,679.7225
610000,0.0916,440.1,0.1,0.2106,400.0,0.32,0.0007,0.0006,678.0892
620000,0.0,484.0,0.0,0.2053,384.6154,0.3462,0.0008,0.0007,675.7862
630000,0.1684,404.2,0.2,0.1568,416.6667,0.3333,0.0008,0.0006,675.8506
640000,0.0877,442.2,0.1,0.0651,454.5455,0.1818,0.0008,0.0006,675.6111
650000,0.0,484.0,0.0,0.1312,434.7826,0.2174,0.0008,0.0006,675.1861
660000,0.0,484.0,0.0,0.1567,416.6667,0.375,0.0008,0.0006,672.6588
670000,0.0,484.0,0.0,0.2028,384.6154,0.3077,0.0008,0.0006,672.5438
680000,0.1881,393.6,0.2,0.2149,400.0,0.44,0.0008,0.0006,678.4201
690000,0.1883,393.5,0.2,0.1478,416.6667,0.2917,0.0008,0.0006,674.0572
700000,0.095,438.3,0.1,0.2158,400.0,0.4,0.0008,0.0006,669.1806
710000,0.0,484.0,0.0,0.2687,357.1429,0.3571,0.0008,0.0006,671.4162
720000,0.0,484.0,0.0,0.1981,400.0,0.36,0.0008,0.0007,671.7149
730000,0.0926,439.6,0.1,0.2326,370.3704,0.3704,0.0008,0.0006,669.4965
740000,0.0942,438.7,0.1,0.2099,400.0,0.36,0.0008,0.0007,669.8883
750000,0.0944,438.6,0.1,0.1992,384.6154,0.3846,0.0008,0.0007,666.5328
760000,0.1067,437.4,0.2,0.2232,400.0,0.48,0.0008,0.0007,668.9918
770000,0.0939,438.9,0.1,0.1511,416.6667,0.2917,0.0008,0.0007,667.5616
780000,0.0883,441.9,0.1,0.2771,357.1429,0.5,0.0008,0.0007,665.4638
790000,0.0954,438.1,0.1,0.1884,400.0,0.32,0.0008,0.0007,666.9718
800000,0.0833,444.6,0.1,0.3744,312.5,0.5938,0.0008,0.0007,668.0374
810000,0.0836,444.4,0.1,0.2722,357.1429,0.4286,0.0008,0.0007,666.0598
820000,0.0,484.0,0.0,0.1498,434.7826,0.4348,0.0008,0.0007,666.7082
830000,0.0,484.0,0.0,0.2615,370.3704,0.4074,0.0008,0.0008,664.1427
840000,0.2861,346.3,0.3,0.1912,400.0,0.28,0.0008,0.0008,663.2944
850000,0.0954,438.1,0.1,0.3208,333.3333,0.5333,0.0008,0.0008,665.4057
860000,0.0,484.0,0.0,0.2301,384.6154,0.3462,0.0008,0.0008,664.3669
870000,0.0875,442.3,0.1,0.2855,344.8276,0.4828,0.0008,0.0008,657.0748
880000,0.0944,438.6,0.1,0.2694,370.3704,0.4444,0.0008,0.0008,660.9771
890000,0.0961,437.7,0.1,0.2094,384.6154,0.3462,0.0008,0.0008,658.7403
900000,0.1855,395.0,0.2,0.3526,322.5806,0.5484,0.0008,0.0008,662.3271
910000,0.1887,393.3,0.2,0.2588,370.3704,0.4074,0.0008,0.0008,662.4282
920000,0.2872,345.7,0.3,0.249,370.3704,0.3704,0.0008,0.0009,661.4841
930000,0.0249,476.0,0.1,0.3709,312.5,0.5625,0.0008,0.0009,657.656
940000,0.2827,348.1,0.3,0.4288,285.7143,0.6,0.0008,0.0009,658.1447
950000,0.0954,438.1,0.1,0.1947,400.0,0.36,0.0008,0.0009,657.0049
960000,0.1907,392.2,0.2,0.3745,312.5,0.5625,0.0008,0.0009,656.1268
970000,0.0957,437.9,0.1,0.4129,294.1176,0.5588,0.0008,0.0009,655.3284
980000,0.0924,439.7,0.1,0.3239,344.8276,0.4828,0.0008,0.0009,656.8647
990000,0.2951,346.8,0.4,0.4126,285.7143,0.5714,0.0008,0.001,658.0356
1000000,0.0942,438.7,0.1,0.4315,285.7143,0.5714,0.0009,0.001,655.269
1010000,0.379,301.7,0.4,0.3391,322.5806,0.5161,0.0008,0.001,653.5441
1020000,0.0954,438.1,0.1,0.3853,312.5,0.5,0.0009,0.001,654.4372
1030000,0.0,484.0,0.0,0.3473,312.5,0.5,0.0009,0.001,645.1782
1040000,0.0795,446.6,0.1,0.4543,285.7143,0.6286,0.0009,0.0011,649.8727
1050000,0.381,300.6,0.4,0.4104,285.7143,0.5714,0.0009,0.0012,648.8884
1060000,0.3779,302.3,0.4,0.4152,294.1176,0.6765,0.0009,0.0011,647.4605
1070000,0.3345,325.6,0.4,0.4279,294.1176,0.5882,0.0009,0.0012,650.1644
1080000,0.0954,438.1,0.1,0.459,270.2703,0.6757,0.0009,0.0013,650.1354
1090000,0.0,484.0,0.0,0.4502,277.7778,0.6667,0.0009,0.0012,650.0884
1100000,0.2457,368.0,0.3,0.5068,243.9024,0.6585,0.0009,0.0012,644.7766
1110000,0.0954,438.1,0.1,0.4443,277.7778,0.6111,0.0009,0.0012,650.6242
1120000,0.2866,346.0,0.3,0.4029,303.0303,0.5152,0.0009,0.0013,645.0093
1130000,0.0952,438.2,0.1,0.6052,200.0,0.78,0.0009,0.0013,645.9838
1140000,0.3764,303.1,0.4,0.4928,250.0,0.65,0.0009,0.0013,649.3122
1150000,0.3784,302.0,0.4,0.5014,256.4103,0.7692,0.0009,0.0014,646.4845
1160000,0.2849,346.9,0.3,0.5018,250.0,0.725,0.0009,0.0014,645.3589
1170000,0.3727,305.1,0.4,0.5796,222.2222,0.8444,0.0009,0.0014,647.3968
1180000,0.1913,391.9,0.2,0.5323,238.0952,0.7381,0.0009,0.0014,645.4574
1190000,0.4742,255.9,0.5,0.4535,270.2703,0.6216,0.0009,0.0015,644.9451
1200000,0.2755,352.0,0.3,0.5899,208.3333,0.75,0.0009,0.0015,643.02
1210000,0.0682,452.7,0.1,0.6168,200.0,0.82,0.0009,0.0015,644.2706
1220000,0.0952,438.2,0.1,0.5945,204.0816,0.7551,0.001,0.0016,643.5618
1230000,0.3775,302.5,0.4,0.5746,208.3333,0.7708,0.001,0.0016,640.7708
1240000,0.352,316.2,0.4,0.5825,217.3913,0.8261,0.001,0.0016,635.9696
1250000,0.279,350.1,0.3,0.5142,250.0,0.7,0.001,0.0016,638.7365
1260000,0.5176,237.9,0.6,0.6366,181.8182,0.8,0.001,0.0017,642.1284
1270000,0.5717,208.8,0.6,0.5465,238.0952,0.7619,0.001,0.0017,641.5525
1280000,0.2688,355.6,0.3,0.7216,138.8889,0.8889,0.001,0.0017,641.0068
1290000,0.4756,255.1,0.5,0.7241,144.9275,0.8841,0.001,0.0018,636.6032
1300000,0.4411,273.7,0.5,0.6951,158.7302,0.8571,0.001,0.0018,634.5348
1310000,0.6624,165.4,0.7,0.5599,217.3913,0.8043,0.001,0.0019,640.8266
1320000,0.6585,167.5,0.7,0.758,125.0,0.8875,0.001,0.002,640.6617
1330000,0.2596,360.5,0.3,0.7343,135.1351,0.8649,0.001,0.0019,640.4151
1340000,0.3794,301.5,0.4,0.7052,153.8462,0.9077,0.001,0.002,640.0083
1350000,0.1916,391.7,0.2,0.6866,158.7302,0.8413,0.001,0.0021,635.3119
1360000,0.5649,212.5,0.6,0.7511,129.8701,0.9221,0.001,0.0021,632.6529
1370000,0.4357,276.6,0.5,0.794,109.8901,0.956,0.0011,0.0022,631.5781
1380000,0.5762,206.4,0.6,0.8051,101.0101,0.9495,0.0011,0.0022,634.344
1390000,0.6663,163.3,0.7,0.7683,120.4819,0.9277,0.0011,0.0023,631.2659
1400000,0.6582,167.7,0.7,0.7451,131.5789,0.8816,0.0011,0.0023,628.8298
1410000,0.5251,233.9,0.6,0.7477,131.5789,0.9079,0.0011,0.0023,627.9849
1420000,0.3827,299.7,0.4,0.7361,133.3333,0.8667,0.0011,0.0024,627.7268
