env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,,
10000,0.0,324.0,0.0,0.0125,322.5806,0.0323,0.0066,-0.0002,0.0011,145.0965
20000,0.0,324.0,0.0,0.0263,322.5806,0.0645,0.0066,-0.0,0.0,776.4553
30000,0.0,324.0,0.0,0.0112,322.5806,0.0323,0.0067,-0.0,0.0001,774.2583
40000,0.0,324.0,0.0,0.0299,312.5,0.0625,0.0067,-0.0,0.0001,772.1556
50000,0.0,324.0,0.0,0.0306,312.5,0.0625,0.0067,-0.0,0.0002,768.8023
60000,0.0,324.0,0.0,0.0397,312.5,0.125,0.0068,-0.0,0.0003,766.1039
70000,0.0,324.0,0.0,0.0551,312.5,0.125,0.0068,-0.0,0.0003,762.9529
80000,0.0,324.0,0.0,0.0531,312.5,0.0938,0.0069,-0.0,0.0003,757.7867
90000,0.095,293.4,0.1,0.1127,285.7143,0.2286,0.0069,-0.0,0.0004,756.1188
100000,0.0,324.0,0.0,0.0474,312.5,0.0938,0.0069,-0.0,0.0004,752.7392
110000,0.0,324.0,0.0,0.0972,294.1176,0.2353,0.0069,-0.0,0.0004,751.2994
120000,0.0,324.0,0.0,0.1637,277.7778,0.3889,0.0069,-0.0,0.0005,746.465
130000,0.0,324.0,0.0,0.1247,294.1176,0.2353,0.0069,-0.0,0.0005,744.8633
140000,0.0,324.0,0.0,0.1495,277.7778,0.3333,0.0069,-0.0,0.0006,740.9286
150000,0.0,324.0,0.0,0.1502,285.7143,0.3429,0.0069,-0.0,0.0006,745.8528
160000,0.0861,296.6,0.1,0.1173,285.7143,0.2286,0.0069,-0.0,0.0007,743.5754
170000,0.0914,294.7,0.1,0.1848,270.2703,0.3784,0.0069,-0.0,0.0007,739.2006
180000,0.0,324.0,0.0,0.2186,270.2703,0.4865,0.0069,-0.0,0.0007,743.3467
190000,0.0917,294.6,0.1,0.2806,243.9024,0.6098,0.0069,-0.0,0.0007,738.0876
200000,0.0,324.0,0.0,0.2577,243.9024,0.4634,0.0069,-0.0,0.0007,731.8877
210000,0.0,324.0,0.0,0.2034,263.1579,0.3684,0.0069,-0.0,0.0008,729.9918
220000,0.0908,294.9,0.1,0.1773,277.7778,0.3333,0.0069,0.0,0.0008,728.323
230000,0.16,273.6,0.2,0.1962,263.1579,0.3684,0.0069,-0.0,0.0009,724.8984
240000,0.1836,265.1,0.2,0.198,270.2703,0.4324,0.0069,-0.0,0.0009,723.815
250000,0.0,324.0,0.0,0.2331,256.4103,0.4615,0.0069,0.0,0.0009,720.972
260000,0.0,324.0,0.0,0.2747,243.9024,0.5366,0.0069,0.0,0.0009,723.2047
270000,0.0944,293.6,0.1,0.3059,232.5581,0.5814,0.0068,0.0,0.0009,722.0478
280000,0.1806,266.2,0.2,0.3278,232.5581,0.6512,0.0068,0.0,0.0009,725.5572
290000,0.1844,264.8,0.2,0.2792,243.9024,0.4878,0.0068,0.0,0.0009,721.8926
300000,0.0,324.0,0.0,0.3451,222.2222,0.6444,0.0068,0.0,0.0009,718.2903
310000,0.0728,301.4,0.1,0.3041,232.5581,0.5581,0.0068,-0.0,0.0009,701.0338
320000,0.0833,297.6,0.1,0.4031,200.0,0.66,0.0068,0.0,0.0009,710.7214
330000,0.1258,285.9,0.2,0.4292,200.0,0.76,0.0068,0.0,0.001,713.246
340000,0.1747,268.3,0.2,0.3698,208.3333,0.6042,0.0068,-0.0,0.0011,709.7056
350000,0.1853,264.5,0.2,0.4157,200.0,0.7,0.0068,0.0,0.0011,705.8051
360000,0.1867,264.0,0.2,0.3949,204.0816,0.6122,0.0068,-0.0,0.0012,697.9184
370000,0.4553,178.1,0.5,0.3934,212.766,0.6809,0.0068,0.0,0.0012,700.2661
380000,0.3639,207.4,0.4,0.3335,222.2222,0.5778,0.0068,-0.0,0.0013,699.0745
390000,0.0,324.0,0.0,0.4272,192.3077,0.7115,0.0068,-0.0,0.0013,698.8884
400000,0.0839,297.4,0.1,0.3256,232.5581,0.5349,0.0068,0.0,0.0014,699.9755
410000,0.0869,296.3,0.1,0.3857,208.3333,0.6667,0.0068,-0.0,0.0014,696.092
420000,0.185,264.6,0.2,0.416,196.0784,0.7059,0.0068,0.0,0.0014,695.0323
430000,0.5264,156.1,0.6,0.402,204.0816,0.6735,0.0068,-0.0,0.0014,697.2688
440000,0.0919,294.5,0.1,0.463,181.8182,0.7273,0.0068,0.0,0.0015,690.8948
450000,0.2753,235.7,0.3,0.4886,175.4386,0.7368,0.0068,0.0,0.0015,689.8871
460000,0.3614,208.3,0.4,0.5075,166.6667,0.7167,0.0068,0.0,0.0016,692.7924
470000,0.3586,209.3,0.4,0.5591,151.5152,0.7879,0.0068,0.0,0.0017,690.0902
480000,0.5594,147.8,0.7,0.5407,158.7302,0.8254,0.0068,0.0,0.0018,686.3331
490000,0.48,172.8,0.6,0.5509,153.8462,0.7846,0.0068,-0.0,0.0019,688.2316
500000,0.0933,294.0,0.1,0.5924,144.9275,0.8551,0.0068,0.0,0.0019,685.6918
510000,0.5197,158.5,0.6,0.5045,166.6667,0.75,0.0068,-0.0,0.0019,684.2416
520000,0.4128,193.4,0.5,0.5434,156.25,0.7656,0.0068,-0.0,0.0021,678.999
530000,0.2636,239.9,0.3,0.5087,166.6667,0.7333,0.0068,-0.0,0.0021,681.5124
540000,0.3369,220.7,0.5,0.6077,138.8889,0.8889,0.0068,-0.0,0.0021,680.8262
550000,0.4539,178.6,0.5,0.6235,128.2051,0.859,0.0068,0.0,0.0022,681.1662
560000,0.2817,233.4,0.3,0.5936,140.8451,0.8451,0.0068,-0.0,0.0022,682.0495
570000,0.2603,241.1,0.3,0.5816,142.8571,0.8,0.0068,0.0,0.0023,674.9643
580000,0.5517,147.0,0.6,0.6378,128.2051,0.859,0.0068,-0.0,0.0024,677.7935
590000,0.4436,182.3,0.5,0.5898,142.8571,0.8714,0.0068,0.0,0.0025,676.7757
600000,0.4419,182.9,0.5,0.5375,158.7302,0.7937,0.0068,0.0,0.0025,675.6135
610000,0.4378,184.4,0.5,0.6305,129.8701,0.8701,0.0068,-0.0,0.0026,674.4448
620000,0.5439,149.8,0.6,0.6174,131.5789,0.8684,0.0068,0.0,0.0026,674.1056
630000,0.5328,153.8,0.6,0.6739,113.6364,0.8636,0.0068,0.0,0.0026,675.1606
640000,0.6472,119.8,0.8,0.598,136.9863,0.7945,0.0068,-0.0,0.0026,674.6489
650000,0.7456,84.4,0.8,0.6455,120.4819,0.8554,0.0068,-0.0,0.0027,669.3199
660000,0.1867,264.0,0.2,0.6234,128.2051,0.8205,0.0068,-0.0,0.0027,669.666
670000,0.4575,177.3,0.5,0.6456,121.9512,0.8537,0.0068,0.0,0.0029,669.2566
680000,0.7047,99.1,0.8,0.6911,108.6957,0.9239,0.0068,-0.0,0.0029,669.8148
690000,0.5131,160.9,0.6,0.6919,109.8901,0.9011,0.0068,-0.0,0.003,667.6639
700000,0.4717,172.2,0.5,0.7141,96.1538,0.875,0.0068,0.0,0.003,667.2568
710000,0.5308,154.5,0.6,0.7143,99.0099,0.901,0.0068,0.0,0.003,663.1808
720000,0.3156,224.8,0.4,0.7119,100.0,0.9,0.0068,0.0,0.0031,660.3785
730000,0.46,176.4,0.5,0.7134,101.0101,0.899,0.0068,0.0,0.0032,664.994
740000,0.4614,179.5,0.6,0.7172,97.0874,0.9029,0.0068,-0.0,0.0032,662.1402
750000,0.7172,94.6,0.8,0.6904,106.383,0.8511,0.0068,-0.0,0.0032,658.0337
760000,0.7344,88.4,0.8,0.7191,97.0874,0.8835,0.0068,-0.0,0.0033,657.5456
770000,0.5344,153.2,0.6,0.7285,95.2381,0.9333,0.0068,0.0,0.0034,660.4684
780000,0.4503,183.5,0.6,0.7496,89.2857,0.9375,0.0068,-0.0,0.0034,655.7546
790000,0.4606,176.2,0.5,0.7207,97.0874,0.932,0.0068,0.0,0.0034,654.6835
800000,0.43,187.2,0.5,0.7468,88.4956,0.9027,0.0068,0.0,0.0035,653.9658
810000,0.7361,87.8,0.8,0.757,84.7458,0.9322,0.0068,0.0,0.0035,652.6953
820000,0.6356,120.4,0.7,0.7457,87.7193,0.9211,0.0068,-0.0,0.0035,653.3079
830000,0.6261,123.8,0.7,0.7393,91.7431,0.9358,0.0068,-0.0,0.0035,654.771
840000,0.3856,203.2,0.5,0.7588,84.0336,0.9328,0.0068,-0.0,0.0036,654.173
850000,0.7522,82.0,0.8,0.7725,80.6452,0.9435,0.0068,0.0,0.0037,653.6787
860000,0.4697,172.9,0.5,0.7108,99.0099,0.8911,0.0068,-0.0,0.0037,650.9522
870000,0.6433,121.2,0.8,0.8066,68.4932,0.9658,0.0068,0.0,0.0036,652.3548
880000,0.9078,33.2,1.0,0.7895,75.188,0.9624,0.0068,0.0,0.0037,649.7104
890000,0.5589,144.4,0.6,0.7452,88.4956,0.9027,0.0068,-0.0,0.0038,642.5697
900000,0.7197,93.7,0.8,0.7987,70.4225,0.9577,0.0068,-0.0,0.0038,644.9416
910000,0.5328,153.8,0.6,0.794,71.9424,0.9496,0.0068,0.0,0.0039,643.8524
920000,0.7375,87.3,0.8,0.7877,74.6269,0.9478,0.0068,0.0,0.0039,647.2201
930000,0.9217,28.2,1.0,0.8086,68.0272,0.9728,0.0068,0.0,0.0039,645.1482
940000,0.5469,148.7,0.6,0.7962,71.4286,0.9571,0.0068,-0.0,0.004,644.5582
950000,0.5467,148.8,0.6,0.7731,79.3651,0.9286,0.0068,0.0,0.0039,646.9583
960000,0.9075,33.3,1.0,0.8308,59.8802,0.9701,0.0068,0.0,0.004,645.1984
970000,0.6344,120.8,0.7,0.7999,70.4225,0.9507,0.0068,-0.0,0.0041,645.1051
980000,0.5808,140.1,0.7,0.8277,60.6061,0.9697,0.0068,0.0,0.004,638.6949
990000,0.7533,81.6,0.8,0.8315,59.8802,0.9641,0.0068,0.0,0.004,641.7605
1000000,0.7286,90.5,0.8,0.8222,62.8931,0.9748,0.0068,0.0,0.0041,642.2086
1010000,0.6517,114.6,0.7,0.8139,65.3595,0.9412,0.0068,-0.0,0.0041,636.5703
1020000,0.9097,32.5,1.0,0.8077,67.5676,0.9595,0.0068,0.0,0.0041,640.8269
1030000,0.5839,139.0,0.7,0.8356,57.8035,0.9769,0.0068,0.0,0.0041,638.8442
