env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,,
10000,0.0,324.0,0.0,0.0332,322.5806,0.0968,-0.0,0.0017,0.0011,129.2441
20000,0.0,324.0,0.0,0.0,322.5806,0.0,-0.0,0.0001,0.0001,585.8221
30000,0.0,324.0,0.0,0.0497,312.5,0.0938,-0.0003,0.0003,0.0001,588.8082
40000,0.0,324.0,0.0,0.0229,312.5,0.0938,-0.0004,0.0004,0.0002,584.1269
50000,0.0,324.0,0.0,0.0155,322.5806,0.0323,-0.0005,0.0003,0.0003,586.1136
60000,0.0,324.0,0.0,0.0381,312.5,0.125,-0.0007,0.0002,0.0002,583.3951
70000,0.0,324.0,0.0,0.0494,312.5,0.0938,-0.0015,0.0002,0.0002,582.2687
80000,0.0,324.0,0.0,0.0394,312.5,0.1562,-0.0017,0.0002,0.0002,581.7718
90000,0.0,324.0,0.0,0.0614,312.5,0.1562,-0.0015,0.0001,0.0002,579.3936
100000,0.0,324.0,0.0,0.061,303.0303,0.1818,-0.0018,0.0001,0.0002,575.3672
110000,0.0,324.0,0.0,0.0903,303.0303,0.2121,-0.0021,0.0001,0.0002,576.1144
120000,0.0,324.0,0.0,0.1038,294.1176,0.2353,-0.0021,0.0001,0.0002,574.5773
130000,0.0,324.0,0.0,0.0976,303.0303,0.2727,-0.0022,0.0001,0.0002,573.2617
140000,0.0,324.0,0.0,0.123,285.7143,0.2857,-0.0022,0.0001,0.0003,571.3819
150000,0.0,324.0,0.0,0.1735,270.2703,0.3243,-0.0021,0.0001,0.0003,568.2495
160000,0.0,324.0,0.0,0.0928,303.0303,0.1818,-0.0019,0.0001,0.0003,564.2426
170000,0.0,324.0,0.0,0.1782,270.2703,0.3514,-0.0019,0.0001,0.0003,566.7001
180000,0.0,324.0,0.0,0.1336,285.7143,0.2286,-0.002,0.0001,0.0004,565.3234
190000,0.0,324.0,0.0,0.2015,263.1579,0.3947,-0.0022,0.0002,0.0005,565.7866
200000,0.095,293.4,0.1,0.1616,277.7778,0.2778,-0.0024,0.0003,0.0005,563.6032
210000,0.0,324.0,0.0,0.3375,222.2222,0.5556,-0.0024,0.0003,0.0006,557.4727
220000,0.0,324.0,0.0,0.3428,217.3913,0.5435,-0.0023,0.0004,0.0007,561.0734
230000,0.0,324.0,0.0,0.13,285.7143,0.1714,-0.0025,0.0004,0.0007,559.5542
240000,0.0,324.0,0.0,0.2513,250.0,0.45,-0.0025,0.0004,0.0008,557.4288
250000,0.0,324.0,0.0,0.1627,277.7778,0.3056,-0.0026,0.0005,0.0008,556.9584
260000,0.0,324.0,0.0,0.3044,227.2727,0.4545,-0.0027,0.0005,0.0009,557.2183
270000,0.0961,293.0,0.1,0.2671,243.9024,0.3902,-0.0028,0.0007,0.001,556.2788
280000,0.0728,301.4,0.1,0.2604,250.0,0.425,-0.003,0.0007,0.0011,553.394
290000,0.0,324.0,0.0,0.2038,256.4103,0.359,-0.0027,0.0008,0.0011,551.6492
300000,0.38,201.6,0.4,0.2538,250.0,0.45,-0.0029,0.0009,0.001,551.0132
310000,0.1908,262.5,0.2,0.2622,250.0,0.45,-0.0028,0.001,0.001,550.8373
320000,0.2878,231.2,0.3,0.1691,270.2703,0.2973,-0.0021,0.0007,0.001,543.8368
330000,0.1514,276.7,0.2,0.3535,212.766,0.4468,-0.0023,0.0008,0.001,548.669
340000,0.0,324.0,0.0,0.253,250.0,0.425,-0.0027,0.0009,0.0011,549.621
350000,0.0956,293.2,0.1,0.2463,250.0,0.375,-0.0029,0.001,0.0011,550.0346
360000,0.0947,293.5,0.1,0.2717,243.9024,0.4634,-0.0032,0.0009,0.0012,548.494
370000,0.0964,292.9,0.1,0.2288,256.4103,0.359,-0.0035,0.0011,0.0012,547.6647
380000,0.0944,293.6,0.1,0.2825,238.0952,0.5,-0.0036,0.0012,0.0012,546.2596
390000,0.0556,307.6,0.1,0.1675,270.2703,0.3243,-0.0036,0.0012,0.0012,543.503
400000,0.0,324.0,0.0,0.2662,243.9024,0.4146,-0.0036,0.0011,0.0013,542.9031
410000,0.0,324.0,0.0,0.2855,238.0952,0.4286,-0.0035,0.0011,0.0012,542.1743
420000,0.0964,292.9,0.1,0.2406,256.4103,0.4103,-0.0038,0.0013,0.0012,542.8732
430000,0.1278,285.2,0.2,0.2506,243.9024,0.439,-0.0037,0.0011,0.0013,540.0091
440000,0.1914,262.3,0.2,0.3679,208.3333,0.4792,-0.0038,0.0012,0.0013,541.4939
450000,0.0,324.0,0.0,0.3308,227.2727,0.5,-0.0039,0.0013,0.0013,539.4144
460000,0.0,324.0,0.0,0.2141,263.1579,0.3947,-0.0039,0.0013,0.0013,540.0256
470000,0.0,324.0,0.0,0.297,227.2727,0.4545,-0.004,0.0013,0.0014,539.6163
480000,0.1872,263.8,0.2,0.3799,208.3333,0.5,-0.004,0.0012,0.0014,539.2866
490000,0.0964,292.9,0.1,0.1904,263.1579,0.3421,-0.0042,0.0012,0.0014,539.0566
500000,0.4728,171.8,0.5,0.4027,200.0,0.56,-0.0042,0.0012,0.0014,537.7654
510000,0.2819,233.3,0.3,0.3815,208.3333,0.5833,-0.0044,0.0013,0.0014,537.7135
520000,0.2783,234.6,0.3,0.3633,217.3913,0.587,-0.0045,0.0013,0.0015,537.2894
530000,0.3844,200.0,0.4,0.368,204.0816,0.4694,-0.0044,0.0013,0.0015,538.1847
540000,0.1928,261.8,0.2,0.3922,204.0816,0.5102,-0.0047,0.0014,0.0015,534.5352
550000,0.0,324.0,0.0,0.3693,208.3333,0.5,-0.0047,0.0013,0.0015,535.7709
