env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,
10000,0.0,324.0,0.0,0.0538,312.5,0.125,0.8403,0.0011,715.2428
20000,0.0,324.0,0.0,0.0221,322.5806,0.0645,0.446,0.0001,989.1595
30000,0.0,324.0,0.0,0.0,322.5806,0.0,0.3231,0.0001,985.3691
40000,0.0,324.0,0.0,0.0063,322.5806,0.0323,0.2745,0.0,987.29
50000,0.0,324.0,0.0,0.03,312.5,0.0938,0.2471,0.0,979.3743
60000,0.0,324.0,0.0,0.0125,322.5806,0.0645,0.2274,0.0,967.8195
70000,0.0,324.0,0.0,0.0297,322.5806,0.0968,0.213,0.0,971.9315
80000,0.0,324.0,0.0,0.0,322.5806,0.0,0.1984,0.0001,959.8903
90000,0.0,324.0,0.0,0.0273,312.5,0.0938,0.19,0.0001,961.5087
100000,0.0,324.0,0.0,0.0211,322.5806,0.0645,0.184,0.0001,957.2225
110000,0.0,324.0,0.0,0.0,322.5806,0.0,0.1803,0.0001,953.7898
120000,0.0,324.0,0.0,0.0689,303.0303,0.1515,0.1769,0.0001,956.1989
130000,0.0,324.0,0.0,0.1073,294.1176,0.1765,0.176,0.0002,954.1376
140000,0.0,324.0,0.0,0.0234,312.5,0.0312,0.1759,0.0002,950.4176
150000,0.0,324.0,0.0,0.1235,294.1176,0.2353,0.1753,0.0003,946.5791
160000,0.0,324.0,0.0,0.0559,303.0303,0.1212,0.1743,0.0003,937.18
170000,0.0,324.0,0.0,0.2169,263.1579,0.3684,0.1748,0.0004,940.3441
180000,0.0897,295.3,0.1,0.0518,303.0303,0.0909,0.174,0.0004,935.9606
190000,0.0,324.0,0.0,0.1006,303.0303,0.1818,0.1742,0.0005,935.8216
200000,0.0,324.0,0.0,0.0846,294.1176,0.1765,0.1747,0.0005,933.2124
210000,0.1358,285.9,0.3,0.1682,270.2703,0.2432,0.1739,0.0006,931.6116
220000,0.0,324.0,0.0,0.1058,294.1176,0.1765,0.1737,0.0006,929.2802
230000,0.0,324.0,0.0,0.1853,270.2703,0.2973,0.1742,0.0006,923.714
240000,0.0,324.0,0.0,0.0622,303.0303,0.0909,0.174,0.0007,916.7514
250000,0.0,324.0,0.0,0.0911,303.0303,0.1818,0.1742,0.0007,924.9537
260000,0.0806,298.6,0.1,0.2614,243.9024,0.3902,0.1737,0.0008,920.5842
270000,0.0947,293.5,0.1,0.2117,250.0,0.25,0.1735,0.0008,920.9409
280000,0.0964,292.9,0.1,0.2017,263.1579,0.2895,0.1738,0.0009,913.497
290000,0.0925,294.3,0.1,0.1715,270.2703,0.2703,0.1736,0.0009,913.8244
300000,0.1922,262.0,0.2,0.1804,277.7778,0.3056,0.1735,0.001,915.1792
310000,0.0964,292.9,0.1,0.2196,256.4103,0.3333,0.1734,0.001,912.7006
320000,0.0936,293.9,0.1,0.1916,263.1579,0.2895,0.1733,0.001,905.8521
330000,0.1925,261.9,0.2,0.2314,250.0,0.375,0.1728,0.0011,906.1855
340000,0.0,324.0,0.0,0.1785,270.2703,0.2432,0.1734,0.0011,905.5566
350000,0.0942,293.7,0.1,0.2847,238.0952,0.3333,0.173,0.0011,902.0787
360000,0.1925,261.9,0.2,0.1689,270.2703,0.2973,0.1723,0.0012,893.7458
370000,0.1911,262.4,0.2,0.2596,243.9024,0.3659,0.172,0.0012,899.4348
380000,0.0956,293.2,0.1,0.2091,263.1579,0.2895,0.1708,0.0012,892.2862
390000,0.0961,293.0,0.1,0.1677,270.2703,0.2973,0.1707,0.0012,899.2832
400000,0.0,324.0,0.0,0.199,263.1579,0.2895,0.1709,0.0012,894.5202
410000,0.0956,293.2,0.1,0.1387,285.7143,0.2571,0.17,0.0012,886.4566
420000,0.0964,292.9,0.1,0.1815,263.1579,0.2105,0.169,0.0013,886.7843
430000,0.0961,293.0,0.1,0.1939,263.1579,0.3421,0.1694,0.0013,884.9161
440000,0.1925,261.9,0.2,0.2014,263.1579,0.3158,0.1688,0.0013,885.6147
450000,0.1922,262.0,0.2,0.1947,270.2703,0.2432,0.1684,0.0013,886.2538
460000,0.0664,303.7,0.1,0.1726,263.1579,0.2368,0.1685,0.0013,882.5346
470000,0.0,324.0,0.0,0.3411,217.3913,0.4348,0.1678,0.0013,884.4599
480000,0.0922,294.4,0.1,0.1337,285.7143,0.2286,0.1682,0.0014,880.4246
490000,0.0964,292.9,0.1,0.2253,256.4103,0.359,0.168,0.0014,876.6305
500000,0.3853,199.7,0.4,0.2751,243.9024,0.4146,0.1676,0.0014,878.7808
510000,0.0961,293.0,0.1,0.3639,208.3333,0.4583,0.1674,0.0014,874.592
520000,0.0964,292.9,0.1,0.1874,263.1579,0.2895,0.1676,0.0014,874.4182
530000,0.2811,233.6,0.3,0.3314,222.2222,0.4667,0.1676,0.0014,876.552
540000,0.0,324.0,0.0,0.3086,227.2727,0.4318,0.1672,0.0015,878.6491
550000,0.0953,293.3,0.1,0.3925,204.0816,0.551,0.1669,0.0016,869.6649
560000,0.1858,264.3,0.2,0.3728,212.766,0.5532,0.1672,0.0015,867.598
570000,0.1908,262.5,0.2,0.4309,185.1852,0.5741,0.1675,0.0016,869.6462
580000,0.1922,262.0,0.2,0.2773,243.9024,0.4634,0.1674,0.0016,868.5617
590000,0.1842,264.9,0.2,0.3134,227.2727,0.4091,0.1677,0.0016,865.742
600000,0.0728,301.4,0.1,0.3065,227.2727,0.5,0.168,0.0016,863.666
610000,0.0,324.0,0.0,0.3476,217.3913,0.4783,0.1685,0.0016,863.5007
620000,0.0,324.0,0.0,0.4492,188.6792,0.6226,0.1692,0.0017,861.5046
630000,0.0,324.0,0.0,0.4344,185.1852,0.5926,0.1689,0.0017,863.3912
640000,0.1919,262.1,0.2,0.4622,185.1852,0.6667,0.1691,0.0017,865.5394
650000,0.5644,142.4,0.6,0.4142,196.0784,0.5882,0.1703,0.0018,858.1087
660000,0.4794,169.4,0.5,0.4509,181.8182,0.6545,0.1709,0.0018,858.781
670000,0.2856,232.0,0.3,0.5342,156.25,0.7188,0.1717,0.0018,859.2296
680000,0.7469,83.9,0.8,0.5715,144.9275,0.7246,0.1724,0.0019,853.9347
690000,0.4792,169.5,0.5,0.4771,175.4386,0.6491,0.1724,0.002,860.0095
700000,0.0961,293.0,0.1,0.5699,149.2537,0.8209,0.1729,0.002,851.1368
710000,0.1922,262.0,0.2,0.5244,161.2903,0.6774,0.1737,0.0021,848.8557
720000,0.4483,180.6,0.5,0.5174,158.7302,0.6825,0.1749,0.0021,846.6707
730000,0.3839,200.2,0.4,0.5968,138.8889,0.7778,0.1756,0.0021,846.8328
740000,0.4764,170.5,0.5,0.5136,163.9344,0.7213,0.177,0.0022,850.6339
750000,0.0964,292.9,0.1,0.6432,123.4568,0.8395,0.1768,0.0023,849.418
760000,0.565,142.2,0.6,0.6797,111.1111,0.8444,0.1777,0.0023,846.0336
770000,0.1919,262.1,0.2,0.6523,116.2791,0.8023,0.1789,0.0024,839.4777
780000,0.48,169.2,0.5,0.5999,135.1351,0.7838,0.1795,0.0024,842.1064
790000,0.5728,139.4,0.6,0.6393,123.4568,0.8025,0.1802,0.0025,838.2815
800000,0.4789,169.6,0.5,0.6852,107.5269,0.828,0.1814,0.0025,834.9368
810000,0.1897,262.9,0.2,0.7215,95.2381,0.8476,0.1823,0.0027,837.7728
820000,0.3575,209.7,0.4,0.7146,97.0874,0.8738,0.1831,0.0027,836.5309
830000,0.3844,200.0,0.4,0.6035,133.3333,0.7467,0.1829,0.0027,829.4186
840000,0.4742,171.3,0.5,0.7018,102.0408,0.8571,0.1839,0.0028,829.8983
850000,0.3825,200.7,0.4,0.7436,88.4956,0.8938,0.1846,0.0028,822.462
860000,0.4789,169.6,0.5,0.6184,129.8701,0.7792,0.185,0.0029,829.231
870000,0.2872,231.4,0.3,0.6599,116.2791,0.7791,0.1864,0.0029,823.4959
880000,0.7333,88.8,0.8,0.755,83.3333,0.8917,0.1871,0.0029,825.0053
890000,0.5694,140.6,0.6,0.6746,111.1111,0.8444,0.1877,0.0029,820.1421
900000,0.5736,139.1,0.6,0.7366,90.0901,0.8739,0.1871,0.0029,819.2915
910000,0.76,79.2,0.8,0.7519,85.4701,0.8803,0.189,0.0031,815.967
920000,0.4764,170.5,0.5,0.7339,90.9091,0.8727,0.1896,0.0031,818.2573
