env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,,
10000,0.0,288.0,0.0,0.0561,277.7778,0.0833,0.0054,0.0002,0.0014,126.9401
20000,0.0,288.0,0.0,0.027,277.7778,0.0556,0.0053,-0.0,0.0003,785.4058
30000,0.0,288.0,0.0,0.1035,263.1579,0.1579,0.0053,-0.0,0.0005,784.5563
40000,0.0875,263.2,0.1,0.1156,256.4103,0.1795,0.0053,-0.0,0.0009,775.1215
50000,0.0928,261.5,0.1,0.0671,270.2703,0.1351,0.0053,-0.0,0.0013,772.6285
60000,0.0469,276.2,0.1,0.1163,256.4103,0.2564,0.0053,-0.0,0.0012,771.9978
70000,0.0941,261.1,0.1,0.1386,256.4103,0.2564,0.0053,-0.0,0.0011,771.26
80000,0.0938,261.2,0.1,0.1049,256.4103,0.2308,0.0053,0.0,0.0012,767.1391
90000,0.0903,262.3,0.1,0.2074,232.5581,0.3488,0.0053,0.0,0.0012,757.3091
100000,0.0672,269.7,0.1,0.1548,250.0,0.275,0.0053,-0.0,0.0011,754.3831
110000,0.1634,242.1,0.2,0.2716,217.3913,0.4565,0.0053,-0.0,0.0011,752.7874
120000,0.0262,282.8,0.1,0.3563,192.3077,0.5769,0.0053,0.0,0.0011,749.7069
130000,0.0897,262.5,0.1,0.33,200.0,0.64,0.0053,-0.0,0.0013,746.1753
140000,0.4291,166.7,0.5,0.467,166.6667,0.7667,0.0053,0.0,0.0014,741.471
150000,0.5222,140.1,0.6,0.4168,178.5714,0.75,0.0053,-0.0,0.0015,736.2255
160000,0.2266,225.1,0.3,0.4604,161.2903,0.7419,0.0053,0.0,0.0016,736.3858
170000,0.1916,233.1,0.2,0.4521,169.4915,0.8305,0.0053,-0.0,0.0017,730.0049
180000,0.165,241.6,0.2,0.4692,163.9344,0.8197,0.0053,-0.0,0.0016,726.4883
190000,0.1584,243.7,0.2,0.5048,151.5152,0.7424,0.0053,0.0,0.0016,724.6903
200000,0.2713,210.8,0.3,0.5398,142.8571,0.8714,0.0053,0.0,0.0016,723.5109
210000,0.6591,99.5,0.7,0.5696,135.1351,0.8919,0.0053,-0.0,0.0017,719.0971
220000,0.4741,152.3,0.5,0.6195,119.0476,0.9405,0.0053,0.0,0.0018,720.8061
230000,0.2841,209.9,0.4,0.658,107.5269,0.957,0.0053,0.0,0.0019,717.5852
240000,0.7338,78.8,0.8,0.7155,90.9091,0.9818,0.0053,-0.0,0.002,709.7803
250000,0.4659,158.1,0.6,0.7128,91.7431,0.9908,0.0052,-0.0,0.0022,706.0771
260000,0.6597,99.3,0.7,0.7341,84.0336,0.9916,0.0052,0.0,0.0023,703.7926
270000,0.665,100.8,0.8,0.7547,78.125,0.9844,0.0052,-0.0,0.0024,697.6227
280000,0.5194,141.0,0.6,0.8029,63.2911,1.0,0.0052,0.0,0.0025,695.0421
290000,0.8431,47.0,0.9,0.7992,64.1026,1.0,0.0052,-0.0,0.0026,693.2762
300000,0.7581,71.0,0.8,0.8053,62.1118,1.0,0.0052,0.0,0.0027,692.6473
310000,0.8216,53.9,0.9,0.8282,55.5556,1.0,0.0052,-0.0,0.0027,689.2529
320000,0.6438,107.6,0.8,0.8216,56.4972,0.9944,0.0052,-0.0,0.0028,685.4718
330000,0.5653,126.3,0.6,0.8427,50.2513,1.0,0.0052,0.0,0.0028,684.5306
340000,0.9381,19.8,1.0,0.8505,48.0769,1.0,0.0052,0.0,0.0029,683.3778
350000,0.8544,43.4,0.9,0.8538,46.729,1.0,0.0052,-0.0,0.0029,683.2054
360000,0.7519,73.0,0.8,0.8515,47.3934,1.0,0.0052,-0.0,0.0029,664.7163
370000,0.8469,45.8,0.9,0.8654,43.1034,1.0,0.0052,0.0,0.0029,668.7185
380000,0.5681,125.4,0.6,0.8701,41.4938,1.0,0.0052,0.0,0.0029,674.7602
390000,0.8547,43.3,0.9,0.8817,37.8788,1.0,0.0052,0.0,0.0029,669.5471
400000,0.8356,49.4,0.9,0.8859,36.4964,1.0,0.0052,0.0,0.003,666.0363
410000,0.9116,28.3,1.0,0.8891,35.461,1.0,0.0052,0.0,0.0029,665.5977
420000,0.9566,13.9,1.0,0.888,35.8423,1.0,0.0052,0.0,0.003,665.3181
430000,0.8375,48.8,0.9,0.8964,33.2226,1.0,0.0052,-0.0,0.003,663.0719
440000,0.9256,23.8,1.0,0.9036,30.7692,1.0,0.0052,0.0,0.003,657.9265
450000,0.9537,14.8,1.0,0.9042,30.7692,1.0,0.0052,0.0,0.003,661.495
460000,0.8625,40.8,0.9,0.9044,30.4878,1.0,0.0052,-0.0,0.0031,658.6564
470000,0.9247,24.1,1.0,0.9098,28.9017,1.0,0.0052,0.0,0.0031,657.24
480000,0.8419,47.4,0.9,0.9136,27.6243,1.0,0.0052,-0.0,0.0031,659.3445
490000,0.8478,45.5,0.9,0.9188,26.178,1.0,0.0052,-0.0,0.0031,660.8694
500000,0.8509,44.5,0.9,0.914,27.248,1.0,0.0052,-0.0,0.0031,656.5219
510000,0.9587,13.2,1.0,0.9196,25.7069,1.0,0.0052,0.0,0.0032,654.5663
520000,0.9553,14.3,1.0,0.9238,24.4499,1.0,0.0052,-0.0,0.0032,655.3897
530000,0.7684,67.7,0.8,0.926,23.6407,1.0,0.0052,-0.0,0.0033,651.5471
540000,0.9563,14.0,1.0,0.9271,23.3645,1.0,0.0052,-0.0,0.0033,650.0149
