env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0064,0.0002,0.001,129.2024
20000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,786.0876
30000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0063,0.0,0.0,788.5567
40000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0063,0.0,0.0,776.136
50000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0063,0.0,0.0,774.2354
60000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,783.6932
70000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,783.4775
80000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0064,0.0,0.0,770.6874
90000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,780.9657
100000,0.0,288.0,0.0,0.0057,285.7143,0.0286,0.0064,0.0,0.0,766.0956
110000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,763.4178
120000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0064,0.0,0.0,764.5047
130000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0001,761.8308
140000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,759.5243
150000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0064,0.0,0.0,760.8955
160000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,762.1388
170000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,759.8989
180000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,759.3646
190000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0064,0.0,0.0,754.971
200000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,748.549
210000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,752.5738
220000,0.0,288.0,0.0,0.0099,285.7143,0.0286,0.0064,0.0,0.0,752.268
230000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0064,0.0,0.0,747.5585
240000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0001,747.702
250000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,742.5431
260000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,733.6481
270000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0064,0.0,0.0,746.6493
280000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,743.7986
290000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,743.7931
300000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,740.9657
310000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0064,0.0,0.0,736.9605
320000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,737.4179
330000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,738.8904
340000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0064,0.0,0.0,733.7866
350000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,738.0359
360000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0064,0.0,0.0,728.7767
370000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,729.6848
380000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0065,0.0,0.0,729.2397
390000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,0.0,0.0,726.1188
400000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,0.0,0.0,724.4991
410000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0065,0.0,0.0,724.6173
420000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,726.5794
430000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,0.0,0.0,724.5819
440000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,725.9675
450000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0065,-0.0,0.0,722.7902
460000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,721.203
470000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,725.5066
480000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,726.3666
490000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0065,0.0,0.0,718.5325
500000,0.0,288.0,0.0,0.0103,285.7143,0.0286,0.0065,-0.0,0.0,716.4652
510000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,0.0,0.0,719.9017
520000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,719.5839
530000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0065,0.0,0.0,715.8818
540000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,0.0,0.0,713.006
550000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,0.0,0.0,716.7642
560000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,710.6552
570000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0065,0.0,0.0,701.7911
580000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,708.4797
590000,0.0,288.0,0.0,0.0069,285.7143,0.0286,0.0065,-0.0,0.0,710.0391
600000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,712.47
610000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0065,0.0,0.0,712.5341
620000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,714.2718
630000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,0.0,0.0,708.3062
640000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,711.3711
650000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0065,-0.0,0.0,711.8832
660000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,0.0,0.0,708.0295
670000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,0.0,0.0,707.4143
680000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0065,-0.0,0.0,712.32
690000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,0.0,0.0,711.4656
700000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,707.5741
710000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,703.0342
720000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0065,0.0,0.0,704.5341
730000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,702.5718
740000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,704.7092
750000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0065,0.0,0.0,705.8816
760000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,-0.0,0.0,707.9111
770000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0065,0.0,0.0,701.3365
