env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0016,0.0014,128.4315
20000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,589.7734
30000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,590.7135
40000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0001,0.0,588.6071
50000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,590.3233
60000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,587.8763
70000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,584.9778
80000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0001,0.0,586.855
90000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,585.2255
100000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,583.8786
110000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0001,0.0,581.6813
120000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,579.81
130000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,579.4329
140000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0001,0.0,577.6474
150000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0001,0.0,577.6228
160000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,575.2839
170000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,575.1308
180000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,576.5629
190000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0,0.0,573.0491
200000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,574.4358
210000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,569.8534
220000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0,0.0,571.6179
230000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,570.0775
240000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,567.3345
250000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0,0.0,0.0,565.7984
260000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0,0.0,0.0,562.3762
270000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,564.2226
280000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,563.1914
290000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0001,0.0,0.0,561.5241
300000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,561.5392
310000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,561.602
320000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,561.7556
330000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0001,0.0,0.0,559.7911
340000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,559.0798
350000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,559.9377
360000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,557.1565
370000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0001,0.0,0.0,558.7729
380000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,558.314
390000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,558.7447
400000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0002,0.0,0.0,554.9815
410000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,555.3021
420000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,553.7613
430000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,553.8757
440000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0002,0.0,0.0,552.4909
450000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,550.2043
460000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,549.2463
470000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0001,0.0,0.0,551.9684
480000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0001,0.0,0.0,552.1546
490000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,546.2252
500000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0002,0.0,0.0,547.5148
510000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0003,0.0,0.0,549.7043
520000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,548.7416
530000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,548.0588
540000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,548.0312
550000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0002,0.0,0.0,546.0812
560000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,547.563
570000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,548.7748
580000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0003,0.0,0.0,546.1648
590000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,548.3606
600000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,544.8518
610000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0003,0.0,0.0,545.593
620000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0003,0.0,0.0,546.0657
630000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0004,0.0,0.0,548.1382
640000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0004,0.0,0.0,545.1557
650000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0005,0.0,0.0,543.2977
660000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0006,0.0,0.0,544.3914
670000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,543.1297
680000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,540.8424
690000,0.0,288.0,0.0,0.0,294.1176,0.0,-0.0005,0.0,0.0,540.089
700000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,540.2569
710000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0005,0.0,0.0,538.7486
720000,0.0,288.0,0.0,0.0,285.7143,0.0,-0.0004,0.0,0.0,540.7346
