env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
0,0.0,288.0,0.0,,,,,,
10000,0.0,288.0,0.0,0.0,294.1176,0.0,0.76,0.0009,658.1569
20000,0.0,288.0,0.0,0.0,285.7143,0.0,0.2746,0.0,993.5993
30000,0.0,288.0,0.0,0.0,285.7143,0.0,0.1469,0.0,986.8114
40000,0.0,288.0,0.0,0.0,294.1176,0.0,0.1177,0.0,986.2882
50000,0.0,288.0,0.0,0.01,285.7143,0.0286,0.106,0.0,973.0082
60000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0981,0.0,970.4759
70000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0918,0.0,974.4313
80000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0888,0.0,972.0081
90000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0863,0.0,968.2266
100000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0841,0.0,958.9508
110000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0832,0.0,964.1499
120000,0.0,288.0,0.0,0.0182,285.7143,0.0286,0.0813,0.0,959.1304
130000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0806,0.0,949.2664
140000,0.0,288.0,0.0,0.0,294.1176,0.0,0.0789,0.0,950.0551
150000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0776,0.0,944.869
160000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0763,0.0,941.464
170000,0.0,288.0,0.0,0.0098,285.7143,0.0286,0.076,0.0,944.0461
180000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0756,0.0,932.1477
190000,0.0,288.0,0.0,0.0143,285.7143,0.0286,0.0752,0.0,938.8181
200000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0745,0.0,934.5417
210000,0.0,288.0,0.0,0.0,294.1176,0.0,0.074,0.0,930.0382
220000,0.0,288.0,0.0,0.0,285.7143,0.0,0.0739,0.0,930.7703
230000,0.0,288.0,0.0,0.0325,277.7778,0.0556,0.0741,0.0,925.12
240000,0.0,288.0,0.0,0.0302,285.7143,0.0571,0.0758,0.0,918.7007
250000,0.0,288.0,0.0,0.0063,285.7143,0.0286,0.0763,0.0,928.5758
260000,0.0,288.0,0.0,0.0095,285.7143,0.0571,0.0774,0.0,927.788
270000,0.0,288.0,0.0,0.0089,285.7143,0.0286,0.0782,0.0,917.6295
280000,0.0,288.0,0.0,0.0231,285.7143,0.1143,0.0799,0.0,925.2865
290000,0.0,288.0,0.0,0.0334,277.7778,0.0833,0.0812,0.0,925.6937
300000,0.0,288.0,0.0,0.0132,285.7143,0.0571,0.0831,0.0,917.9804
310000,0.0,288.0,0.0,0.0291,277.7778,0.0556,0.0831,0.0,921.7278
320000,0.0,288.0,0.0,0.0312,285.7143,0.0857,0.0837,0.0,919.8695
330000,0.0,288.0,0.0,0.0658,270.2703,0.1351,0.084,0.0001,912.3132
340000,0.0,288.0,0.0,0.0122,285.7143,0.0286,0.0832,0.0001,911.3212
350000,0.0,288.0,0.0,0.0261,277.7778,0.0556,0.0832,0.0001,912.3404
360000,0.0,288.0,0.0,0.0382,277.7778,0.0833,0.0837,0.0001,907.931
370000,0.0,288.0,0.0,0.0602,277.7778,0.1111,0.0841,0.0001,911.0745
380000,0.0,288.0,0.0,0.0427,277.7778,0.1111,0.0849,0.0001,909.2701
390000,0.0,288.0,0.0,0.0556,270.2703,0.1351,0.0855,0.0001,905.7282
400000,0.0,288.0,0.0,0.0291,285.7143,0.0857,0.0858,0.0001,903.7044
410000,0.0,288.0,0.0,0.0588,270.2703,0.1622,0.0863,0.0001,899.4304
420000,0.0,288.0,0.0,0.0442,277.7778,0.1389,0.0863,0.0001,892.218
430000,0.0,288.0,0.0,0.0345,277.7778,0.0833,0.0862,0.0001,890.772
440000,0.0,288.0,0.0,0.0383,285.7143,0.0857,0.0868,0.0001,897.7113
450000,0.0,288.0,0.0,0.0568,270.2703,0.1351,0.0866,0.0001,885.5426
460000,0.0,288.0,0.0,0.0666,270.2703,0.1351,0.0873,0.0001,893.2764
470000,0.0,288.0,0.0,0.0965,263.1579,0.2105,0.0878,0.0002,896.1304
480000,0.0,288.0,0.0,0.0457,277.7778,0.1111,0.0882,0.0002,887.3234
490000,0.0,288.0,0.0,0.0505,277.7778,0.1389,0.0881,0.0002,892.8157
500000,0.0,288.0,0.0,0.0114,285.7143,0.0571,0.0879,0.0002,892.531
510000,0.0,288.0,0.0,0.1157,263.1579,0.2895,0.088,0.0002,880.6902
520000,0.0,288.0,0.0,0.121,256.4103,0.2564,0.088,0.0002,891.1691
530000,0.0,288.0,0.0,0.0816,263.1579,0.1316,0.0887,0.0002,886.774
540000,0.0,288.0,0.0,0.0315,285.7143,0.1143,0.0895,0.0003,871.8941
550000,0.0,288.0,0.0,0.0957,263.1579,0.2105,0.0895,0.0003,872.8271
560000,0.0,288.0,0.0,0.0886,263.1579,0.2105,0.09,0.0003,880.8166
570000,0.0928,261.5,0.1,0.0822,270.2703,0.1892,0.0907,0.0003,874.4399
580000,0.0,288.0,0.0,0.1354,256.4103,0.2821,0.0906,0.0004,883.3809
590000,0.0,288.0,0.0,0.2083,232.5581,0.3721,0.0917,0.0003,883.7659
600000,0.0,288.0,0.0,0.1153,256.4103,0.2821,0.0918,0.0004,878.1778
610000,0.0,288.0,0.0,0.3102,208.3333,0.5417,0.0922,0.0003,872.8179
620000,0.0,288.0,0.0,0.235,222.2222,0.4,0.0927,0.0004,874.6123
630000,0.0,288.0,0.0,0.2225,232.5581,0.3953,0.0933,0.0004,869.8343
640000,0.0,288.0,0.0,0.2697,212.766,0.4681,0.094,0.0005,871.5924
650000,0.0,288.0,0.0,0.2617,222.2222,0.4667,0.0943,0.0005,873.0137
660000,0.1831,235.8,0.2,0.4657,161.2903,0.6935,0.0944,0.0005,868.7284
670000,0.0,288.0,0.0,0.4135,175.4386,0.6667,0.0955,0.0006,868.0925
680000,0.0941,261.1,0.1,0.5022,153.8462,0.7538,0.0956,0.0007,864.8141
690000,0.0,288.0,0.0,0.4448,161.2903,0.5806,0.0964,0.0008,861.0531
700000,0.0959,260.5,0.1,0.4844,156.25,0.6562,0.0971,0.0009,860.6299
710000,0.0941,261.1,0.1,0.5127,147.0588,0.6912,0.0977,0.001,859.9216
720000,0.0,288.0,0.0,0.5839,121.9512,0.7439,0.0983,0.0011,849.5073
730000,0.6481,103.0,0.7,0.5879,126.5823,0.7342,0.0997,0.0013,847.3702
740000,0.5531,130.2,0.6,0.6456,105.2632,0.8105,0.0994,0.0013,853.8917
750000,0.1869,234.6,0.2,0.6425,107.5269,0.8065,0.101,0.0015,849.2196
760000,0.5584,128.5,0.6,0.7563,74.0741,0.8741,0.1012,0.0017,839.7544
770000,0.4722,152.9,0.5,0.738,80.6452,0.871,0.1017,0.0019,845.1011
780000,0.9397,19.3,1.0,0.679,95.2381,0.7905,0.1026,0.002,843.566
790000,0.8463,46.0,0.9,0.7094,89.2857,0.8214,0.1026,0.0021,835.9042
800000,0.7416,76.3,0.8,0.7616,70.4225,0.8732,0.103,0.0022,826.4975
810000,0.6509,102.1,0.7,0.7509,75.188,0.8496,0.1037,0.0024,829.9528
820000,0.2812,207.6,0.3,0.7681,70.922,0.8794,0.1042,0.0025,828.2803
830000,0.6553,100.7,0.7,0.8112,58.4795,0.9298,0.1047,0.0026,827.6795
840000,0.5647,126.5,0.6,0.7827,64.9351,0.8831,0.1049,0.0027,833.6744
850000,0.8416,47.5,0.9,0.8147,56.8182,0.9034,0.1056,0.0029,826.5971
