env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,995.6793,1000.0,,,,,,,,,,,,,
24,,,24,-28.9723,2.0696,,,,,,,,,,
90,,,66,-94.9581,41.9672,,,,,,,,,,
238,,,148,-228.3248,41.1401,,,,,,,,,,
259,,,21,-29.3436,44.1617,,,,,,,,,,
285,,,26,-25.2014,44.5351,,,,,,,,,,
298,,,13,-8.1813,44.9638,,,,,,,,,,
466,,,168,-114.1716,43.7936,,,,,,,,,,
500,,,,,,1.0244,0.871,0.2781,-1.6336,0.4384,0.5194,-0.2845,1.1481,1.8941,0.6706
517,,,51,-86.835,42.6833,,,,,,,,,,
538,,,21,-35.4697,44.7239,,,,,,,,,,
571,,,33,-37.7376,44.9925,,,,,,,,,,
583,,,12,-27.7968,44.0436,,,,,,,,,,
666,,,83,-61.5967,43.6189,,,,,,,,,,
702,,,36,-50.905,38.2338,,,,,,,,,,
814,,,112,-108.4243,38.2586,,,,,,,,,,
1000,,,,,,1.0124,0.9228,0.2731,-6.8949,1.2916,0.5778,-0.2814,3.1344,8.6813,0.7445
1500,,,,,,0.9987,0.9582,0.267,-13.082,2.9293,0.682,-0.2705,4.0893,28.9512,1.3739
1814,,,1000,-1130.9016,37.1729,,,,,,,,,,
1828,,,14,-7.8395,36.5968,,,,,,,,,,
2000,,,,,,0.9948,0.9948,0.285,-20.5881,4.6976,0.6394,-0.2803,6.653,47.5521,1.4129
2500,,,,,,0.9914,0.9651,0.2725,-29.8936,4.767,0.6289,-0.2698,8.6895,49.3774,1.9115
2828,,,1000,-1174.408,36.9029,,,,,,,,,,
2969,,,141,-79.9649,39.1305,,,,,,,,,,
3000,,,,,,0.9964,0.9372,0.3045,-39.9443,5.8683,0.6285,-0.3022,12.8928,124.7482,3.0691
3000,,,31,-71.2371,39.3844,,,,,,,,,,
3025,,,25,-29.7586,36.9531,,,,,,,,,,
3121,,,96,-127.7928,35.3394,,,,,,,,,,
3172,,,51,-91.5356,35.2924,,,,,,,,,,
3223,,,51,-48.597,38.0776,,,,,,,,,,
3285,,,62,-30.1549,36.6965,,,,,,,,,,
3312,,,27,-30.635,35.8951,,,,,,,,,,
3500,,,,,,1.0082,0.9342,0.2862,-53.7826,11.1789,0.5719,-0.2835,22.3165,218.574,4.5432
4000,,,,,,1.0142,0.9925,0.2757,-67.7778,7.9977,0.659,-0.2735,25.0065,294.4008,4.5014
4312,,,1000,-1269.4237,37.6799,,,,,,,,,,
4396,,,84,-66.2939,39.0632,,,,,,,,,,
4425,,,29,-26.788,38.056,,,,,,,,,,
4500,,,,,,1.025,1.022,0.3146,-86.1922,8.1332,0.7289,-0.3089,24.0991,341.373,3.5694
4620,,,195,-234.2792,37.5307,,,,,,,,,,
4692,,,72,-48.3739,36.4598,,,,,,,,,,
4726,,,34,-30.1184,37.356,,,,,,,,,,
4775,,,49,-26.1931,35.8745,,,,,,,,,,
4843,,,68,-84.4385,36.4532,,,,,,,,,,
4916,,,73,-110.5352,36.2305,,,,,,,,,,
4950,,,34,-39.2704,37.8738,,,,,,,,,,
5000,,,,,,1.0271,1.0452,0.3095,-104.664,8.7475,0.7303,-0.307,46.2338,492.8905,9.6907
5000,219.1931,1000.0,,,,,,,,,,,,,
5035,,,85,-9.2786,12.1251,,,,,,,,,,
5500,,,,,,1.0238,0.9722,0.3359,-122.1267,12.4559,0.6227,-0.3391,44.9525,891.7483,9.4121
6000,,,,,,1.0571,0.9896,0.3445,-135.6681,11.3766,0.7117,-0.3333,43.8653,605.2993,5.2065
6035,,,1000,-1180.4737,36.6438,,,,,,,,,,
6093,,,58,-88.7398,36.7457,,,,,,,,,,
6113,,,20,-13.6572,38.4097,,,,,,,,,,
6214,,,101,-135.4275,38.5777,,,,,,,,,,
6317,,,103,-83.4722,37.6521,,,,,,,,,,
6500,,,,,,1.0449,0.9926,0.3295,-157.5882,14.5748,0.6748,-0.3372,63.063,708.1429,8.286
7000,,,,,,1.0493,0.9908,0.3317,-163.5941,15.5563,0.6691,-0.3391,70.0762,895.2314,5.4089
7317,,,1000,-1187.9312,38.8416,,,,,,,,,,
7363,,,46,-68.2741,36.1066,,,,,,,,,,
7473,,,110,-85.4912,35.385,,,,,,,,,,
7500,,,,,,1.0631,0.9779,0.3363,-180.1656,15.5553,0.6495,-0.3281,78.7367,1266.0498,9.0972
8000,,,,,,1.0593,1.0378,0.363,-199.4727,18.5999,0.7158,-0.3557,84.9602,1299.1191,6.2201
8473,,,1000,-1262.5473,37.8393,,,,,,,,,,
8493,,,20,-14.5002,35.4639,,,,,,,,,,
8500,,,,,,1.0603,1.0458,0.3512,-227.1394,23.9931,0.7007,-0.3527,122.3794,1666.5304,11.1641
8531,,,38,-28.2328,36.6941,,,,,,,,,,
8566,,,35,-39.9396,37.6229,,,,,,,,,,
8593,,,27,-37.5976,39.5783,,,,,,,,,,
8640,,,47,-58.1299,35.9574,,,,,,,,,,
8701,,,61,-65.946,35.0784,,,,,,,,,,
8806,,,105,-181.55,38.0224,,,,,,,,,,
8847,,,41,-22.0802,37.7391,,,,,,,,,,
8882,,,35,-44.6244,37.3747,,,,,,,,,,
9000,,,,,,1.0567,0.9833,0.3521,-234.7922,25.5021,0.6369,-0.3508,252.9588,2794.7549,16.55
9500,,,,,,1.0627,1.0327,0.3586,-276.6968,29.7284,0.7041,-0.364,279.3122,3550.6042,14.2561
9882,,,1000,-1396.4915,37.7562,,,,,,,,,,
9929,,,47,-67.49,35.2873,,,,,,,,,,
9944,,,15,-23.2006,36.8029,,,,,,,,,,
10000,,,,,,1.0721,0.9593,0.3493,-286.0824,28.1456,0.5754,-0.3381,634.9778,4808.2544,15.6172
10000,-443.698,731.4,,,,,,,,,,,,,
10500,,,,,,1.0519,0.9701,0.3508,-292.1319,29.3329,0.6042,-0.3628,369.2335,4348.1465,11.0614
10944,,,1000,-1418.9663,34.0469,,,,,,,,,,
10996,,,52,-28.1097,37.4579,,,,,,,,,,
11000,,,,,,1.0772,1.0594,0.3639,-306.7011,29.5543,0.7629,-0.3693,318.2952,3992.6658,12.4148
11026,,,30,-59.9649,35.4934,,,,,,,,,,
11048,,,22,-28.8398,37.358,,,,,,,,,,
11080,,,32,-47.285,35.8627,,,,,,,,,,
11101,,,21,-34.2877,34.9715,,,,,,,,,,
11120,,,19,-29.3842,36.0465,,,,,,,,,,
11265,,,145,-194.3799,36.4863,,,,,,,,,,
11287,,,22,-8.3642,35.9557,,,,,,,,,,
11303,,,16,-26.887,37.9867,,,,,,,,,,
11360,,,57,-26.4778,37.5116,,,,,,,,,,
11412,,,52,-12.5636,37.5892,,,,,,,,,,
11439,,,27,-27.4463,38.0755,,,,,,,,,,
11500,,,,,,1.0903,1.0841,0.36,-360.0698,37.0165,0.731,-0.3546,894.6067,5126.939,20.8416
11516,,,77,-55.5974,36.4019,,,,,,,,,,
11698,,,182,-203.6844,36.1478,,,,,,,,,,
11723,,,25,-33.9848,38.6616,,,,,,,,,,
11737,,,14,-8.5688,38.3557,,,,,,,,,,
11879,,,142,-219.7034,40.3095,,,,,,,,,,
12000,,,,,,1.1,0.9918,0.3535,-396.8271,40.8163,0.6474,-0.351,1535.8235,17260.8965,21.4404
12002,,,123,-116.7345,40.4007,,,,,,,,,,
12029,,,27,-34.8078,37.0042,,,,,,,,,,
12198,,,169,-141.7761,37.0746,,,,,,,,,,
12222,,,24,2.4932,37.3766,,,,,,,,,,
12255,,,33,-32.0971,39.2456,,,,,,,,,,
12500,,,,,,1.0924,1.0216,0.3551,-418.7041,39.1404,0.7334,-0.3516,1915.728,10219.4355,15.6977
