env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,850.9393,1000.0,,,,,,,,,,
121,,,121,-197.7146,17.0465,,,,,,,
260,,,139,-255.6576,72.87,,,,,,,
500,,,,,,206.2055,208.6528,571.5164,206.2055,0.6827,1.4498,0.0166
1000,,,,,,403.356,405.6487,572.92,403.356,1.0557,2.1975,0.3548
1260,,,1000,-1514.6247,72.5315,,,,,,,
1291,,,31,12.9039,72.6603,,,,,,,
1339,,,48,-54.1086,70.0123,,,,,,,
1349,,,10,-9.3198,71.8972,,,,,,,
1399,,,50,-55.132,70.8699,,,,,,,
1413,,,14,-23.4402,74.0459,,,,,,,
1450,,,37,-60.776,72.496,,,,,,,
1488,,,38,-31.2995,72.1569,,,,,,,
1500,,,,,,531.0029,532.9401,1088.7867,531.0029,1.2287,6.6202,0.6448
1504,,,16,-21.195,72.2841,,,,,,,
2000,,,,,,541.9594,543.2288,2102.4995,541.9594,1.5399,15.603,0.8157
2500,,,,,,529.2141,529.8069,1474.8064,529.2141,1.7637,80.0032,1.2395
2504,,,1000,-1144.5366,72.2515,,,,,,,
2596,,,92,-77.0181,69.3557,,,,,,,
2676,,,80,-109.3863,72.9195,,,,,,,
2701,,,25,-17.15,64.9356,,,,,,,
2743,,,42,-16.2261,72.1445,,,,,,,
2773,,,30,-32.8492,70.7725,,,,,,,
2823,,,50,-66.7552,72.1948,,,,,,,
2861,,,38,-48.9829,73.5657,,,,,,,
3000,,,,,,581.4792,580.8557,1621.1311,581.4792,1.8662,16.9551,0.7687
3500,,,,,,592.6675,590.7676,2513.5034,592.6675,1.8476,45.5833,1.2452
3861,,,1000,-1140.3002,72.0763,,,,,,,
3878,,,17,-27.8363,62.2878,,,,,,,
3941,,,63,-59.0982,69.7338,,,,,,,
4000,,,,,,601.5664,597.952,2169.4927,601.5664,2.0134,79.9694,1.6464
4007,,,66,-40.8699,71.2232,,,,,,,
4045,,,38,-20.0267,75.2547,,,,,,,
4061,,,16,-23.6112,69.3665,,,,,,,
4106,,,45,-69.2886,74.7581,,,,,,,
4223,,,117,-216.9762,69.6242,,,,,,,
4500,,,,,,639.6306,634.8659,2650.8955,639.6306,1.9011,29.4773,1.4334
5000,,,,,,690.4008,684.1716,3218.7202,690.4008,1.8936,35.2438,1.5798
5000,792.3016,1000.0,,,,,,,,,,
5223,,,1000,-1141.5409,51.5898,,,,,,,
5500,,,,,,678.4197,670.9215,3726.843,678.4197,2.2109,45.7051,1.7488
5537,,,314,-430.5478,72.6818,,,,,,,
5552,,,15,-11.8096,79.5443,,,,,,,
6000,,,,,,748.9592,740.2695,4550.4053,748.9592,1.962,156.1929,1.4889
6500,,,,,,735.4272,724.9161,3629.7056,735.4272,1.9809,100.7991,1.9275
6552,,,1000,-1119.7567,73.7665,,,,,,,
6640,,,88,-100.8342,69.524,,,,,,,
6653,,,13,-14.4279,76.6943,,,,,,,
6769,,,116,-118.6497,71.1206,,,,,,,
6804,,,35,-35.7943,72.9125,,,,,,,
6897,,,93,-114.5954,72.0194,,,,,,,
6939,,,42,-65.5197,68.4618,,,,,,,
7000,,,,,,767.5839,756.2092,3819.606,767.5839,2.8588,95.6635,2.0033
7066,,,127,-117.6341,79.7713,,,,,,,
7132,,,66,-44.446,81.2752,,,,,,,
7227,,,95,-126.5688,75.8407,,,,,,,
