env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
0,820.265,1000.0,,,,,,,,,,,,,,,
16,,,16,-21.2413,42.7915,,,,,,,,,,,,
53,,,37,-69.0658,70.6467,,,,,,,,,,,,
125,,,72,-130.9288,70.4415,,,,,,,,,,,,
279,,,154,-262.7843,70.7598,,,,,,,,,,,,
320,,,41,-56.2232,70.8222,,,,,,,,,,,,
389,,,69,-147.6783,70.6721,,,,,,,,,,,,
428,,,39,-62.2527,69.5844,,,,,,,,,,,,
477,,,49,-79.9109,70.2995,,,,,,,,,,,,
500,,,,,,50,50,26,27.9134,73.0153,32.0538,-41.2082,74.6964,33.2995,0.7276,1.2179,0.141
508,,,31,-51.1795,70.6915,,,,,,,,,,,,
537,,,29,-37.1161,70.8483,,,,,,,,,,,,
580,,,43,-25.4532,70.9248,,,,,,,,,,,,
611,,,31,-44.8835,70.1638,,,,,,,,,,,,
1000,,,,,,50,50,26,40.1161,83.4448,40.7339,-43.0404,85.6481,35.7302,1.1419,3.3208,0.2172
1500,,,,,,50,50,26,46.1957,83.1602,39.1145,-43.6358,85.6303,42.2289,1.2902,7.1747,0.4532
1611,,,1000,-1340.8481,71.4809,,,,,,,,,,,,
1645,,,34,-28.1717,70.9994,,,,,,,,,,,,
1653,,,8,-12.3102,71.5608,,,,,,,,,,,,
1678,,,25,-21.8273,71.0348,,,,,,,,,,,,
1694,,,16,-24.9563,70.7179,,,,,,,,,,,,
1731,,,37,-44.0241,68.7709,,,,,,,,,,,,
2000,,,,,,50,50,26,48.3324,83.7887,39.0498,-44.0752,86.1831,68.7395,1.2998,11.8545,0.5619
2500,,,,,,50,50,28,49.8904,84.5651,40.7792,-44.1452,86.986,63.5452,1.5601,19.8077,0.8213
2731,,,1000,-1276.5622,70.5978,,,,,,,,,,,,
2749,,,18,-18.2609,69.3484,,,,,,,,,,,,
2785,,,36,-2.7361,70.7737,,,,,,,,,,,,
2934,,,149,-197.2907,70.7484,,,,,,,,,,,,
3000,,,,,,50,50,28,48.1502,85.3408,41.5523,-44.1603,87.1889,71.6293,1.6987,21.1503,0.8169
3500,,,,,,50,50,28,51.2444,87.6554,42.7854,-44.1706,89.4748,74.1745,1.6326,20.4449,1.0164
3934,,,1000,-1285.2791,70.4875,,,,,,,,,,,,
4000,,,,,,50,50,28,51.2693,90.4674,46.667,-44.1763,92.3561,71.002,1.6024,25.2869,1.0692
4015,,,81,-58.7338,74.3498,,,,,,,,,,,,
4084,,,69,-58.953,73.7175,,,,,,,,,,,,
4109,,,25,-33.8412,70.9405,,,,,,,,,,,,
4154,,,45,-37.4942,70.4268,,,,,,,,,,,,
4181,,,27,-40.1076,70.7177,,,,,,,,,,,,
4195,,,14,-20.5055,70.626,,,,,,,,,,,,
4213,,,18,-36.0775,70.7747,,,,,,,,,,,,
4275,,,62,-58.122,70.1013,,,,,,,,,,,,
4337,,,62,-33.4561,70.0341,,,,,,,,,,,,
4351,,,14,-17.6523,69.2052,,,,,,,,,,,,
4367,,,16,-11.7105,69.3611,,,,,,,,,,,,
4435,,,68,-65.7599,70.3673,,,,,,,,,,,,
4500,,,,,,50,50,28,52.1831,91.9283,48.0561,-44.1788,93.4803,86.3178,1.8889,40.8715,1.4165
5000,,,,,,50,50,28,52.1391,92.7204,49.4172,-44.1807,94.2,79.6954,1.6903,32.8823,1.4258
5000,-71.0177,712.5,,,,,,,,,,,,,,,
5435,,,1000,-1132.739,56.1874,,,,,,,,,,,,
5473,,,38,-53.4631,70.892,,,,,,,,,,,,
5500,,,,,,50,50,28,54.581,95.0793,51.3138,-44.1814,95.7889,95.1704,1.7156,44.9568,1.432
5513,,,40,-31.0578,70.9126,,,,,,,,,,,,
5535,,,22,-9.9884,70.7323,,,,,,,,,,,,
5548,,,13,-13.4821,70.7866,,,,,,,,,,,,
5579,,,31,-56.0421,70.9654,,,,,,,,,,,,
6000,,,,,,50,50,28,56.064,94.2194,50.7754,-44.1819,94.9701,79.3771,1.7719,46.2631,1.4086
6500,,,,,,50,50,28,56.4173,94.5924,49.2617,-44.1821,95.9949,108.5983,1.7639,47.8191,1.643
6579,,,1000,-1085.4901,70.6657,,,,,,,,,,,,
7000,,,,,,50,50,28,57.2899,93.5799,49.2259,-44.1821,94.723,112.3496,1.6917,43.516,1.6397
7500,,,,,,50,50,28,59.4363,95.0365,49.4297,-44.1823,95.5933,105.8189,1.6859,94.2258,1.665
7579,,,1000,-1104.1651,71.1726,,,,,,,,,,,,
7607,,,28,-39.8157,70.8583,,,,,,,,,,,,
8000,,,,,,50,50,28,61.9197,91.9472,48.6343,-44.1823,93.3835,122.3451,1.6821,41.9269,1.7099
8500,,,,,,50,50,28,63.8251,93.2138,49.9032,-44.1823,93.7135,117.9901,1.5616,56.7413,1.8099
8607,,,1000,-1108.1832,71.025,,,,,,,,,,,,
8633,,,26,-33.8692,72.1064,,,,,,,,,,,,
8685,,,52,-97.6425,73.6619,,,,,,,,,,,,
8715,,,30,-48.1707,73.6729,,,,,,,,,,,,
8743,,,28,-37.9548,73.6739,,,,,,,,,,,,
8787,,,44,-39.3686,71.1976,,,,,,,,,,,,
8871,,,84,-107.0516,70.4331,,,,,,,,,,,,
9000,,,,,,50,50,28,60.0208,94.8741,49.7812,-44.1823,95.8483,125.9385,2.8577,118.7113,1.7602
9087,,,216,-212.3523,70.5203,,,,,,,,,,,,
9121,,,34,-27.0104,70.0893,,,,,,,,,,,,
9178,,,57,-81.2211,70.21,,,,,,,,,,,,
9213,,,35,-79.3527,70.363,,,,,,,,,,,,
9228,,,15,-7.8543,70.3307,,,,,,,,,,,,
9248,,,20,-30.0074,70.0309,,,,,,,,,,,,
9401,,,153,-166.7068,70.3351,,,,,,,,,,,,
9428,,,27,-12.7008,67.8775,,,,,,,,,,,,
9498,,,70,-33.1941,70.349,,,,,,,,,,,,
9500,,,,,,50,50,28,61.7144,94.6032,49.9212,-44.1823,94.3269,132.3411,3.1937,72.8954,1.9592
9537,,,39,-33.6177,70.6584,,,,,,,,,,,,
9562,,,25,-10.1786,70.5434,,,,,,,,,,,,
9583,,,21,-62.6034,70.2522,,,,,,,,,,,,
9672,,,89,-55.8844,70.4621,,,,,,,,,,,,
9704,,,32,-39.3038,70.8244,,,,,,,,,,,,
9718,,,14,-4.578,70.7515,,,,,,,,,,,,
9746,,,28,-41.5659,70.6955,,,,,,,,,,,,
9809,,,63,-65.2664,70.5314,,,,,,,,,,,,
9834,,,25,-6.6423,70.7745,,,,,,,,,,,,
9884,,,50,-39.3229,70.7436,,,,,,,,,,,,
9923,,,39,-24.8914,70.1883,,,,,,,,,,,,
10000,,,,,,50,50,28,63.5098,94.0912,51.7837,-44.1823,92.6637,118.6689,3.4143,99.4508,1.8831
10000,137.0514,559.5,,,,,,,,,,,,,,,
10006,,,83,-108.4113,19.8722,,,,,,,,,,,,
10110,,,104,-124.7479,71.0148,,,,,,,,,,,,
10124,,,14,-20.9064,73.6672,,,,,,,,,,,,
10195,,,71,-86.4972,73.1289,,,,,,,,,,,,
10222,,,27,-23.5107,70.3661,,,,,,,,,,,,
10260,,,38,-56.2468,70.5493,,,,,,,,,,,,
10306,,,46,-68.481,70.3915,,,,,,,,,,,,
10500,,,,,,50,50,28,61.4982,94.5519,52.4765,-44.1823,92.7139,153.4797,3.686,75.3812,2.1156
10531,,,225,-197.6754,70.2969,,,,,,,,,,,,
10571,,,40,-28.8643,70.1717,,,,,,,,,,,,
10609,,,38,-16.9492,73.0572,,,,,,,,,,,,
10724,,,115,-112.1442,71.7525,,,,,,,,,,,,
10748,,,24,-45.3211,70.4121,,,,,,,,,,,,
10784,,,36,-29.5873,70.5108,,,,,,,,,,,,
10824,,,40,-35.6605,70.5436,,,,,,,,,,,,
10840,,,16,-22.6067,70.7538,,,,,,,,,,,,
10885,,,45,-9.4011,70.3381,,,,,,,,,,,,
10899,,,14,-8.7802,70.1308,,,,,,,,,,,,
10937,,,38,-1.4633,70.2666,,,,,,,,,,,,
11000,,,,,,50,50,28,61.7593,94.5193,50.8663,-44.1823,94.4736,143.9753,3.7763,114.0464,2.1566
11500,,,,,,50,50,28,58.4247,97.4639,51.2111,-44.1823,96.1351,142.1545,3.4591,104.209,2.1421
11937,,,1000,-1061.6021,70.9006,,,,,,,,,,,,
12000,,,,,,50,50,28,61.5247,94.5563,50.7767,-44.1823,92.8129,130.2344,3.1086,96.2961,2.1042
12052,,,115,-103.9992,73.2868,,,,,,,,,,,,
12080,,,28,-24.577,69.9841,,,,,,,,,,,,
12150,,,70,-66.7837,69.9048,,,,,,,,,,,,
12162,,,12,-15.3887,69.9788,,,,,,,,,,,,
12205,,,43,-30.6995,70.6056,,,,,,,,,,,,
12235,,,30,-35.4253,70.3817,,,,,,,,,,,,
12314,,,79,-76.4507,70.1023,,,,,,,,,,,,
12370,,,56,-20.7726,70.5044,,,,,,,,,,,,
12430,,,60,-56.2876,70.392,,,,,,,,,,,,
12466,,,36,-34.8709,70.1163,,,,,,,,,,,,
12499,,,33,-33.9028,70.1664,,,,,,,,,,,,
12500,,,,,,50,50,28,64.5317,95.2338,51.072,-44.1823,95.3874,147.5693,3.1599,112.8482,2.1228
12528,,,29,-39.5885,70.5257,,,,,,,,,,,,
12583,,,55,-17.5305,70.3142,,,,,,,,,,,,
12759,,,176,-145.2493,70.2095,,,,,,,,,,,,
12826,,,67,-59.3697,70.4585,,,,,,,,,,,,
12849,,,23,-14.0171,70.1539,,,,,,,,,,,,
12866,,,17,-14.6558,70.1849,,,,,,,,,,,,
12896,,,30,-14.867,70.3611,,,,,,,,,,,,
13000,,,,,,50,50,28,60.5804,95.7406,50.9725,-44.1823,94.7852,150.7627,3.5198,88.1804,2.4293
13500,,,,,,50,50,28,64.2667,96.0647,51.3703,-44.1823,96.553,146.7562,3.154,162.8455,2.5186
13896,,,1000,-979.8201,70.3847,,,,,,,,,,,,
14000,,,,,,50,50,28,61.0329,94.7179,50.1405,-44.1823,97.0161,173.5929,3.3279,105.2696,2.691
14083,,,187,-219.607,70.1305,,,,,,,,,,,,
14096,,,13,-18.2241,70.391,,,,,,,,,,,,
14143,,,47,-34.0645,69.91,,,,,,,,,,,,
14169,,,26,-38.1426,69.978,,,,,,,,,,,,
14310,,,141,-141.3814,70.1242,,,,,,,,,,,,
14470,,,160,-178.8442,70.2204,,,,,,,,,,,,
14500,,,,,,50,50,28,62.8174,94.6084,50.9777,-44.1823,94.8834,154.9634,3.7114,136.2441,2.6225
14538,,,68,-78.4813,72.3795,,,,,,,,,,,,
14617,,,79,-86.7457,73.2866,,,,,,,,,,,,
15000,,,,,,50,50,28,65.0974,94.2128,48.9042,-44.1823,94.1273,212.3562,4.2843,143.5474,2.7159
15000,57.4139,916.7,,,,,,,,,,,,,,,
15500,,,,,,50,50,28,62.3147,94.9433,50.3602,-44.1823,94.9196,148.8044,4.6013,311.4067,2.6096
15617,,,1000,-942.5061,52.8249,,,,,,,,,,,,
15660,,,43,-50.0426,68.6894,,,,,,,,,,,,
15826,,,166,-83.1447,70.1945,,,,,,,,,,,,
16000,,,,,,50,50,28,64.8976,94.1236,49.5469,-44.1823,94.4948,153.0686,3.9735,117.3195,2.9511
16500,,,,,,50,50,28,59.8952,94.8588,50.672,-44.1823,96.3197,175.8074,4.7823,288.8104,2.9822
16826,,,1000,-1011.2942,70.0128,,,,,,,,,,,,
17000,,,,,,50,50,28,61.5522,94.7386,51.0423,-44.1823,93.8312,162.8341,3.6358,182.7829,3.3658
17500,,,,,,50,50,28,65.6765,94.3414,51.3092,-44.1823,96.784,160.8991,3.8762,267.1267,3.2512
17826,,,1000,-982.4888,70.8837,,,,,,,,,,,,
17926,,,100,-117.2715,69.947,,,,,,,,,,,,
17953,,,27,-83.2916,69.3816,,,,,,,,,,,,
18000,,,,,,50,50,29,59.928,95.3115,50.0442,-44.1823,95.3051,189.3466,4.503,174.9832,3.5663
18120,,,167,-76.7052,69.9244,,,,,,,,,,,,
18206,,,86,-85.4202,70.5643,,,,,,,,,,,,
18435,,,229,-230.9138,69.9792,,,,,,,,,,,,
18500,,,,,,50,50,29,64.1969,94.933,53.0039,-44.1823,95.8898,177.0053,4.9753,172.6082,3.1464
18575,,,140,-111.9768,70.1306,,,,,,,,,,,,
18684,,,109,-123.284,70.1264,,,,,,,,,,,,
19000,,,,,,50,50,29,66.6921,97.0331,52.7015,-44.1823,95.7238,167.7774,5.1155,172.9302,3.3207
19500,,,,,,50,50,29,67.2585,95.1926,50.4404,-44.1823,96.6823,171.5963,5.3047,154.1796,3.7011
19684,,,1000,-914.0879,70.7212,,,,,,,,,,,,
19723,,,39,-26.3242,72.7407,,,,,,,,,,,,
20000,,,,,,50,50,28,62.0941,94.848,50.5157,-44.1823,94.2463,174.2807,5.1916,280.2306,3.9135
20000,187.2934,1000.0,,,,,,,,,,,,,,,
20500,,,,,,50,50,28,62.5997,95.6165,50.4402,-44.1823,94.3683,172.7668,4.9032,251.6426,3.3864
20723,,,1000,-946.1265,50.5342,,,,,,,,,,,,
20991,,,268,-222.7433,70.4531,,,,,,,,,,,,
21000,,,,,,50,50,29,61.3461,94.5244,51.3429,-44.1823,99.1452,159.4547,5.1455,174.4874,3.6145
21253,,,262,-281.1921,70.4177,,,,,,,,,,,,
21500,,,,,,50,50,29,63.1569,94.9888,50.2854,-44.1823,92.5873,186.3464,6.6981,323.1207,3.6341
22000,,,,,,50,50,29,66.0362,92.9975,50.0917,-44.1823,95.706,164.1326,5.7828,396.9523,4.075
22253,,,1000,-938.4042,70.0115,,,,,,,,,,,,
22297,,,44,-39.7078,69.8865,,,,,,,,,,,,
22338,,,41,-23.8815,69.6473,,,,,,,,,,,,
22382,,,44,-27.8429,72.7985,,,,,,,,,,,,
22394,,,12,-5.7545,73.0162,,,,,,,,,,,,
22500,,,,,,50,50,29,59.7152,95.5124,50.5282,-44.1823,94.7254,175.4593,8.1757,314.1949,4.0558
23000,,,,,,50,50,29,58.444,95.824,49.8864,-44.1823,91.7866,221.6361,8.574,432.9881,4.5507
23394,,,1000,-1058.59,70.4299,,,,,,,,,,,,
23446,,,52,-92.3496,73.5424,,,,,,,,,,,,
23500,,,,,,50,50,29,62.9931,93.1624,49.03,-44.1823,89.8142,214.8822,9.5844,493.518,4.2758
23589,,,143,-172.4897,69.8608,,,,,,,,,,,,
23630,,,41,-44.7746,69.6169,,,,,,,,,,,,
23707,,,77,-46.2485,69.5348,,,,,,,,,,,,
24000,,,,,,50,50,29,65.4775,93.4713,49.1971,-44.1823,92.6246,204.141,7.7855,283.564,4.1909
24500,,,,,,50,50,29,60.7108,95.9021,52.814,-44.1823,89.768,188.1503,8.3184,362.3223,4.7745
24707,,,1000,-914.2601,70.4713,,,,,,,,,,,,
24725,,,18,-23.756,73.5339,,,,,,,,,,,,
25000,,,,,,50,50,29,63.811,94.4506,51.0299,-44.1823,97.2802,182.985,10.8208,415.4221,4.2103
25000,-23.3476,815.9,,,,,,,,,,,,,,,
25500,,,,,,50,50,29,61.0237,95.1328,50.381,-44.1823,93.1521,192.3488,10.2523,473.3445,5.4324
25725,,,1000,-975.2357,53.8121,,,,,,,,,,,,
25945,,,220,-161.2551,71.932,,,,,,,,,,,,
26000,,,,,,50,50,29,60.1006,95.6446,50.0646,-44.1823,95.0269,201.4166,11.3145,435.5475,4.7383
26013,,,68,-46.5858,73.3879,,,,,,,,,,,,
26500,,,,,,50,50,29,56.8743,95.7903,50.8418,-44.1823,86.8301,196.9452,12.7626,551.6643,5.2526
26629,,,616,-638.3015,70.1359,,,,,,,,,,,,
27000,,,,,,50,50,29,61.6111,95.8042,51.7162,-44.1823,93.8145,212.8324,17.7538,683.4761,6.6702
27056,,,427,-360.0231,69.3135,,,,,,,,,,,,
