env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,826.0407,1000.0,,,,,,,,,,,,
31,,,31,-25.2821,5.8757,,,,,,,,,
131,,,100,-153.0289,96.3325,,,,,,,,,
164,,,33,-53.3529,96.9245,,,,,,,,,
500,,,,,,0.8508,0.7281,0.0642,-0.4321,0.8674,0.0414,0.64,1.053,0.9388
1000,,,,,,0.9302,0.7274,0.081,-3.714,1.3444,0.0622,0.9942,1.3845,0.5995
1164,,,1000,-1064.6572,96.8588,,,,,,,,,
1191,,,27,-28.2138,97.0345,,,,,,,,,
1219,,,28,-30.1053,97.4093,,,,,,,,,
1261,,,42,-49.0736,97.0589,,,,,,,,,
1301,,,40,-30.8542,96.8976,,,,,,,,,
1322,,,21,-29.4988,97.2776,,,,,,,,,
1402,,,80,-50.1682,97.2152,,,,,,,,,
1500,,,,,,1.0493,0.7305,0.0982,-7.141,2.5099,0.1034,1.7071,3.3473,0.5135
1500,,,98,-119.2805,98.4488,,,,,,,,,
1790,,,290,-248.3442,97.7802,,,,,,,,,
1845,,,55,-73.3568,97.5498,,,,,,,,,
1942,,,97,-151.6589,97.1991,,,,,,,,,
1968,,,26,-42.8321,97.2356,,,,,,,,,
1989,,,21,-14.4643,97.313,,,,,,,,,
2000,,,,,,1.1798,0.7478,0.1169,-10.4317,1.774,0.1737,2.0538,5.4029,0.4279
2500,,,,,,1.2422,0.7415,0.1278,-13.4639,2.7676,0.2196,2.4742,12.2658,0.6969
2989,,,1000,-1102.8915,97.0825,,,,,,,,,
3000,,,,,,1.3379,0.7425,0.1377,-17.0437,2.9865,0.3117,3.0618,24.9821,0.9177
3093,,,104,-109.2144,96.9844,,,,,,,,,
3307,,,214,-303.5869,96.9052,,,,,,,,,
3422,,,115,-193.2582,98.0018,,,,,,,,,
3472,,,50,-29.5367,100.2885,,,,,,,,,
3489,,,17,-11.5638,100.859,,,,,,,,,
3500,,,,,,1.4081,0.7492,0.1472,-20.9642,3.881,0.3734,4.8973,16.5637,1.282
3517,,,28,-30.9249,99.9402,,,,,,,,,
3570,,,53,-19.6915,100.3298,,,,,,,,,
3603,,,33,-28.3157,100.2187,,,,,,,,,
3630,,,27,-35.8699,100.2237,,,,,,,,,
3658,,,28,-41.3039,99.2195,,,,,,,,,
3698,,,40,-29.2563,100.3107,,,,,,,,,
3817,,,119,-108.5348,100.2415,,,,,,,,,
3887,,,70,-49.3439,100.3013,,,,,,,,,
4000,,,,,,1.5157,0.744,0.1585,-25.4009,5.1046,0.5034,4.488,19.1669,1.6695
4032,,,145,-8.1751,100.2201,,,,,,,,,
4053,,,21,-24.3305,100.3875,,,,,,,,,
4086,,,33,-19.4659,98.0389,,,,,,,,,
4500,,,,,,1.5473,0.7524,0.1614,-28.5311,3.8714,0.5316,5.5582,29.0977,1.6027
5000,,,,,,1.5539,0.7385,0.1657,-31.1722,4.6877,0.5588,5.4853,33.7663,2.2539
5000,691.7214,1000.0,,,,,,,,,,,,
5086,,,1000,-1105.3972,67.9656,,,,,,,,,
5116,,,30,-39.9542,96.4146,,,,,,,,,
5167,,,51,-72.9733,96.5155,,,,,,,,,
5196,,,29,-42.5095,96.4112,,,,,,,,,
5246,,,50,-42.8173,96.4955,,,,,,,,,
5500,,,,,,1.625,0.7484,0.1722,-35.9331,3.7774,0.6297,6.0717,24.6928,2.0947
6000,,,,,,1.626,0.7523,0.1749,-39.8602,3.962,0.631,7.1732,53.5056,1.9726
6246,,,1000,-1259.2327,98.3623,,,,,,,,,
6275,,,29,-24.751,100.0532,,,,,,,,,
6378,,,103,-64.5518,100.0585,,,,,,,,,
6408,,,30,-30.3085,100.0967,,,,,,,,,
6419,,,11,-21.2011,99.7579,,,,,,,,,
6431,,,12,-18.2101,99.9717,,,,,,,,,
6449,,,18,-19.4763,99.8619,,,,,,,,,
6465,,,16,-22.5132,99.8529,,,,,,,,,
6490,,,25,-30.5815,96.3299,,,,,,,,,
6500,,,,,,1.6762,0.7516,0.1786,-42.9451,5.3552,0.7169,11.1669,81.2676,3.4106
6511,,,21,-25.744,96.6103,,,,,,,,,
6743,,,232,-220.0387,96.4553,,,,,,,,,
6799,,,56,-50.763,96.2905,,,,,,,,,
6828,,,29,-14.3328,96.1109,,,,,,,,,
6893,,,65,-43.8712,96.4163,,,,,,,,,
7000,,,,,,1.7236,0.7466,0.1841,-47.682,9.1894,0.7703,11.699,58.7093,5.378
7147,,,254,-314.6082,96.4528,,,,,,,,,
7173,,,26,-40.6178,96.7238,,,,,,,,,
7211,,,38,-35.3194,96.1684,,,,,,,,,
7243,,,32,-16.8201,96.399,,,,,,,,,
7269,,,26,-37.9079,96.394,,,,,,,,,
7335,,,66,-64.0009,96.4475,,,,,,,,,
7500,,,,,,1.7379,0.757,0.1876,-52.6583,12.3419,0.761,14.9588,137.3929,5.4198
8000,,,,,,1.7159,0.7543,0.1858,-56.871,7.4934,0.7445,11.9075,61.1977,2.7257
8335,,,1000,-1095.8584,97.8813,,,,,,,,,
