env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,995.6373,1000.0,,,,,,,,,,,,,
9,,,9,-5.4631,1.2096,,,,,,,,,,
58,,,49,-41.26,76.7403,,,,,,,,,,
158,,,100,-160.4141,77.472,,,,,,,,,,
201,,,43,-48.6805,77.7943,,,,,,,,,,
333,,,132,-239.255,77.6256,,,,,,,,,,
363,,,30,-48.8706,74.3734,,,,,,,,,,
382,,,19,-22.7361,74.0823,,,,,,,,,,
453,,,71,-107.0359,72.1917,,,,,,,,,,
471,,,18,-24.2881,77.5973,,,,,,,,,,
500,,,,,,0.1595,0.7326,0.0432,-3.3995,0.3184,0.0154,-0.0755,1.9058,3.3162,0.8504
511,,,40,-5.0023,76.9896,,,,,,,,,,
525,,,14,-29.199,77.2782,,,,,,,,,,
551,,,26,-44.3232,68.4642,,,,,,,,,,
593,,,42,-13.5324,75.3204,,,,,,,,,,
606,,,13,-10.667,77.2475,,,,,,,,,,
632,,,26,-33.2576,77.3068,,,,,,,,,,
1000,,,,,,0.2824,0.7372,0.0741,-8.0467,1.8055,0.0484,-0.1323,2.6451,5.2972,1.2753
1500,,,,,,0.3117,0.7439,0.0776,-12.3404,3.0052,0.0612,-0.1479,3.3067,22.5543,1.3015
1632,,,1000,-1081.3237,77.1864,,,,,,,,,,
1656,,,24,-14.5979,77.3621,,,,,,,,,,
1669,,,13,-7.4459,76.8609,,,,,,,,,,
1702,,,33,-43.5262,77.0486,,,,,,,,,,
1754,,,52,-46.309,76.0827,,,,,,,,,,
1770,,,16,-15.6468,76.172,,,,,,,,,,
1795,,,25,-5.9371,76.18,,,,,,,,,,
1847,,,52,-21.608,76.1102,,,,,,,,,,
1870,,,23,-28.5485,76.1589,,,,,,,,,,
1951,,,81,-103.0262,72.6495,,,,,,,,,,
2000,,,,,,0.3488,0.7501,0.0843,-18.5396,4.3289,0.0775,-0.1598,5.6678,38.7683,1.5901
2003,,,52,-57.3237,74.5083,,,,,,,,,,
