env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,826.0407,1000.0,,,,,,,,,,,,
500,,,0.5966,0.725,0.0309,-0.3863,1.5529,0.3294,0.784,1.203,0.7906,,,
1000,,,0.6031,0.7282,0.0318,-3.6483,1.5658,0.3405,1.4163,4.7799,0.283,,,
1000,,,,,,,,,,,,1000,-1049.5159,59.6874
1048,,,,,,,,,,,,48,6.4783,86.34
1058,,,,,,,,,,,,10,-13.2979,86.3061
1111,,,,,,,,,,,,53,-57.3371,86.3902
1128,,,,,,,,,,,,17,-14.4669,86.1998
1267,,,,,,,,,,,,139,-112.8745,86.5069
1296,,,,,,,,,,,,29,-49.5741,86.5737
1339,,,,,,,,,,,,43,-26.4994,86.0794
1484,,,,,,,,,,,,145,-85.8696,86.1225
1500,,,0.6296,0.7256,0.0366,-6.3973,2.4482,0.368,1.8659,1.8081,0.3586,,,
1519,,,,,,,,,,,,35,-43.4331,86.2484
2000,,,0.6487,0.7314,0.0414,-9.1322,2.2885,0.3864,2.0677,6.0343,0.2642,,,
2500,,,0.6805,0.7402,0.0472,-11.3957,2.9136,0.4244,2.6891,10.3799,0.3984,,,
2519,,,,,,,,,,,,1000,-1087.114,86.2252
2634,,,,,,,,,,,,115,-162.5215,85.9227
2701,,,,,,,,,,,,67,-46.9962,86.336
2813,,,,,,,,,,,,112,-142.097,86.5367
2873,,,,,,,,,,,,60,-44.5638,86.4554
2909,,,,,,,,,,,,36,-31.1508,86.4324
2926,,,,,,,,,,,,17,-10.5086,86.5268
2943,,,,,,,,,,,,17,-29.6709,86.372
3000,,,0.7646,0.7611,0.0596,-14.3929,3.9263,0.5369,4.3588,27.6121,0.4309,,,
3059,,,,,,,,,,,,116,-115.784,86.256
3114,,,,,,,,,,,,55,-29.2229,86.3623
3149,,,,,,,,,,,,35,-40.7074,86.3338
3191,,,,,,,,,,,,42,-59.0707,86.5337
3234,,,,,,,,,,,,43,-53.4604,85.6427
3286,,,,,,,,,,,,52,-35.2012,85.6714
3389,,,,,,,,,,,,103,-107.8664,87.5275
3435,,,,,,,,,,,,46,-52.7308,85.8112
3447,,,,,,,,,,,,12,-16.3123,85.4807
3498,,,,,,,,,,,,51,-54.8383,84.9978
3500,,,0.8335,0.7477,0.0692,-17.4842,4.9934,0.627,5.4807,11.0502,0.4696,,,
3521,,,,,,,,,,,,23,-11.5419,84.2529
3585,,,,,,,,,,,,64,-73.9999,84.8074
3604,,,,,,,,,,,,19,-4.0473,84.8922
4000,,,0.8804,0.7484,0.0767,-20.5593,5.4518,0.6955,7.8512,10.6514,0.5585,,,
4500,,,0.8948,0.7446,0.0797,-24.5426,5.1624,0.7144,10.1871,28.6858,0.6147,,,
4604,,,,,,,,,,,,1000,-1108.5493,84.5726
4637,,,,,,,,,,,,33,-65.7673,85.8837
4671,,,,,,,,,,,,34,-44.8221,85.5761
4737,,,,,,,,,,,,66,-63.7881,85.2311
4759,,,,,,,,,,,,22,-39.3104,84.2088
4806,,,,,,,,,,,,47,-73.5018,84.3584
5000,,,0.8984,0.7468,0.0813,-27.8622,5.4877,0.7223,10.9444,36.855,0.9691,,,
5000,663.6969,1000.0,,,,,,,,,,,,
5500,,,0.9119,0.7332,0.0813,-32.4102,5.7174,0.7424,10.7781,25.8436,1.1241,,,
5806,,,,,,,,,,,,1000,-1012.0979,58.5503
5930,,,,,,,,,,,,124,-93.8569,84.2472
6000,,,0.9215,0.741,0.0826,-36.4903,7.1718,0.7603,11.9971,42.364,1.7823,,,
6024,,,,,,,,,,,,94,-141.26,84.3205
6065,,,,,,,,,,,,41,-76.9681,84.4106
6075,,,,,,,,,,,,10,-11.4428,83.6273
6096,,,,,,,,,,,,21,-28.989,83.9309
6164,,,,,,,,,,,,68,-46.7507,83.9446
6196,,,,,,,,,,,,32,-15.2607,83.4119
6230,,,,,,,,,,,,34,-39.4126,83.991
6291,,,,,,,,,,,,61,-76.6589,84.726
6307,,,,,,,,,,,,16,-17.1205,85.651
6361,,,,,,,,,,,,54,-64.938,85.6253
6433,,,,,,,,,,,,72,-81.4587,85.5912
6483,,,,,,,,,,,,50,-55.2685,85.7495
6500,,,0.9177,0.7509,0.0827,-41.6486,10.9067,0.7519,18.8153,70.8888,2.9969,,,
6500,,,,,,,,,,,,17,-9.2204,85.2428
6572,,,,,,,,,,,,72,-104.8591,85.7203
6593,,,,,,,,,,,,21,-5.6358,84.3469
6606,,,,,,,,,,,,13,-2.0381,84.4196
6647,,,,,,,,,,,,41,-73.1954,84.2901
7000,,,0.9264,0.7476,0.0856,-46.4167,9.405,0.7575,28.4689,71.3399,2.9748,,,
7500,,,0.9212,0.7405,0.0846,-49.0763,16.8358,0.753,22.9503,72.6632,2.7571,,,
7647,,,,,,,,,,,,1000,-1018.69,83.5308
7765,,,,,,,,,,,,118,-77.0773,84.0149
7827,,,,,,,,,,,,62,-52.0473,83.1483
7846,,,,,,,,,,,,19,-22.885,82.3543
7937,,,,,,,,,,,,91,-84.4184,84.5624
7960,,,,,,,,,,,,23,-23.2554,84.4321
7996,,,,,,,,,,,,36,-10.5374,84.3608
8000,,,0.9125,0.7501,0.0837,-53.3707,11.9782,0.7376,25.5574,50.2469,3.7912,,,
8060,,,,,,,,,,,,64,-70.2467,85.2258
8500,,,0.8996,0.7398,0.082,-57.6578,9.7021,0.7191,29.495,80.068,3.4895,,,
9000,,,0.9141,0.7482,0.0838,-59.5111,9.6379,0.7429,36.8938,91.2129,3.4781,,,
9060,,,,,,,,,,,,1000,-965.2917,84.5102
9136,,,,,,,,,,,,76,-54.7,84.7164
9161,,,,,,,,,,,,25,-21.3221,83.7148
9208,,,,,,,,,,,,47,-30.9247,83.5559
9222,,,,,,,,,,,,14,-7.6663,81.5893
9238,,,,,,,,,,,,16,-5.7171,83.7297
9297,,,,,,,,,,,,59,-49.325,83.7357
9388,,,,,,,,,,,,91,-79.7223,83.7873
9500,,,0.9244,0.7431,0.0836,-65.0127,16.2744,0.7622,40.2998,96.6276,4.4232,,,
10000,,,0.9201,0.7504,0.0854,-69.5368,9.8906,0.749,27.775,94.2681,3.8429,,,
10000,327.6055,1000.0,,,,,,,,,,,,
10388,,,,,,,,,,,,1000,-1005.0454,59.4805
10500,,,0.9229,0.7515,0.0844,-73.8348,10.3416,0.7508,38.5973,127.8249,5.4056,,,
10520,,,,,,,,,,,,132,-73.3828,85.0709
10534,,,,,,,,,,,,14,-10.9131,85.0643
10553,,,,,,,,,,,,19,-23.1751,85.2824
10583,,,,,,,,,,,,30,-45.8251,85.0729
10704,,,,,,,,,,,,121,-125.1954,85.2148
10755,,,,,,,,,,,,51,-28.141,85.3046
10799,,,,,,,,,,,,44,-24.6786,85.6117
10834,,,,,,,,,,,,35,-30.1591,85.3656
10849,,,,,,,,,,,,15,3.2519,85.8555
