env_steps,return,length,train/length,train/return,FPS,op-kl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,828.7662,1000.0,,,,,,,,,,
18,,,18,-22.1709,3.1849,,,,,,,
500,,,,,,-90.1767,-87.5402,385.7545,-90.1767,0.42,0.8227,0.0003
1000,,,,,,-102.1433,-95.9625,351.8214,-102.1433,0.7207,7.3838,0.0442
1018,,,1000,-1749.3061,99.5592,,,,,,,
1169,,,151,-237.4478,101.7823,,,,,,,
1255,,,86,-129.4786,101.5412,,,,,,,
1500,,,,,,-104.0705,-97.34,352.1304,-104.0705,1.0782,6.8436,0.59
1500,,,245,-312.2961,101.5763,,,,,,,
1520,,,20,-38.9562,100.9912,,,,,,,
1535,,,15,-22.6402,100.6915,,,,,,,
1561,,,26,-47.1223,101.5634,,,,,,,
1634,,,73,-125.6041,101.6046,,,,,,,
1721,,,87,-113.5013,101.5233,,,,,,,
1756,,,35,-49.4144,101.7442,,,,,,,
1838,,,82,-108.825,101.1904,,,,,,,
1947,,,109,-113.6783,101.6638,,,,,,,
1963,,,16,-22.751,102.0825,,,,,,,
2000,,,,,,-105.3413,-101.562,324.6179,-105.3413,1.4091,13.4071,0.9424
2058,,,95,-132.4253,101.3939,,,,,,,
2134,,,76,-62.5214,101.4551,,,,,,,
2191,,,57,-2.6337,101.9996,,,,,,,
2291,,,100,-69.4244,99.0638,,,,,,,
2319,,,28,-25.2942,97.6449,,,,,,,
2415,,,96,-130.8041,101.3417,,,,,,,
2464,,,49,-98.6843,101.6363,,,,,,,
2480,,,16,-14.0472,101.4201,,,,,,,
2500,,,,,,-106.298,-104.1768,415.6929,-106.298,1.9602,30.6063,1.1252
2514,,,34,-37.3994,101.7529,,,,,,,
2618,,,104,-106.595,101.5452,,,,,,,
2652,,,34,-38.6875,101.6702,,,,,,,
2665,,,13,-12.7094,101.1649,,,,,,,
2705,,,40,-35.8279,101.888,,,,,,,
2718,,,13,-15.2966,100.9689,,,,,,,
2786,,,68,-62.4208,101.7069,,,,,,,
2809,,,23,-8.8526,101.4284,,,,,,,
2848,,,39,-8.8987,101.6991,,,,,,,
2884,,,36,-23.5608,101.2971,,,,,,,
2975,,,91,-112.2045,101.4569,,,,,,,
2983,,,8,-4.6878,101.9944,,,,,,,
3000,,,,,,-107.5736,-107.1136,300.6127,-107.5736,2.2432,40.277,0.8467
3500,,,,,,-107.9999,-109.4167,233.7294,-107.9999,2.1193,71.7121,1.5784
3983,,,1000,-1149.0667,99.23,,,,,,,
4000,,,,,,-108.6745,-112.5866,166.5854,-108.6745,2.1477,33.5747,1.5008
4009,,,26,-30.4263,101.0426,,,,,,,
4058,,,49,-8.0921,101.3398,,,,,,,
4099,,,41,-38.7584,101.2594,,,,,,,
4137,,,38,-28.8527,101.3871,,,,,,,
4500,,,,,,-108.4169,-114.8191,216.7225,-108.4169,2.2304,42.3614,1.272
5000,,,,,,-108.3943,-116.5239,265.1263,-108.3943,2.3266,34.4481,2.3963
5000,549.7747,1000.0,,,,,,,,,,
5137,,,1000,-1089.6251,70.9287,,,,,,,
5348,,,211,-122.4276,98.4818,,,,,,,
5394,,,46,-27.9929,101.2746,,,,,,,
5474,,,80,-64.9914,99.3374,,,,,,,
5488,,,14,-7.2485,97.7654,,,,,,,
5498,,,10,-11.2514,97.539,,,,,,,
5500,,,,,,-108.4855,-120.2195,238.0354,-108.4855,2.6593,47.8166,1.7591
6000,,,,,,-108.5764,-121.9071,187.2138,-108.5764,2.4733,77.1159,1.7521
6498,,,1000,-1061.7866,97.6158,,,,,,,
6500,,,,,,-108.7713,-125.7937,188.4034,-108.7713,2.9067,119.5928,2.3336
7000,,,,,,-109.0639,-126.4375,207.2245,-109.0639,3.0481,58.9959,2.8125
7498,,,1000,-1020.9782,97.5721,,,,,,,
7500,,,,,,-109.0137,-128.422,209.1195,-109.0137,3.1107,64.7886,2.3549
7509,,,11,-10.5588,97.4725,,,,,,,
7546,,,37,-11.7098,97.5808,,,,,,,
8000,,,,,,-109.5536,-131.4225,174.7428,-109.5536,3.8294,105.218,2.4144
8500,,,,,,-109.8359,-133.8748,124.9771,-109.8359,4.0547,88.5309,2.7401
8546,,,1000,-1061.0275,97.4203,,,,,,,
8574,,,28,-32.2259,100.6161,,,,,,,
8619,,,45,-22.3697,100.8694,,,,,,,
8773,,,154,-172.3226,100.9173,,,,,,,
8813,,,40,-77.6704,101.1678,,,,,,,
8981,,,168,-109.0466,97.5425,,,,,,,
9000,,,,,,-109.9052,-137.2846,118.7315,-109.9052,5.9454,182.2719,3.2969
9002,,,21,-30.9014,97.454,,,,,,,
9034,,,32,-21.2109,97.4169,,,,,,,
9089,,,55,-88.8007,99.3791,,,,,,,
9124,,,35,-45.1928,100.8284,,,,,,,
9300,,,176,-155.4881,100.8919,,,,,,,
9375,,,75,-51.3115,101.1197,,,,,,,
9476,,,101,-85.2036,101.0067,,,,,,,
9490,,,14,-8.5737,101.2149,,,,,,,
9500,,,,,,-109.7971,-137.6744,109.5052,-109.7971,8.7605,140.595,2.9026
9539,,,49,-38.1255,100.8895,,,,,,,
9593,,,54,-44.6897,100.903,,,,,,,
9618,,,25,-37.0299,100.7194,,,,,,,
9834,,,216,-204.686,100.7236,,,,,,,
10000,,,,,,-109.8832,-141.8131,127.8391,-109.8832,7.9203,132.9149,3.8549
10000,267.7564,1000.0,,,,,,,,,,
10500,,,,,,-110.2396,-145.06,122.4527,-110.2396,7.24,200.733,3.5842
10834,,,1000,-1122.4068,70.9575,,,,,,,
10984,,,150,-229.1658,97.4352,,,,,,,
11000,,,,,,-110.3565,-147.4386,113.167,-110.3565,9.5533,241.4503,4.4285
11015,,,31,-23.9584,97.7235,,,,,,,
11500,,,,,,-110.38,-151.4188,168.777,-110.38,8.9347,265.8109,3.8679
12000,,,,,,-110.8037,-153.074,141.2775,-110.8037,10.2495,298.8271,4.7733
12015,,,1000,-1108.8012,98.7497,,,,,,,
12072,,,57,-36.7823,100.796,,,,,,,
12280,,,208,-151.3622,100.7093,,,,,,,
12303,,,23,-20.13,100.3008,,,,,,,
12500,,,,,,-111.3008,-157.7841,119.3372,-111.3008,13.3511,249.6032,4.4589
13000,,,,,,-111.9333,-160.5842,92.9314,-111.9333,12.6181,308.9717,5.3885
13303,,,1000,-1090.6234,100.496,,,,,,,
13330,,,27,-9.5649,101.0169,,,,,,,
13361,,,31,-30.243,100.5867,,,,,,,
13460,,,99,-72.5387,100.2378,,,,,,,
13500,,,,,,-112.1788,-165.6974,130.8788,-112.1788,19.2332,449.7532,4.9113
14000,,,,,,-112.6075,-169.1503,135.1868,-112.6075,16.6431,462.4783,4.2618
14460,,,1000,-1042.2937,100.3234,,,,,,,
14500,,,,,,-113.5528,-169.7542,132.7805,-113.5528,16.3167,318.0272,5.985
15000,,,,,,-113.9945,-170.0918,134.9883,-113.9945,16.7359,348.892,4.8707
15000,-189.3713,1000.0,,,,,,,,,,
15460,,,1000,-1143.5287,72.6632,,,,,,,
15500,,,,,,-114.4464,-177.3614,116.3043,-114.4464,16.6582,387.9093,5.8607
15595,,,135,-148.2669,98.1766,,,,,,,
16000,,,,,,-115.0367,-178.8099,131.2435,-115.0367,20.6633,487.077,6.0925
16500,,,,,,-114.8783,-180.2383,142.933,-114.8783,17.7359,518.628,6.4858
16595,,,1000,-1229.1599,97.1421,,,,,,,
16636,,,41,-48.7235,97.0982,,,,,,,
16696,,,60,-56.2722,97.1647,,,,,,,
17000,,,,,,-115.2501,-179.8466,142.0608,-115.2501,28.3009,683.5183,6.0394
17073,,,377,-506.7597,97.0977,,,,,,,
17121,,,48,-54.5269,96.8918,,,,,,,
17152,,,31,-22.8552,97.1698,,,,,,,
17500,,,,,,-115.211,-182.5354,132.4919,-115.211,23.9203,738.9552,7.0488
18000,,,,,,-115.5206,-194.6463,158.5074,-115.5206,28.6557,751.5004,7.1099
18152,,,1000,-1380.738,97.4944,,,,,,,
18244,,,92,-93.341,96.8319,,,,,,,
