env_steps,return,length,train/length,train/return,FPS,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,1000.0429,1000.0,,,,,,,,,,
40,,,40,-71.1565,9.8499,,,,,,,
140,,,100,-140.4523,103.6663,,,,,,,
176,,,36,-31.8271,103.5462,,,,,,,
298,,,122,-133.4671,103.8963,,,,,,,
348,,,50,-32.9362,103.7519,,,,,,,
368,,,20,-23.2127,103.7512,,,,,,,
383,,,15,-14.6015,104.3842,,,,,,,
468,,,85,-40.4231,104.6623,,,,,,,
500,,,,,,43.8478,41.8656,56.6387,43.8478,1.2336,2.5799,0.6052
1000,,,,,,39.5283,31.1799,104.179,39.5283,4.8289,8.2891,0.8651
1468,,,1000,-1081.2432,105.9559,,,,,,,
1495,,,27,-33.3613,104.2924,,,,,,,
1500,,,,,,37.7857,22.2375,97.6329,37.7857,9.1016,50.0196,2.6542
1558,,,63,-79.7951,104.0042,,,,,,,
1590,,,32,-7.2384,104.5779,,,,,,,
1605,,,15,-15.545,104.722,,,,,,,
1766,,,161,-215.0306,104.3284,,,,,,,
1803,,,37,-81.6726,104.459,,,,,,,
1834,,,31,-19.9897,104.2968,,,,,,,
1862,,,28,-5.6478,104.1701,,,,,,,
1877,,,15,-28.234,104.6384,,,,,,,
1931,,,54,-57.6887,104.3321,,,,,,,
1940,,,9,-5.3939,104.0492,,,,,,,
1960,,,20,-16.4688,103.9578,,,,,,,
2000,,,,,,36.8969,12.0143,104.7433,36.8969,13.1879,78.2714,1.6337
2102,,,142,-144.6309,104.3648,,,,,,,
2254,,,152,-177.383,104.1681,,,,,,,
2298,,,44,-28.2436,107.5202,,,,,,,
2320,,,22,-10.0642,108.1446,,,,,,,
2361,,,41,-56.7646,108.3271,,,,,,,
2401,,,40,-30.6226,108.3398,,,,,,,
2468,,,67,-41.9971,108.2584,,,,,,,
2500,,,,,,36.6435,1.5218,142.9401,36.6435,15.0932,96.5189,2.2466
2512,,,44,-34.6319,107.9173,,,,,,,
2606,,,94,-94.6435,108.066,,,,,,,
2617,,,11,-12.1035,108.2688,,,,,,,
2665,,,48,-47.7994,108.0676,,,,,,,
2677,,,12,-6.0914,108.2057,,,,,,,
2707,,,30,-30.7058,107.8777,,,,,,,
3000,,,,,,35.8873,-9.3803,136.8549,35.8873,23.0992,151.4417,2.1133
3500,,,,,,34.4533,-21.2242,148.1305,34.4533,23.1388,267.2671,3.4818
3707,,,1000,-1105.5816,105.9193,,,,,,,
3759,,,52,-87.7068,107.7633,,,,,,,
4000,,,,,,34.9051,-31.1581,162.4167,34.9051,26.6591,308.9428,2.6234
4500,,,,,,35.3354,-39.1494,185.9013,35.3354,29.0351,307.0581,2.7173
4759,,,1000,-1248.2969,104.5135,,,,,,,
4809,,,50,-72.7757,107.9369,,,,,,,
4820,,,11,-12.8472,106.2487,,,,,,,
4843,,,23,-43.9942,107.9962,,,,,,,
4877,,,34,-50.1643,107.993,,,,,,,
5000,,,,,,34.6885,-45.0935,194.8695,34.6885,24.947,284.381,4.6481
5000,619.1756,1000.0,,,,,,,,,,
5500,,,,,,34.6992,-52.5319,201.1706,34.6992,23.9539,307.5057,4.1875
5877,,,1000,-1138.5442,78.9444,,,,,,,
5909,,,32,-15.0748,107.9453,,,,,,,
5927,,,18,-18.0809,107.7527,,,,,,,
5987,,,60,-75.2427,103.9881,,,,,,,
6000,,,,,,35.1486,-57.6263,162.1109,35.1486,27.0197,326.9047,5.4158
6026,,,39,-25.6521,104.6993,,,,,,,
6500,,,,,,34.8892,-63.6824,250.0248,34.8892,25.1666,320.0463,5.097
7000,,,,,,33.8323,-64.2365,219.4155,33.8323,26.0735,547.339,5.4553
7026,,,1000,-1149.0411,103.9409,,,,,,,
7103,,,77,-139.085,103.8258,,,,,,,
7112,,,9,-16.6455,104.0263,,,,,,,
7194,,,82,-62.7784,103.9118,,,,,,,
7224,,,30,-16.0949,103.8954,,,,,,,
7267,,,43,-72.8216,103.2508,,,,,,,
7324,,,57,-45.7239,103.6971,,,,,,,
7362,,,38,-47.743,103.9504,,,,,,,
7376,,,14,-31.3305,103.0552,,,,,,,
7406,,,30,-34.4147,103.7426,,,,,,,
7441,,,35,-47.3749,103.4852,,,,,,,
7473,,,32,-45.1932,104.2339,,,,,,,
7489,,,16,-21.5662,104.0267,,,,,,,
7500,,,,,,33.2083,-75.3394,215.0206,33.2083,54.079,623.0289,5.2618
7544,,,55,-59.1467,103.4663,,,,,,,
7562,,,18,-14.7538,104.0349,,,,,,,
7582,,,20,-10.6233,103.7909,,,,,,,
7643,,,61,-62.1509,103.7059,,,,,,,
7710,,,67,-67.6741,104.0082,,,,,,,
7820,,,110,-142.8396,103.8125,,,,,,,
7839,,,19,-20.8188,103.6938,,,,,,,
7863,,,24,-29.1815,103.7527,,,,,,,
8000,,,,,,32.6083,-83.8834,202.3254,32.6083,42.508,682.9851,5.2336
8500,,,,,,32.0437,-94.1882,198.184,32.0437,41.2642,811.0568,5.7416
8863,,,1000,-1250.7328,103.4546,,,,,,,
9000,,,,,,29.7989,-100.1167,179.1538,29.7989,50.7001,587.849,3.8007
9500,,,,,,30.3964,-100.5727,172.6583,30.3964,42.0308,726.871,5.0582
9863,,,1000,-1142.8987,103.4739,,,,,,,
