env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,847.0479,983.2,,,,,,,,,,,,,
94,,,94,-115.397,9.2238,,,,,,,,,,
305,,,211,-332.5598,32.9384,,,,,,,,,,
321,,,16,-10.397,32.9596,,,,,,,,,,
368,,,47,-58.996,32.9345,,,,,,,,,,
388,,,20,-26.9613,32.9505,,,,,,,,,,
455,,,67,-15.5033,32.7735,,,,,,,,,,
500,,,,,,1.4856,0.8743,0.2505,-0.5973,1.8027,0.5988,-0.2415,0.5605,0.9037,0.7276
564,,,109,-123.2422,32.684,,,,,,,,,,
764,,,200,-238.1859,32.6445,,,,,,,,,,
844,,,80,-50.4848,32.6485,,,,,,,,,,
862,,,18,-11.9589,32.9563,,,,,,,,,,
891,,,29,-55.6332,32.5883,,,,,,,,,,
940,,,49,-58.281,32.1531,,,,,,,,,,
964,,,24,-27.8458,32.9388,,,,,,,,,,
1000,,,,,,1.6361,0.9518,0.4349,-3.4127,2.1107,0.5956,-0.379,1.503,3.5442,0.4663
1063,,,99,-155.7176,32.7685,,,,,,,,,,
1104,,,41,-61.3902,32.7885,,,,,,,,,,
1500,,,,,,1.7251,0.9647,0.4874,-6.2339,3.0885,0.7014,-0.4248,1.9946,2.8311,0.3944
2000,,,,,,1.7474,0.9744,0.4439,-9.2015,3.4616,0.7058,-0.3936,2.2999,6.3651,0.5643
2104,,,1000,-1031.3906,32.8909,,,,,,,,,,
2500,,,,,,1.8477,0.9353,0.4755,-12.2024,3.8402,0.7801,-0.4436,2.6615,6.3448,0.6868
2834,,,730,-787.3194,32.8894,,,,,,,,,,
2990,,,156,-270.5686,33.0362,,,,,,,,,,
3000,,,,,,1.9753,0.9671,0.4762,-14.9773,5.0692,0.9492,-0.4556,3.7828,24.319,1.1797
3105,,,115,-114.4398,32.9517,,,,,,,,,,
3174,,,69,-36.5661,33.0661,,,,,,,,,,
3214,,,40,-25.2673,32.9578,,,,,,,,,,
3500,,,,,,2.168,1.0418,0.5558,-17.9576,7.1428,1.0742,-0.5182,5.409,23.3375,2.2272
4000,,,,,,2.2186,1.0198,0.5515,-21.6277,6.64,1.1447,-0.5286,6.1574,28.8737,1.5829
4214,,,1000,-1098.7027,32.9267,,,,,,,,,,
4234,,,20,-16.6989,32.5807,,,,,,,,,,
4294,,,60,-6.6575,32.7676,,,,,,,,,,
4380,,,86,-132.4591,32.7755,,,,,,,,,,
4404,,,24,-22.8761,33.0828,,,,,,,,,,
4434,,,30,-19.9034,32.9935,,,,,,,,,,
4451,,,17,-10.2117,32.9696,,,,,,,,,,
4466,,,15,-22.74,33.0017,,,,,,,,,,
4481,,,15,0.7877,32.5026,,,,,,,,,,
4500,,,,,,2.2679,0.9627,0.5793,-24.8006,7.979,1.2405,-0.5479,7.0154,27.131,1.4888
4529,,,48,-70.9646,32.8382,,,,,,,,,,
4600,,,71,-31.0099,32.9925,,,,,,,,,,
4626,,,26,-15.1345,33.0783,,,,,,,,,,
4675,,,49,-50.5566,32.9209,,,,,,,,,,
4709,,,34,-70.6276,32.6576,,,,,,,,,,
4725,,,16,-9.7637,32.5669,,,,,,,,,,
4746,,,21,-15.1508,32.1003,,,,,,,,,,
4818,,,72,-56.3065,32.8266,,,,,,,,,,
