env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,782.9474,941.5,,,,,,,,,,,,
32,,,32,-43.4152,5.927,,,,,,,,,
500,,,,,,1.3152,0.7222,0.1192,-0.1292,0.5942,0.3014,0.5192,0.8161,0.5615
1000,,,,,,1.5468,0.7284,0.1583,-3.2313,0.7829,0.4777,1.1552,2.1275,0.337
1032,,,1000,-1138.7317,92.7692,,,,,,,,,
1079,,,47,-73.4899,90.5368,,,,,,,,,
1135,,,56,-50.9903,90.7368,,,,,,,,,
1151,,,16,-20.9903,90.1015,,,,,,,,,
1267,,,116,-106.806,90.3314,,,,,,,,,
1299,,,32,-32.6133,90.2446,,,,,,,,,
1457,,,158,-173.7428,90.4459,,,,,,,,,
1500,,,,,,1.7353,0.731,0.1856,-6.3029,1.4811,0.6261,1.4001,6.6741,0.5572
2000,,,,,,1.859,0.7306,0.2022,-9.2889,1.7387,0.7232,1.5363,7.2514,0.6456
2457,,,1000,-1030.1342,93.0724,,,,,,,,,
2500,,,,,,1.9634,0.7358,0.2147,-12.1519,1.9562,0.7712,2.0272,20.7381,0.9424
2509,,,52,-70.5432,96.2127,,,,,,,,,
3000,,,,,,2.0467,0.7352,0.2255,-14.9394,2.4445,0.8538,1.8941,12.9454,1.4101
3500,,,,,,2.0954,0.7333,0.2296,-17.7567,1.8927,0.8895,1.9888,13.2784,1.0276
3509,,,1000,-1094.3392,91.4004,,,,,,,,,
3532,,,23,-28.2884,90.0949,,,,,,,,,
3558,,,26,-28.9205,89.6302,,,,,,,,,
3573,,,15,-12.2922,89.8024,,,,,,,,,
3605,,,32,-21.7025,89.7168,,,,,,,,,
3642,,,37,-45.2895,90.0962,,,,,,,,,
3749,,,107,-178.9131,89.8595,,,,,,,,,
3815,,,66,-113.52,90.0491,,,,,,,,,
3830,,,15,-9.9888,90.0783,,,,,,,,,
3868,,,38,-47.107,90.2547,,,,,,,,,
3912,,,44,-32.3071,89.9412,,,,,,,,,
3961,,,49,-40.4498,89.7855,,,,,,,,,
4000,,,,,,2.2124,0.7559,0.2417,-20.5649,2.4672,0.989,2.6878,38.3335,1.4324
4035,,,74,-32.6087,90.1482,,,,,,,,,
4500,,,,,,2.2328,0.7326,0.2461,-23.4404,2.1597,1.0204,2.6377,22.4445,1.193
5000,,,,,,2.3076,0.7366,0.2545,-25.9248,2.3176,1.1055,2.9114,23.3395,1.1133
5000,805.9818,1000.0,,,,,,,,,,,,
5035,,,1000,-993.828,64.8495,,,,,,,,,
