env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-89.7755,382.0,,,,,,,,,,,,,
64,,,64,-115.096,29.5334,,,,,,,,,,
118,,,54,-117.5503,40.7046,,,,,,,,,,
207,,,89,-118.8361,33.5316,,,,,,,,,,
280,,,73,-113.8669,29.2288,,,,,,,,,,
329,,,49,-118.2911,28.2468,,,,,,,,,,
378,,,49,-121.5203,29.1851,,,,,,,,,,
441,,,63,-115.128,29.6293,,,,,,,,,,
500,,,,,,50,2,1,722.0825,107.4704,11.3201,105.2042,13.0316,24.8469,0.0144
554,,,113,-122.8635,34.6183,,,,,,,,,,
615,,,61,-112.8332,27.7518,,,,,,,,,,
665,,,50,-119.8569,30.6815,,,,,,,,,,
708,,,43,-116.8644,28.8556,,,,,,,,,,
752,,,44,-116.6882,31.4891,,,,,,,,,,
795,,,43,-122.0257,26.7817,,,,,,,,,,
840,,,45,-120.8599,24.2557,,,,,,,,,,
921,,,81,-121.5102,23.9343,,,,,,,,,,
965,,,44,-117.1866,25.5138,,,,,,,,,,
1000,,,,,,33,2,1,1341.4211,64.6815,8.9603,61.9254,0.794,17.8321,0.0
1034,,,69,-118.542,26.2131,,,,,,,,,,
1082,,,48,-117.3854,25.6492,,,,,,,,,,
1136,,,54,-113.9884,24.5428,,,,,,,,,,
1310,,,174,-117.1455,25.9355,,,,,,,,,,
1352,,,42,-115.3743,30.8827,,,,,,,,,,
1458,,,106,-127.5142,23.7574,,,,,,,,,,
1500,,,,,,7,2,1,1816.0244,68.1733,19.2801,62.7736,19.7618,26.8305,0.0
1505,,,47,-120.8794,26.2177,,,,,,,,,,
1593,,,88,-122.3611,24.7004,,,,,,,,,,
1710,,,117,-114.4144,25.9681,,,,,,,,,,
1800,,,90,-116.8861,25.4822,,,,,,,,,,
1880,,,80,-115.0407,23.8925,,,,,,,,,,
1930,,,50,-115.1917,25.8877,,,,,,,,,,
1977,,,47,-120.7471,24.0745,,,,,,,,,,
2000,,,,,,7,2,1,2033.6898,56.4865,14.9595,47.894,27.8281,1014.4966,0.0
2023,,,46,-120.6763,30.2209,,,,,,,,,,
2102,,,79,-121.1334,26.3155,,,,,,,,,,
2167,,,65,-113.2555,25.6605,,,,,,,,,,
2209,,,42,-117.5454,29.3514,,,,,,,,,,
2252,,,43,-118.4367,23.0985,,,,,,,,,,
2345,,,93,-121.2775,26.7944,,,,,,,,,,
2389,,,44,-116.0195,27.6569,,,,,,,,,,
2486,,,97,-124.0831,23.9824,,,,,,,,,,
2500,,,,,,7,2,1,2145.1104,124.5173,30.3279,115.0732,2.3513,232.0912,0.0
2542,,,56,-113.1912,27.9716,,,,,,,,,,
2585,,,43,-116.0186,25.7018,,,,,,,,,,
2675,,,90,-114.8687,24.3868,,,,,,,,,,
2799,,,124,-115.8409,26.5137,,,,,,,,,,
2873,,,74,-119.3612,25.14,,,,,,,,,,
2921,,,48,-122.1708,24.0227,,,,,,,,,,
2995,,,74,-112.8727,25.1892,,,,,,,,,,
3000,,,,,,6,2,1,2281.9973,136.9482,53.3528,123.3071,2.9321,783.6402,0.0
3047,,,52,-111.5732,26.0299,,,,,,,,,,
3150,,,103,-122.1427,31.9769,,,,,,,,,,
3214,,,64,-116.7585,26.4473,,,,,,,,,,
3261,,,47,-121.4031,25.4908,,,,,,,,,,
3306,,,45,-116.2414,23.8713,,,,,,,,,,
3351,,,45,-117.7935,25.3558,,,,,,,,,,
3419,,,68,-117.3129,26.4456,,,,,,,,,,
3493,,,74,-114.7975,24.2291,,,,,,,,,,
3500,,,,,,7,2,1,2318.854,59.97,40.9169,43.9186,3.7751,990.9286,0.0
3552,,,59,-116.3659,24.5767,,,,,,,,,,
3631,,,79,-121.6186,24.7921,,,,,,,,,,
3680,,,49,-116.453,26.9858,,,,,,,,,,
3742,,,62,-114.5488,22.0111,,,,,,,,,,
3789,,,47,-120.6971,24.0477,,,,,,,,,,
3840,,,51,-120.9945,24.283,,,,,,,,,,
3886,,,46,-119.6089,30.6943,,,,,,,,,,
3941,,,55,-116.1608,29.11,,,,,,,,,,
4000,,,,,,7,2,1,2299.2329,126.308,81.1998,105.9154,8.9801,1174.519,0.0
4017,,,76,-112.8251,23.2555,,,,,,,,,,
4058,,,41,-116.5192,23.7008,,,,,,,,,,
4171,,,113,-113.6714,26.5196,,,,,,,,,,
4330,,,159,-121.7474,29.842,,,,,,,,,,
4398,,,68,-113.8692,23.9158,,,,,,,,,,
4445,,,47,-120.7025,25.2845,,,,,,,,,,
4495,,,50,-119.3435,25.1685,,,,,,,,,,
4500,,,,,,7,2,1,2320.8911,138.6189,49.1852,116.357,12.7458,3542.3635,0.0
4538,,,43,-121.4905,27.4383,,,,,,,,,,
4635,,,97,-122.2775,25.7916,,,,,,,,,,
4686,,,51,-121.1427,22.9607,,,,,,,,,,
4732,,,46,-120.7317,26.3838,,,,,,,,,,
4783,,,51,-118.462,26.8052,,,,,,,,,,
4829,,,46,-119.8971,28.2543,,,,,,,,,,
4926,,,97,-121.6594,24.2013,,,,,,,,,,
4975,,,49,-114.4062,23.2503,,,,,,,,,,
5000,,,,,,7,2,1,2445.5725,194.2269,131.4984,164.6365,14.2848,4648.0898,0.0
5000,-123.5605,42.0,,,,,,,,,,,,,
5043,,,68,-113.49,18.6617,,,,,,,,,,
5130,,,87,-121.1411,24.7061,,,,,,,,,,
5230,,,100,-122.7479,26.8761,,,,,,,,,,
5320,,,90,-121.8988,25.988,,,,,,,,,,
5484,,,164,-119.4597,26.0893,,,,,,,,,,
5500,,,,,,7,2,1,2513.3862,125.8253,48.2421,92.4539,20.8573,6209.02,0.0
5574,,,90,-115.9166,27.5931,,,,,,,,,,
5689,,,115,-124.4076,25.1177,,,,,,,,,,
5734,,,45,-120.2023,24.3447,,,,,,,,,,
5863,,,129,-122.1262,25.7949,,,,,,,,,,
5912,,,49,-113.7697,31.0669,,,,,,,,,,
5967,,,55,-114.9157,27.1292,,,,,,,,,,
6000,,,,,,7,3,1,2470.9944,149.1292,48.8191,109.9002,33.0672,5468.6167,0.0
6052,,,85,-122.3172,24.3415,,,,,,,,,,
6151,,,99,-123.9074,23.6588,,,,,,,,,,
6198,,,47,-122.4092,26.1911,,,,,,,,,,
6274,,,76,-120.6839,25.2495,,,,,,,,,,
6321,,,47,-122.7167,28.5607,,,,,,,,,,
6431,,,110,-126.3858,25.2129,,,,,,,,,,
6474,,,43,-121.759,27.9727,,,,,,,,,,
6500,,,,,,7,3,1,2534.0134,75.6845,82.7958,39.4929,24.2072,5700.457,0.0
6519,,,45,-114.6632,25.0077,,,,,,,,,,
6614,,,95,-115.6922,24.5149,,,,,,,,,,
6660,,,46,-121.8373,21.94,,,,,,,,,,
6702,,,42,-121.6637,26.0334,,,,,,,,,,
6783,,,81,-115.1148,26.4529,,,,,,,,,,
6847,,,64,-116.0171,30.0613,,,,,,,,,,
6975,,,128,-124.8378,25.8712,,,,,,,,,,
7000,,,,,,7,3,1,2605.9612,120.9663,81.031,81.3427,33.2751,7366.9243,0.0
7116,,,141,-114.7558,23.3119,,,,,,,,,,
7160,,,44,-120.5529,28.4399,,,,,,,,,,
7204,,,44,-121.7756,31.8533,,,,,,,,,,
7248,,,44,-122.8563,23.2692,,,,,,,,,,
7299,,,51,-117.6975,27.6969,,,,,,,,,,
7358,,,59,-113.2037,23.2643,,,,,,,,,,
7438,,,80,-120.8104,26.3781,,,,,,,,,,
7483,,,45,-122.3984,27.0548,,,,,,,,,,
7500,,,,,,8,3,1,2638.2048,115.8732,85.7246,67.2218,37.5651,10418.9326,0.0
7528,,,45,-121.9106,22.3455,,,,,,,,,,
7633,,,105,-122.5217,24.5981,,,,,,,,,,
7676,,,43,-118.6112,23.3445,,,,,,,,,,
7999,,,323,-151.3785,24.7748,,,,,,,,,,
8000,,,,,,8,3,1,2652.5945,156.9462,91.7494,106.3633,44.1714,11975.5527,0.0
8043,,,44,-120.885,22.6204,,,,,,,,,,
8088,,,45,-118.6127,24.6909,,,,,,,,,,
8129,,,41,-115.9687,27.9835,,,,,,,,,,
8195,,,66,-115.8765,27.5061,,,,,,,,,,
8234,,,39,-116.796,23.3587,,,,,,,,,,
8379,,,145,-135.6424,24.4249,,,,,,,,,,
8432,,,53,-106.5375,24.4768,,,,,,,,,,
8489,,,57,-105.932,26.1505,,,,,,,,,,
8500,,,,,,8,3,1,2781.8958,175.1442,127.1067,128.186,27.6938,9471.7539,0.0
8546,,,57,-107.0263,25.3302,,,,,,,,,,
8593,,,47,-106.0733,27.3063,,,,,,,,,,
8646,,,53,-104.9977,25.6417,,,,,,,,,,
8714,,,68,-106.3258,23.5477,,,,,,,,,,
8820,,,106,-105.6044,25.8867,,,,,,,,,,
8894,,,74,-104.172,29.4059,,,,,,,,,,
8949,,,55,-107.8143,25.2221,,,,,,,,,,
9000,,,,,,9,3,1,2737.7556,169.3349,100.9124,123.1982,45.1309,8658.2256,0.0
9017,,,68,-103.5541,23.7173,,,,,,,,,,
9064,,,47,-107.624,30.5537,,,,,,,,,,
9134,,,70,-103.6289,28.4723,,,,,,,,,,
