env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-106.2214,220.0,,,,,,,,,,,,,,
64,,,64,-105.73,3.8076,,,,,,,,,,,
165,,,101,-122.6469,3.8056,,,,,,,,,,,
239,,,74,-115.4163,3.8042,,,,,,,,,,,
310,,,71,-116.3882,3.6902,,,,,,,,,,,
414,,,104,-121.5226,3.8028,,,,,,,,,,,
480,,,66,-116.7894,3.8586,,,,,,,,,,,
500,,,,,,50,2,1,896.5602,3.3636,2.9567,1.2936,-4.6358,22.9934,10.4925,0.0188
570,,,90,-112.6963,3.6894,,,,,,,,,,,
617,,,47,-117.0535,3.7609,,,,,,,,,,,
687,,,70,-115.9291,3.7925,,,,,,,,,,,
